Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	, uh , I don't know	15	A	75, 89
2	6	and all and be all ,	3	A	51, 53
2	5	, and I just ,	19	A	79, 97
2	5	, you know , I'm	31	A	49, 79
2	5	Uh-huh . Yeah , and	75	A	7, 81
2	5	if they were touched by	3	A	89, 91
2	5	just , you know ,	73	A	7, 79
8	4	, you know ,	91	A	7, 31, 41, 49, 75, 79, 93, 97
4	4	, I don't know	39	A	75, 89, 101, 113
4	4	, I mean ,	69	A	9, 27, 41, 77
4	4	but , uh ,	85	A	5, 15, 85, 89
3	4	, uh , I	85	A	5, 75, 89
3	4	Uh-huh . Uh-huh .	105	A	7, 65, 111
3	4	Uh-huh . Yeah ,	91	A	7, 81, 97
3	4	that , uh ,	83	A	15, 41, 97
2	4	, I'm not sure	31	A	49, 79
2	4	, in the state	13	A	15, 27
2	4	, uh , it's	33	A	75, 107
2	4	I don't know ,	69	A	33, 101
2	4	I mean , you	41	A	9, 49
2	4	I'm not sure if	35	A	79, 113
2	4	Uh-huh . Right ,	19	A	7, 25
2	4	it , uh ,	11	A	103, 113
2	4	something , uh ,	23	A	75, 97
2	4	you know , I	23	A	9, 31
16	3	, uh ,	109	A	5, 15, 27, 41, 43, 51, 53, 55, 75, 79, 85, 89, 97, 103, 107, 113
9	3	, you know	91	A	7, 31, 41, 47, 49, 75, 79, 93, 97
9	3	you know ,	91	A	7, 9, 31, 41, 49, 75, 79, 93, 97
7	3	, I mean	91	A	7, 9, 27, 31, 41, 77, 97
7	3	I don't know	99	A	15, 33, 75, 87, 89, 101, 113
7	3	I mean ,	71	A	9, 27, 35, 41, 49, 77, 79
5	3	, I don't	39	A	75, 79, 89, 101, 113
4	3	, oh ,	93	A	7, 81, 97, 99
4	3	. Uh-huh .	105	A	7, 65, 71, 111
4	3	Yeah , I	109	A	5, 41, 97, 113
3	3	, I think	73	A	19, 29, 91
3	3	, and I	67	A	31, 79, 97
3	3	, in the	93	A	15, 27, 107
3	3	, yeah ,	73	A	19, 25, 91
3	3	and , and	23	A	47, 59, 69
2	3	, I ,	109	A	5, 113
2	3	, I just	71	A	27, 97
2	3	, Texas ,	99	A	15, 113
2	3	, and ,	13	A	47, 59
2	3	, if they	17	A	75, 91
2	3	I don't like	23	A	5, 27
2	3	I just ,	19	A	79, 97
2	3	I know .	5	A	7, 11
2	3	I mean I	71	A	27, 97
2	3	I think everybody	3	A	89, 91
2	3	I think that's	13	A	7, 19
2	3	Is it ,	87	A	17, 103
2	3	and I think	63	A	27, 89
2	3	and you're thinking	53	A	47, 99
2	3	capital punishment I	75	A	27, 101
