Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	4	, you know ,	59	42	1	M	32, 59, 73
2	2	4	, uh , I	68	8	1	A	61, 68
2	2	4	a , uh ,	73	8	1	M	66, 73
19	17	3	, uh ,	60	63	9	A	13, 17, 41, 45, 47, 49, 55, 57, 59, 60, 61, 63, 65, 66, 67, 68, 70, 73, 75
4	4	3	, I don't	55	51	2	M	18, 32, 55, 68
3	3	3	I'm Brian .	24	4	1	A	23, 24, 26
3	3	3	have a ,	66	15	1	A	59, 66, 73
2	2	3	, I think	68	6	1	A	63, 68
2	2	3	, yeah ,	69	10	1	M	60, 69
2	2	3	I don't have	65	34	1	M	32, 65
2	2	3	days a week	59	18	1	M	42, 59
2	2	3	pretty good .	14	2	1	A	13, 14
20	3	2	, uh	60	63	10	A	13, 17, 27, 41, 45, 47, 49, 55, 57, 59, 60, 61, 63, 65, 66, 67, 68, 70, 73, 75
19	1	2	uh ,	61	63	9	A	13, 17, 41, 45, 47, 49, 55, 57, 59, 60, 61, 63, 65, 66, 67, 68, 70, 73, 75
9	3	2	, I	49	51	3	M	18, 32, 42, 49, 55, 57, 61, 63, 68
7	4	2	, you	32	59	1	A	15, 32, 56, 59, 65, 70, 73
7	2	2	I don't	55	53	3	M	16, 18, 32, 55, 57, 65, 68
7	7	2	Well ,	72	72	6	A	1, 5, 15, 41, 61, 71, 72
7	5	2	a ,	66	27	5	A	47, 55, 59, 61, 63, 66, 73
5	3	2	I think	47	25	1	M	44, 47, 49, 63, 68
5	3	2	have a	55	70	1	M	4, 55, 59, 66, 73
5	5	2	of the	35	72	1	M	2, 35, 49, 61, 73
4	4	2	, and	53	30	1	M	42, 53, 70, 71
4	3	2	, yeah	60	61	1	A	9, 60, 61, 69
4	4	2	Yeah ,	68	61	1	A	13, 68, 69, 73
4	4	2	in the	25	72	2	M	2, 18, 25, 73
3	3	2	I mean	61	20	2	M	42, 56, 61
3	3	2	I was	8	61	1	A	1, 8, 61
3	3	2	Yes .	39	46	1	M	6, 39, 51
3	3	2	and I	70	14	2	A	57, 65, 70
3	3	2	do you	36	41	1	A	27, 36, 67
3	1	2	don't have	65	34	2	M	32, 56, 65
3	1	2	good .	65	53	1	A	13, 14, 65
3	3	2	in a	61	20	1	M	54, 61, 73
3	3	2	to be	54	8	1	A	49, 54, 56
2	2	2	Yes ,	53	52	1	M	2, 53
2	2	2	a benefit	44	4	1	A	41, 44
2	2	2	a family	55	2	1	M	54, 55
2	2	2	a group	54	8	1	A	47, 54
2	1	2	days a	59	18	1	M	42, 59
2	2	2	have insurance	56	2	1	A	55, 56
2	2	2	insurance .	56	10	1	A	47, 56
2	2	2	right .	10	6	1	A	5, 10
2	2	2	then I	42	18	1	A	25, 42
24	13	1	I	1	71	1	M	0, 1, 8, 16, 18, 25, 32, 42, 44, 45, 47, 48, 49, 53, 55, 56, 57, 58, 59, 61, 63, 65, 68, 70
19	11	1	a	25	72	1	M	4, 25, 28, 38, 40, 41, 42, 44, 45, 47, 50, 54, 55, 59, 61, 63, 66, 73, 75
14	9	1	in	25	76	3	M	0, 2, 18, 25, 46, 54, 55, 57, 59, 61, 65, 72, 73, 75
