Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	, you know , the	35	A	54, 88
2	5	and , you know ,	53	A	2, 54
7	4	, you know ,	97	A	2, 36, 54, 74, 82, 88, 98
3	4	Uh-huh , uh-huh .	79	A	16, 90, 94
2	4	, I , I	53	A	36, 88
2	4	, I don't know	87	A	2, 88
2	4	, I mean ,	17	A	82, 98
2	4	and , uh ,	89	A	0, 88
2	4	of , uh ,	23	A	88, 110
2	4	to , uh ,	87	A	2, 88
8	3	you know ,	97	A	2, 14, 36, 54, 74, 82, 88, 98
6	3	, uh ,	111	A	0, 2, 22, 82, 88, 110
5	3	a lot of	89	A	0, 22, 36, 82, 88
4	3	, um ,	85	A	26, 68, 70, 110
3	3	, I ,	53	A	36, 82, 88
3	3	, I have	21	A	68, 84, 88
3	3	, I mean	93	A	6, 82, 98
2	3	, I know	47	A	36, 82
2	3	, I think	13	A	36, 48
2	3	, I'm not	43	A	22, 64
2	3	, and ,	87	A	2, 88
2	3	, and then	19	A	0, 18
2	3	, oh ,	23	A	88, 110
2	3	, that was	7	A	82, 88
2	3	, that's a	7	A	14, 20
2	3	, there are	7	A	48, 54
2	3	, well ,	23	A	88, 110
2	3	, yeah .	39	A	8, 46
2	3	. I think	23	A	42, 64
2	3	. Um ,	35	A	64, 98
2	3	You know ,	41	A	14, 54
2	3	know , my	47	A	2, 48
2	3	or , or	19	A	70, 88
2	3	to go to	73	A	36, 108
10	2	, I	97	A	2, 6, 36, 40, 48, 68, 82, 84, 88, 98
6	2	, and	89	A	0, 2, 18, 52, 68, 88
6	2	Uh-huh .	89	A	18, 24, 34, 66, 78, 106
6	2	a lot	101	A	0, 22, 36, 82, 88, 100
6	2	um ,	89	A	22, 26, 68, 70, 98, 110
5	2	I think	35	A	36, 42, 48, 64, 70
4	2	. I	25	A	40, 42, 48, 64
4	2	Uh-huh ,	81	A	16, 90, 94, 96
4	2	and ,	89	A	0, 2, 54, 88
4	2	or ,	83	A	6, 40, 70, 88
3	2	, it	93	A	18, 82, 110
3	2	, that	87	A	2, 82, 88
3	2	, the	35	A	54, 64, 88
3	2	, yeah	103	A	8, 46, 110
3	2	I know	47	A	36, 48, 82
3	2	Oh ,	65	A	46, 82, 110
3	2	Well ,	65	A	20, 82, 84
3	2	Yeah ,	47	A	2, 8, 48
3	2	Yeah .	37	A	56, 86, 92
3	2	have a	69	A	14, 68, 82
3	2	in the	75	A	10, 52, 84
3	2	it was	69	A	42, 98, 110
3	2	to ,	87	A	2, 40, 88
3	2	to get	69	A	14, 40, 82
2	2	, I'm	43	A	22, 64
2	2	, if	15	A	74, 88
2	2	, in	49	A	36, 84
