Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
5	5	4	, you know ,	61	60	4	B	2, 4, 22, 60, 61
3	3	4	, uh , I	113	72	2	B	42, 84, 113
15	12	3	, uh ,	67	131	5	B	4, 22, 30, 42, 54, 67, 70, 80, 84, 88, 102, 110, 113, 116, 134
5	1	3	you know ,	61	60	4	B	2, 4, 22, 60, 61
3	3	3	Well , that's	36	35	1	M	29, 36, 63
3	3	3	know , I	125	124	2	B	2, 22, 125
2	2	3	, in the	61	20	1	B	42, 61
2	2	3	I , you	87	28	1	B	60, 87
2	2	3	I don't think	117	42	1	B	76, 117
2	2	3	a lot of	106	24	1	M	83, 106
2	2	3	are , you	87	84	1	B	4, 87
2	2	3	know , the	83	80	1	B	4, 83
2	2	3	stuff like that	89	68	1	B	22, 89
13	8	2	, I	113	125	10	B	2, 4, 22, 30, 42, 44, 76, 84, 88, 90, 113, 125, 126
9	7	2	I don't	117	125	6	B	2, 30, 46, 64, 70, 76, 117, 120, 126
8	8	2	I think	71	113	2	B	22, 42, 71, 84, 88, 90, 101, 134
8	1	2	know ,	73	124	4	B	2, 4, 22, 60, 61, 73, 83, 125
7	7	2	Oh ,	125	121	5	B	10, 34, 50, 68, 82, 125, 130
7	2	2	you know	5	60	2	B	2, 4, 5, 22, 30, 60, 61
6	3	2	, that's	29	97	1	B	10, 29, 36, 41, 63, 106
6	1	2	, you	87	86	4	B	2, 4, 22, 60, 61, 87
6	3	2	Well ,	66	74	1	M	29, 36, 63, 66, 80, 102
5	3	2	, in	61	95	2	B	12, 42, 61, 94, 106
5	4	2	, the	83	123	2	B	4, 54, 83, 102, 126
5	5	2	, yeah	40	106	1	M	17, 40, 50, 102, 122
5	4	2	in the	61	54	1	B	42, 61, 70, 83, 95
5	5	2	it .	104	63	2	M	69, 101, 104, 120, 131
4	4	2	, but	134	88	3	M	47, 89, 95, 134
4	2	2	I ,	67	54	1	B	60, 67, 87, 113
4	4	2	I know	94	53	2	M	73, 81, 94, 125
4	4	2	to get	35	103	2	B	4, 6, 35, 106
3	3	2	That is	18	67	1	M	11, 18, 77
3	3	2	and I	41	119	1	B	2, 41, 120
3	1	2	are ,	87	86	2	B	2, 4, 87
3	3	2	do ,	115	76	2	B	40, 88, 115
3	3	2	it's like	61	63	1	B	8, 61, 70
3	3	2	kind of	116	46	1	M	89, 116, 134
3	3	2	know what	135	106	2	B	30, 70, 135
3	1	2	like that	106	85	1	B	22, 89, 106
3	1	2	lot of	106	106	2	M	1, 83, 106
3	3	2	of them	30	106	1	M	1, 30, 106
3	3	2	think that's	94	31	1	M	71, 94, 101
3	3	2	you get	29	39	1	B	28, 29, 66
2	2	2	, it's	27	20	1	B	8, 27
2	2	2	, we	115	46	1	B	70, 115
2	2	2	, where	61	58	1	B	4, 61
2	2	2	. That's	105	102	1	B	4, 105
2	2	2	. They're	94	36	1	M	59, 94
2	2	2	I do	88	48	1	M	41, 88
2	2	2	I mean	89	86	1	B	4, 89
2	2	2	and it	128	108	1	M	21, 128
2	2	2	do the	41	6	1	B	36, 41
2	2	2	is the	126	72	1	M	55, 126
2	2	2	like the	126	66	1	M	61, 126
2	2	2	matter of	78	52	1	M	27, 78
2	2	2	not really	89	68	1	B	22, 89
2	2	2	people that	83	82	1	B	2, 83
2	2	2	that's not	128	66	1	M	63, 128
2	2	2	think you	117	76	1	B	42, 117
2	2	2	to do	95	60	1	B	36, 95
2	2	2	trying to	77	72	1	B	6, 77
2	2	2	we're not	89	48	1	B	42, 89
2	2	2	well ,	115	74	1	B	42, 115
2	2	2	yes .	127	90	1	B	38, 127
2	2	2	you are	87	84	1	B	4, 87
46	19	1	I	3	133	1	B	2, 3, 4, 7, 20, 21, 22, 26, 30, 35, 36, 41, 42, 44, 46, 53, 60, 61, 64, 67, 68, 70, 71, 73, 76, 77, 78, 81, 84, 87, 88, 89, 90, 92, 93, 94, 101, 113, 117, 119, 120, 125, 126, 132, 133, 134
36	29	1	the	21	133	4	B	2, 4, 6, 12, 21, 22, 27, 35, 36, 41, 42, 44, 47, 54, 55, 59, 60, 61, 65, 70, 77, 80, 83, 84, 86, 89, 94, 95, 102, 110, 116, 117, 120, 126, 128, 134
25	12	1	you	8	116	2	B	2, 4, 5, 8, 22, 25, 28, 29, 30, 38, 39, 40, 42, 43, 55, 60, 61, 66, 82, 85, 87, 102, 103, 110, 117
21	19	1	a	17	128	1	B	8, 17, 22, 26, 27, 28, 29, 60, 61, 66, 78, 80, 83, 88, 90, 95, 102, 104, 106, 128, 135
21	18	1	and	21	133	1	B	2, 21, 22, 28, 35, 41, 42, 60, 64, 70, 78, 86, 88, 90, 94, 104, 116, 120, 128, 132, 134
21	14	1	of	4	134	1	M	1, 4, 12, 22, 27, 30, 42, 46, 60, 78, 83, 86, 89, 94, 102, 106, 116, 117, 120, 128, 134
19	5	1	know	46	134	2	B	2, 4, 5, 22, 30, 46, 60, 61, 64, 70, 73, 79, 81, 83, 94, 113, 125, 134, 135
18	13	1	to	35	131	3	B	4, 6, 30, 35, 36, 64, 65, 70, 77, 78, 82, 84, 95, 104, 106, 120, 131, 134
17	13	1	that	23	133	4	B	2, 4, 12, 22, 23, 36, 54, 64, 83, 89, 90, 94, 106, 110, 130, 132, 134
16	10	1	it	28	111	1	M	21, 28, 29, 45, 46, 60, 69, 84, 101, 102, 104, 106, 111, 120, 128, 131
14	7	1	in	61	112	4	B	4, 12, 42, 46, 61, 70, 83, 86, 88, 90, 94, 95, 106, 115
13	8	1	is	22	116	1	M	11, 18, 22, 42, 44, 45, 54, 55, 60, 77, 82, 102, 126
12	1	1	think	55	113	2	B	22, 42, 55, 71, 76, 84, 88, 90, 94, 101, 117, 134
11	5	1	do	41	114	4	B	2, 30, 36, 40, 41, 55, 81, 88, 95, 106, 115
11	4	1	get	77	117	3	B	4, 6, 28, 29, 35, 66, 77, 80, 102, 106, 120
11	4	1	like	61	130	3	B	2, 8, 22, 61, 70, 78, 88, 89, 106, 126, 131
11	6	1	not	27	111	2	B	18, 22, 27, 28, 42, 63, 89, 109, 116, 124, 128
10	8	1	are	2	134	1	M	1, 2, 4, 43, 84, 86, 87, 102, 106, 134
10	2	1	don't	120	130	6	B	2, 30, 46, 64, 70, 76, 117, 120, 126, 131
10	10	1	have	83	130	5	B	2, 38, 54, 64, 78, 83, 86, 90, 94, 131
10	6	1	it's	17	113	1	B	8, 17, 22, 27, 28, 53, 61, 65, 70, 120
10	1	1	that's	94	119	1	B	10, 29, 36, 41, 63, 71, 94, 101, 106, 128
9	2	1	Oh	125	121	7	B	10, 14, 34, 50, 56, 68, 82, 125, 130
9	3	1	Well	36	94	2	M	9, 29, 36, 40, 63, 66, 78, 80, 102
9	6	1	but	47	113	2	B	22, 30, 47, 70, 84, 89, 95, 120, 134
9	9	1	they	121	120	8	B	2, 60, 82, 88, 94, 102, 116, 120, 121
8	8	1	just	109	98	6	B	28, 40, 70, 78, 90, 106, 109, 125
8	5	1	what	35	130	2	B	6, 30, 35, 37, 70, 77, 102, 135
7	7	1	for	66	80	1	M	55, 66, 77, 102, 110, 124, 134
