Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	4	Uh-huh . Sure .	39	A	18, 50, 56
2	4	, I don't know	45	A	22, 66
2	4	, uh , I	17	A	6, 22
2	4	but , uh ,	15	A	64, 78
2	4	quite a bit ,	17	A	18, 34
2	4	the , uh ,	65	A	0, 64
10	3	, uh ,	79	A	0, 2, 6, 22, 34, 38, 60, 64, 70, 78
4	3	Uh-huh . Sure	39	A	18, 46, 50, 56
3	3	, um ,	5	A	0, 2, 4
3	3	I don't know	45	A	22, 28, 66
3	3	you have to	35	A	6, 38, 40
2	3	, in Minneapolis	35	A	4, 38
2	3	, sure ,	25	A	46, 70
2	3	. Sure ,	29	A	18, 46
2	3	. Uh-huh .	5	A	46, 50
2	3	Minneapolis area ,	29	A	4, 32
2	3	about that ,	3	A	76, 78
2	3	into the air	27	A	38, 64
2	3	they want to	57	A	14, 70
2	3	uh , the	27	A	34, 60
2	3	want to carpool	3	A	4, 6
7	2	Uh-huh .	51	A	8, 18, 46, 50, 52, 56, 58
5	2	, I	77	A	0, 6, 22, 66, 76
5	2	, and	73	A	4, 14, 38, 64, 76
5	2	. Sure	41	A	18, 46, 50, 56, 58
5	2	that ,	75	A	4, 22, 66, 76, 78
4	2	, or	67	A	0, 2, 14, 66
4	2	Sure .	39	A	18, 50, 54, 56
4	2	have to	67	A	6, 38, 40, 72
4	2	um ,	39	A	0, 2, 4, 38
3	2	, because	43	A	28, 38, 70
3	2	Sure ,	29	A	18, 44, 46
3	2	Yeah ,	43	A	4, 14, 46
3	2	it ,	63	A	4, 64, 66
3	2	they want	57	A	14, 28, 70
2	2	, but	3	A	36, 38
2	2	, it's	41	A	6, 46
2	2	, okay	5	A	26, 30
2	2	, that	13	A	6, 18
2	2	, that's	69	A	4, 72
2	2	, yeah	25	A	20, 44
2	2	, you	73	A	6, 78
2	2	. Yeah	45	A	14, 58
2	2	Exactly .	69	A	12, 80
2	2	I think	69	A	6, 74
2	2	I'm sure	17	A	60, 76
2	2	Uh ,	13	A	22, 34
2	2	Yeah .	49	A	10, 58
2	2	air conditioning	17	A	60, 76
2	2	and ,	65	A	2, 66
2	2	and I	9	A	68, 76
2	2	and that's	31	A	4, 34
2	2	and they	25	A	14, 38
2	2	because it	9	A	64, 72
2	2	get your	3	A	38, 40
2	2	in a	39	A	38, 76
2	2	into the	27	A	38, 64
2	2	it's not	33	A	14, 46
2	2	kind of	71	A	6, 76
2	2	like that	77	A	2, 78
2	2	my husband	13	A	64, 76
2	2	of the	59	A	6, 64
2	2	oh ,	41	A	30, 70
2	2	or ,	3	A	0, 2
2	2	other thing	33	A	28, 60
2	2	that people	69	A	4, 72
2	2	the ,	65	A	0, 64
2	2	the car	15	A	0, 14
2	2	the other	47	A	14, 60
2	2	the people	73	A	6, 78
2	2	think the	7	A	0, 6
2	2	to ,	33	A	6, 38
2	2	to be	39	A	26, 64
2	2	you get	3	A	36, 38
2	2	your car	3	A	38, 40
12	1	and	77	A	2, 4, 14, 34, 38, 40, 64, 66, 68, 72, 76, 78
12	1	that	77	A	2, 4, 6, 14, 18, 22, 34, 38, 66, 72, 76, 78
12	1	to	77	A	0, 4, 6, 14, 26, 28, 38, 40, 64, 70, 72, 76
10	1	a	75	A	2, 6, 18, 34, 38, 46, 60, 70, 74, 76
9	1	I	77	A	0, 6, 22, 28, 66, 68, 72, 74, 76
9	1	the	79	A	0, 6, 14, 34, 38, 40, 60, 64, 78
8	1	Uh-huh	51	A	8, 14, 18, 46, 50, 52, 56, 58
7	1	it	73	A	4, 60, 64, 66, 70, 72, 76
7	1	it's	69	A	6, 14, 38, 46, 60, 62, 74
7	1	or	75	A	0, 2, 6, 14, 38, 66, 74
7	1	people	77	A	2, 4, 6, 38, 68, 72, 78
7	1	you	73	A	6, 36, 38, 40, 42, 70, 78
6	1	because	49	A	28, 38, 64, 70, 72, 76
6	1	is	73	A	0, 4, 28, 34, 38, 72
6	1	other	55	A	14, 22, 28, 38, 60, 68
6	1	that's	73	A	0, 4, 22, 34, 40, 72
5	1	air	77	A	0, 38, 60, 64, 76
5	1	but	43	A	36, 38, 62, 64, 78
5	1	car	77	A	0, 14, 38, 40, 76
5	1	don't	63	A	4, 6, 22, 28, 66
5	1	freon	19	A	60, 64, 70, 72, 78
5	1	have	67	A	6, 34, 38, 40, 72
5	1	if	57	A	14, 38, 40, 66, 70
5	1	into	71	A	2, 38, 64, 70, 72
5	1	of	71	A	6, 34, 38, 64, 76
5	1	there	69	A	4, 38, 60, 66, 72
4	1	about	19	A	60, 70, 76, 78
4	1	get	39	A	2, 36, 38, 40
4	1	in	73	A	4, 38, 72, 76
4	1	like	77	A	2, 6, 74, 78
4	1	not	45	A	2, 6, 14, 46
4	1	something	71	A	2, 60, 66, 72
4	1	think	79	A	0, 6, 74, 78
4	1	was	13	A	64, 66, 68, 76
4	1	where	41	A	2, 4, 6, 42
3	1	Exactly	69	A	12, 48, 80
3	1	all	77	A	2, 34, 78
3	1	are	75	A	4, 36, 78
3	1	as	39	A	0, 36, 38
3	1	here	57	A	4, 26, 60
3	1	quite	49	A	18, 34, 66
3	1	so	67	A	6, 38, 72
3	1	then	27	A	14, 28, 40
3	1	thing	55	A	6, 28, 60
3	1	with	61	A	6, 60, 66
3	1	would	7	A	0, 2, 6
2	1	Okay	25	A	0, 24
2	1	at	39	A	4, 42
2	1	can	15	A	60, 74
2	1	cans	13	A	64, 76
2	1	carpool	3	A	4, 6
2	1	dollars	5	A	70, 74
2	1	for	71	A	0, 70
2	1	four	3	A	74, 76
2	1	he	13	A	64, 76
2	1	how	41	A	28, 68
2	1	just	33	A	38, 70
2	1	many	31	A	38, 68
2	1	on	37	A	2, 38
2	1	one	51	A	14, 64
2	1	only	37	A	34, 70
2	1	over	27	A	34, 60
2	1	person	9	A	6, 14
2	1	pollutants	3	A	36, 38
2	1	pollution	39	A	0, 38
2	1	probably	73	A	0, 72
2	1	problem	5	A	34, 38
2	1	right	57	A	16, 72
2	1	say	73	A	0, 72
2	1	take	3	A	70, 72
2	1	this	9	A	64, 72
2	1	three	5	A	70, 74
2	1	up	17	A	60, 76
2	1	we	27	A	34, 60
2	1	what	5	A	0, 4
2	1	when	23	A	38, 60
2	1	year	27	A	38, 64
2	1	you're	45	A	16, 60

