Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	put a little bit of	25	B	68, 92
2	4	, I do too	27	B	2, 28
2	4	, I like doing	35	B	8, 42
2	4	, you know ,	3	B	34, 36
2	4	I like doing that	21	B	22, 42
2	4	three or four couples	11	B	34, 44
3	3	, I do	97	B	2, 28, 98
3	3	, you know	77	B	34, 36, 110
3	3	I mean ,	79	B	36, 112, 114
3	3	it's , it's	27	B	24, 38, 50
2	3	, I'll put	23	B	70, 92
2	3	, because I	41	B	36, 76
2	3	, in fact	5	B	24, 28
2	3	, uh ,	15	B	12, 26
2	3	, um ,	33	B	44, 76
2	3	I can just	31	B	20, 50
2	3	It's like ,	91	B	18, 108
2	3	Oh , I	57	B	2, 58
2	3	it , and	33	B	40, 72
2	3	it , it	43	B	70, 112
2	3	it makes a	41	B	72, 112
2	3	it's real easy	3	B	40, 42
2	3	put in ,	39	B	70, 108
2	3	real easy ,	11	B	32, 42
2	3	that would be	17	B	78, 94
2	3	well , I	51	B	18, 68
2	3	you know ,	3	B	34, 36
11	2	, I	111	B	2, 8, 18, 28, 42, 58, 68, 82, 92, 98, 112
6	2	, and	61	B	12, 34, 40, 68, 70, 72
6	2	, you	105	B	6, 34, 36, 50, 68, 110
6	2	Oh ,	101	B	2, 30, 58, 66, 80, 102
5	2	, because	79	B	36, 40, 50, 76, 114
5	2	I like	99	B	8, 22, 42, 70, 106
5	2	Um .	47	B	60, 86, 88, 94, 106
5	2	it's ,	41	B	10, 24, 38, 46, 50
4	2	, it's	27	B	24, 38, 42, 50
4	2	I can	107	B	8, 20, 50, 114
4	2	Oh .	35	B	30, 54, 56, 64
4	2	it .	107	B	6, 68, 110, 112
4	2	like ,	97	B	12, 18, 76, 108
4	2	real easy	47	B	32, 40, 42, 78
3	2	, just	77	B	32, 84, 108
3	2	, uh	15	B	12, 18, 26
3	2	, yeah	17	B	76, 80, 92
3	2	I do	97	B	2, 28, 98
3	2	Uh-huh .	87	B	4, 54, 90
3	2	Yeah ,	103	B	6, 92, 108
3	2	and ,	45	B	26, 36, 70
3	2	because I	69	B	8, 36, 76
3	2	can just	31	B	20, 40, 50
3	2	just because	63	B	8, 32, 70
3	2	kind of	79	B	0, 22, 78
3	2	put in	41	B	70, 108, 110
2	2	, I'll	23	B	70, 92
2	2	, a	11	B	98, 108
2	2	, but	41	B	68, 108
2	2	, good	85	B	30, 114
2	2	, like	51	B	34, 84
2	2	, that's	63	B	8, 70
2	2	. Now	27	B	68, 94
2	2	. Oh	25	B	30, 54
2	2	And it's	29	B	24, 52
2	2	How long	5	B	96, 100
2	2	I'll put	23	B	70, 92
2	2	I've got	65	B	48, 112
2	2	It's ,	35	B	42, 76
2	2	Uh ,	5	B	28, 32
2	2	a great	73	B	40, 112
2	2	a little	25	B	68, 92
2	2	ahead and	5	B	104, 108
2	2	and I'll	37	B	34, 70
2	2	and it	37	B	36, 72
2	2	and it's	35	B	12, 46
2	2	and you	7	B	34, 40
2	2	bake it	25	B	72, 96
2	2	come over	19	B	16, 34
2	2	do it	49	B	20, 68
2	2	do you	9	B	96, 104
2	2	good .	65	B	30, 94
2	2	got a	73	B	40, 112
2	2	great ,	77	B	36, 112
2	2	in a	15	B	70, 84
2	2	in the	93	B	8, 100
2	2	in there	23	B	70, 92
2	2	it with	15	B	68, 82
2	2	love it	55	B	58, 112
2	2	one of	61	B	16, 76
2	2	over and	11	B	16, 26
2	2	rice .	11	B	72, 82
2	2	rice and	25	B	68, 92
2	2	stuff .	15	B	22, 36
2	2	that ,	61	B	50, 110
2	2	that's what	17	B	8, 24
2	2	the chicken	33	B	70, 102
2	2	the potatoes	7	B	34, 40
2	2	the rice	5	B	68, 72
2	2	things I	61	B	16, 76
2	2	too ,	71	B	28, 98
2	2	uncooked rice	21	B	62, 82
2	2	we had	3	B	24, 26
2	2	would you	17	B	0, 16
2	2	you have	97	B	0, 96
22	1	I	113	B	2, 8, 14, 16, 18, 20, 22, 28, 36, 42, 50, 58, 68, 70, 76, 78, 82, 92, 98, 106, 112, 114
20	1	it	109	B	6, 8, 12, 20, 36, 40, 58, 68, 70, 72, 82, 92, 96, 100, 102, 104, 108, 110, 112, 114
17	1	and	107	B	8, 12, 16, 26, 34, 36, 40, 46, 68, 70, 72, 92, 104, 108, 110, 112, 114
16	1	a	97	B	18, 24, 26, 32, 34, 40, 68, 70, 72, 84, 92, 98, 106, 108, 112, 114
14	1	just	101	B	8, 12, 20, 26, 32, 34, 40, 50, 70, 72, 84, 92, 102, 108
14	1	like	103	B	8, 12, 18, 22, 34, 36, 42, 68, 70, 76, 84, 106, 108, 110
14	1	you	115	B	0, 6, 16, 18, 34, 36, 40, 50, 68, 96, 102, 104, 110, 114
12	1	in	103	B	8, 16, 24, 28, 44, 68, 70, 84, 92, 100, 108, 110
12	1	the	101	B	8, 32, 34, 40, 62, 68, 70, 72, 76, 100, 102, 108
11	1	it's	105	B	10, 12, 24, 32, 38, 40, 42, 46, 50, 52, 114
11	1	of	109	B	0, 16, 22, 26, 34, 44, 68, 76, 78, 92, 108
11	1	that	89	B	22, 36, 42, 44, 50, 76, 78, 92, 94, 108, 110
9	1	because	107	B	8, 32, 36, 40, 44, 50, 70, 76, 114
9	1	do	109	B	2, 20, 28, 34, 68, 96, 98, 104, 110
7	1	And	91	B	24, 34, 50, 52, 70, 72, 114
7	1	to	71	B	44, 70, 92, 96, 102, 110, 114
6	1	can	107	B	8, 20, 40, 50, 68, 114
6	1	got	97	B	16, 36, 40, 44, 48, 112
6	1	have	97	B	0, 8, 32, 34, 40, 96
6	1	or	77	B	34, 44, 68, 92, 104, 110
5	1	easy	77	B	32, 40, 42, 78, 108
5	1	put	43	B	68, 70, 92, 108, 110
5	1	real	47	B	32, 40, 42, 70, 78
5	1	we	25	B	24, 26, 32, 44, 48
5	1	with	69	B	40, 44, 68, 82, 108
5	1	would	101	B	0, 16, 78, 94, 100
4	1	Yeah	103	B	6, 74, 92, 108
4	1	cook	37	B	68, 78, 92, 104
4	1	doing	75	B	8, 22, 42, 82
4	1	for	77	B	16, 24, 76, 92
4	1	good	85	B	30, 36, 94, 114
4	1	one	93	B	16, 32, 76, 108
4	1	over	57	B	16, 26, 34, 72
4	1	then	33	B	50, 68, 72, 82
3	1	But	75	B	38, 82, 112
3	1	I've	65	B	48, 68, 112
3	1	Okay	103	B	0, 50, 102
3	1	be	23	B	78, 94, 100
3	1	bit	61	B	32, 68, 92
3	1	but	41	B	68, 70, 108
3	1	chicken	35	B	68, 70, 102
3	1	could	63	B	16, 68, 78
3	1	done	37	B	32, 50, 68
3	1	four	79	B	34, 44, 112
3	1	get	71	B	44, 102, 114
3	1	how	89	B	12, 66, 100
3	1	is	95	B	12, 32, 106
3	1	lasagna	19	B	8, 16, 26
3	1	little	49	B	44, 68, 92
3	1	makes	41	B	72, 108, 112
3	1	my	67	B	48, 76, 114
3	1	something	23	B	70, 78, 92
3	1	stuff	15	B	22, 34, 36
3	1	things	69	B	8, 16, 76
3	1	up	65	B	44, 48, 108
3	1	what	25	B	0, 8, 24
3	1	wine	41	B	68, 70, 108
3	1	wonderful	103	B	12, 72, 114
2	1	I'm	27	B	44, 70
2	1	That's	9	B	8, 16
2	1	actually	47	B	32, 78
2	1	bring	17	B	34, 50
2	1	can't	13	B	6, 18
2	1	come	19	B	16, 34
2	1	everybody	23	B	12, 34
2	1	garlic	85	B	26, 110
2	1	give	75	B	18, 92
