ID	Num. utterances	Num. tokens	Expression Lexicon Size (ELS)	Expression Variety (EV)	Expression Repetition (ER)	Voc. Overlap	ENTR	L	LMAX
2064_txt-base_human-speaker_A_B_tsv	112.0	1848.0	200.0	0.10822510822510822	0.5054112554112554	0.28498727735368956	1.4568134640332444	1.5893958076448829	5.0
2072_txt-base_human-speaker_A_B_tsv	90.0	1394.0	172.0	0.12338593974175036	0.4949784791965567	0.26239067055393583	1.627705594277757	1.734982332155477	5.0
2107_txt-base_human-speaker_A_B_tsv	178.0	2392.0	295.0	0.12332775919732442	0.5025083612040134	0.31568998109640833	1.3869054041489604	1.5325131810193322	5.0
2120_txt-base_human-speaker_A_B_tsv	19.0	281.0	24.0	0.08540925266903915	0.15658362989323843	0.1487603305785124	1.2189820281007173	1.4528301886792452	4.0
2149_txt-base_human-speaker_A_B_tsv	130.0	2428.0	305.0	0.12561779242174628	0.5061779242174629	0.3268398268398268	1.7011356266950692	1.7575757575757576	6.0
2157_txt-base_human-speaker_A_B_tsv	87.0	2180.0	276.0	0.12660550458715597	0.5041284403669725	0.33404255319148934	1.5567730214331506	1.658139534883721	7.0
2187_txt-base_human-speaker_A_B_tsv	115.0	2416.0	228.0	0.09437086092715231	0.4598509933774834	0.25256673511293637	1.4072581202675434	1.5635593220338984	5.0
2220_txt-base_human-speaker_A_B_tsv	124.0	2334.0	274.0	0.11739502999143102	0.5098543273350471	0.30303030303030304	1.4670128131792508	1.6090373280943024	5.0
2231_txt-base_human-speaker_A_B_tsv	101.0	1760.0	186.0	0.10568181818181818	0.4602272727272727	0.3022113022113022	1.3637455390802602	1.5171467764060356	6.0
2247_txt-base_human-speaker_A_B_tsv	62.0	1092.0	113.0	0.10347985347985347	0.35714285714285715	0.19398907103825136	1.4093967856029226	1.5498652291105122	4.0
2263_txt-base_human-speaker_A_B_tsv	111.0	1374.0	162.0	0.11790393013100436	0.4170305676855895	0.29289940828402367	1.3115876492634257	1.471186440677966	4.0
2264_txt-base_human-speaker_A_B_tsv	63.0	1271.0	174.0	0.13690007867820614	0.4626278520849725	0.30124223602484473	1.5484906725495011	1.6436567164179106	5.0
2279_txt-base_human-speaker_A_B_tsv	141.0	2380.0	233.0	0.09789915966386555	0.48823529411764705	0.28193832599118945	1.4768178175181492	1.5913654618473896	5.0
2287_txt-base_human-speaker_A_B_tsv	102.0	1843.0	212.0	0.11502984264785676	0.5328269126424309	0.3009950248756219	1.5106621054208889	1.6226880394574599	5.0
2296_txt-base_human-speaker_A_B_tsv	50.0	936.0	125.0	0.13354700854700854	0.42094017094017094	0.2901023890784983	1.4381651994487832	1.6104972375690607	7.0
2314_txt-base_human-speaker_A_B_tsv	84.0	1548.0	182.0	0.11757105943152454	0.4599483204134367	0.28608923884514437	1.3464029562749822	1.5135135135135136	5.0
2349_txt-base_human-speaker_A_B_tsv	91.0	1425.0	189.0	0.13263157894736843	0.44280701754385965	0.3257328990228013	1.74789742540885	1.8167808219178083	5.0
2353_txt-base_human-speaker_A_B_tsv	124.0	2193.0	237.0	0.10807113543091655	0.483812129502964	0.2719298245614035	1.5836964198344563	1.671875	6.0
2427_txt-base_human-speaker_A_B_tsv	257.0	3283.0	423.0	0.12884556807797745	0.5300030459945172	0.3250414593698176	1.632443108128449	1.720226843100189	6.0
2471_txt-base_human-speaker_A_B_tsv	52.0	1192.0	134.0	0.11241610738255034	0.44798657718120805	0.24148606811145512	1.5608184529978149	1.6571428571428573	5.0
2483_txt-base_human-speaker_A_B_tsv	76.0	2428.0	272.0	0.11202635914332784	0.5	0.29704797047970477	1.4476335098935795	1.559488692232055	5.0
2525_txt-base_human-speaker_A_B_tsv	128.0	2541.0	286.0	0.11255411255411256	0.5139708776072412	0.27155963302752295	1.5545625211679437	1.6759927797833936	6.0
2528_txt-base_human-speaker_A_B_tsv	109.0	2366.0	260.0	0.10989010989010989	0.47590870667793744	0.30148619957537154	1.5879049569378234	1.7141316073354909	5.0
2533_txt-base_human-speaker_A_B_tsv	133.0	2787.0	306.0	0.10979547900968784	0.5310369573017582	0.26929392446633826	1.4318572499307036	1.5631911532385465	7.0
2537_txt-base_human-speaker_A_B_tsv	80.0	2016.0	231.0	0.11458333333333333	0.5223214285714286	0.2716627634660422	1.740872129805283	1.7914634146341464	7.0
2547_txt-base_human-speaker_A_B_tsv	120.0	1963.0	221.0	0.11258278145695365	0.46051961283749365	0.28863636363636364	1.5664851483554332	1.6658446362515413	5.0
2552_txt-base_human-speaker_A_B_tsv	120.0	2334.0	303.0	0.12982005141388175	0.4897172236503856	0.31896551724137934	1.566593931674993	1.6860687022900764	5.0
2585_txt-base_human-speaker_A_B_tsv	120.0	2393.0	275.0	0.11491851232762224	0.4479732553280401	0.26972477064220185	1.4413397981707141	1.5925553319919517	4.0
2641_txt-base_human-speaker_A_B_tsv	154.0	2897.0	361.0	0.12461166724197445	0.5374525371073524	0.32575757575757575	1.6730496286213272	1.7512839325018341	7.0
2642_txt-base_human-speaker_A_B_tsv	78.0	2542.0	322.0	0.12667191188040913	0.5318646734854445	0.34265734265734266	1.6456069258028734	1.7583187390542907	7.0
2657_txt-base_human-speaker_A_B_tsv	97.0	2117.0	254.0	0.11998110533774209	0.4770902220122815	0.28600823045267487	1.4542819427891474	1.5717344753747324	6.0
2717_txt-base_human-speaker_A_B_tsv	89.0	2386.0	268.0	0.11232187761944677	0.5238893545683152	0.297029702970297	1.594414982424118	1.6670030272452068	7.0
2729_txt-base_human-speaker_A_B_tsv	142.0	2296.0	261.0	0.1136759581881533	0.45818815331010454	0.264	1.5401092355551669	1.6653386454183268	5.0
2749_txt-base_human-speaker_A_B_tsv	62.0	1705.0	179.0	0.10498533724340176	0.4797653958944281	0.24619289340101522	1.6861414052869788	1.7339593114241	7.0
2754_txt-base_human-speaker_A_B_tsv	114.0	2301.0	266.0	0.1156019122120817	0.5406345067362016	0.2975929978118162	1.7187429631898528	1.774327122153209	7.0
2770_txt-base_human-speaker_A_B_tsv	53.0	1049.0	146.0	0.13918017159199236	0.4489990467111535	0.30111524163568776	1.612057525690069	1.6833333333333333	5.0
2780_txt-base_human-speaker_A_B_tsv	97.0	2098.0	200.0	0.09532888465204957	0.47044804575786464	0.25614754098360654	1.1587453717200438	1.4079382579933848	6.0
2782_txt-base_human-speaker_A_B_tsv	90.0	1788.0	226.0	0.12639821029082773	0.4546979865771812	0.30957683741648107	1.46956807503218	1.5784574468085106	5.0
2836_txt-base_human-speaker_A_B_tsv	143.0	2403.0	235.0	0.09779442363712026	0.5176862255513941	0.25272727272727274	1.5396966985708995	1.6490134994807892	4.0
2879_txt-base_human-speaker_A_B_tsv	120.0	2553.0	267.0	0.1045828437132785	0.5142969056012534	0.2427536231884058	1.6869119190505015	1.7432170542635659	6.0
2900_txt-base_human-speaker_A_B_tsv	47.0	1032.0	100.0	0.09689922480620156	0.3226744186046512	0.2	1.3006037070797742	1.4664634146341464	4.0
2921_txt-base_human-speaker_A_B_tsv	199.0	2969.0	370.0	0.12462108454024924	0.5301448299090603	0.33707865168539325	1.6117109594325263	1.7063890882986361	6.0
2935_txt-base_human-speaker_A_B_tsv	77.0	1661.0	162.0	0.0975316074653823	0.44370860927152317	0.21875	1.4027382616390027	1.5448613376835236	6.0
2994_txt-base_human-speaker_A_B_tsv	62.0	1204.0	134.0	0.11129568106312292	0.4410299003322259	0.2606060606060606	1.2867179606049017	1.4609218436873748	4.0
3007_txt-base_human-speaker_A_B_tsv	84.0	1797.0	128.0	0.07122982749026155	0.32053422370617696	0.19246861924686193	1.0873104640290014	1.3479052823315119	4.0
3014_txt-base_human-speaker_A_B_tsv	141.0	1718.0	179.0	0.10419091967403958	0.39348079161816063	0.23908045977011494	1.4562580645785035	1.563235294117647	6.0
3020_txt-base_human-speaker_A_B_tsv	135.0	1902.0	198.0	0.10410094637223975	0.4831756046267087	0.24107142857142858	1.4037685601995404	1.5633626097867002	5.0
3028_txt-base_human-speaker_A_B_tsv	131.0	1884.0	246.0	0.1305732484076433	0.4681528662420382	0.2835820895522388	1.4125709229794283	1.5543478260869565	5.0
3045_txt-base_human-speaker_A_B_tsv	115.0	1951.0	220.0	0.11276268580215275	0.46078933880061507	0.28306264501160094	1.4290750642557528	1.5743162901307968	5.0
3056_txt-base_human-speaker_A_B_tsv	72.0	1900.0	187.0	0.09842105263157895	0.3678947368421053	0.24611398963730569	1.6206613648394008	1.7073170731707317	6.0
3067_txt-base_human-speaker_A_B_tsv	88.0	1800.0	199.0	0.11055555555555556	0.325	0.30985915492957744	1.3874578347055189	1.5513307984790874	4.0
3070_txt-base_human-speaker_A_B_tsv	105.0	1873.0	195.0	0.10411105178857448	0.42605445808862785	0.22653061224489796	1.4439335157455095	1.554016620498615	5.0
3072_txt-base_human-speaker_A_B_tsv	113.0	1710.0	180.0	0.10526315789473684	0.4608187134502924	0.25874125874125875	1.4012256293121572	1.5549132947976878	6.0
3092_txt-base_human-speaker_A_B_tsv	118.0	1790.0	227.0	0.12681564245810056	0.4519553072625698	0.2975609756097561	1.540332216298277	1.663129973474801	5.0
3131_txt-base_human-speaker_A_B_tsv	101.0	1813.0	198.0	0.10921125206839492	0.42084942084942084	0.26778242677824265	1.1514147544616926	1.3992537313432836	4.0
3152_txt-base_human-speaker_A_B_tsv	114.0	1682.0	213.0	0.12663495838287753	0.5029726516052319	0.31362467866323906	1.5595941701730993	1.6737891737891737	5.0
3185_txt-base_human-speaker_A_B_tsv	86.0	1420.0	169.0	0.11901408450704225	0.44859154929577466	0.2961876832844575	1.4654966385357575	1.5747126436781609	6.0
3187_txt-base_human-speaker_A_B_tsv	43.0	904.0	98.0	0.1084070796460177	0.3407079646017699	0.2324159021406728	0.9914496762938781	1.313953488372093	4.0
3202_txt-base_human-speaker_A_B_tsv	19.0	389.0	41.0	0.10539845758354756	0.2133676092544987	0.2119205298013245	0.9621461334087001	1.3859649122807018	2.0
