Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	, um , you know ,	55	A	16, 70
2	5	, I think it would	61	A	48, 108
2	5	I , I don't know	47	A	16, 62
2	5	Well , I , I	69	A	4, 72
2	5	uh , you know ,	21	A	42, 62
8	4	, you know ,	107	A	10, 16, 28, 42, 48, 62, 70, 116
4	4	, I , I	69	A	4, 20, 28, 72
3	4	I , I don't	47	A	16, 20, 62
2	4	, I don't think	15	A	20, 34
2	4	, I mean ,	49	A	16, 64
2	4	, uh , I	73	A	36, 108
2	4	, well , I	47	A	16, 62
2	4	. I think that	89	A	20, 108
2	4	I , I ,	89	A	20, 108
2	4	I don't know ,	27	A	36, 62
2	4	Uh-huh . Uh-huh .	79	A	0, 78
2	4	Yeah . Well ,	71	A	32, 102
2	4	it would have been	51	A	48, 98
2	4	it's , uh ,	75	A	22, 96
2	4	thirty years old ,	21	A	28, 48
13	3	, uh ,	105	A	4, 20, 22, 36, 42, 62, 72, 90, 96, 98, 100, 102, 108
9	3	, you know	107	A	10, 16, 28, 42, 48, 62, 70, 76, 116
8	3	I , I	105	A	4, 16, 20, 28, 62, 72, 76, 108
5	3	, um ,	107	A	6, 16, 48, 70, 112
5	3	I mean ,	55	A	10, 16, 22, 34, 64
4	3	, I think	81	A	28, 48, 98, 108
3	3	, well ,	81	A	16, 62, 96
3	3	. But ,	83	A	16, 76, 98
3	3	. Well ,	99	A	4, 32, 102
3	3	I think it	61	A	48, 102, 108
3	3	I think that	89	A	20, 48, 108
3	3	a lot of	99	A	10, 90, 108
2	3	, I guess	21	A	16, 36
2	3	, I'm not	61	A	16, 76
2	3	, and I	27	A	76, 102
2	3	, yeah .	65	A	16, 80
2	3	. Uh ,	3	A	20, 22
2	3	I guess it	21	A	16, 36
2	3	be able to	29	A	20, 48
2	3	feel like I	61	A	16, 76
2	3	it seems like	103	A	16, 118
2	3	it would be	33	A	76, 108
2	3	know , I	47	A	16, 62
2	3	now that I'm	21	A	28, 48
15	2	, uh	109	A	4, 20, 22, 36, 42, 62, 68, 72, 90, 96, 98, 100, 102, 108, 112
13	2	, I	105	A	4, 16, 20, 28, 34, 36, 48, 62, 64, 72, 76, 98, 108
13	2	uh ,	105	A	4, 20, 22, 36, 42, 62, 72, 90, 96, 98, 100, 102, 108
11	2	Yeah .	103	A	8, 24, 32, 46, 56, 58, 60, 82, 92, 102, 110
10	2	, you	107	A	10, 16, 28, 42, 48, 62, 70, 76, 102, 116
10	2	Uh-huh .	115	A	0, 18, 26, 30, 38, 50, 78, 86, 104, 114
10	2	you know	107	A	10, 16, 28, 42, 48, 62, 70, 76, 88, 116
9	2	I ,	105	A	4, 16, 20, 28, 62, 72, 76, 102, 108
7	2	I think	89	A	20, 28, 48, 88, 98, 102, 108
6	2	, and	107	A	12, 28, 76, 102, 112, 118
6	2	. I	105	A	4, 16, 20, 34, 66, 108
5	2	I mean	55	A	10, 16, 22, 34, 64
5	2	Well ,	99	A	4, 6, 32, 72, 102
5	2	and ,	65	A	12, 16, 64, 68, 76
4	2	, but	53	A	12, 20, 22, 64
4	2	Uh ,	69	A	20, 22, 52, 88
4	2	and I	71	A	32, 42, 76, 102
4	2	it's ,	83	A	20, 22, 96, 102
3	2	, in	87	A	12, 22, 98
3	2	, it's	33	A	70, 96, 102
3	2	, my	69	A	32, 64, 100
3	2	. But	83	A	16, 76, 98
3	2	Oh ,	97	A	2, 84, 98
3	2	Um ,	45	A	20, 28, 64
3	2	Yeah ,	59	A	22, 62, 80
3	2	but I	73	A	16, 22, 88
3	2	feel like	61	A	16, 62, 76
3	2	in a	89	A	10, 12, 98
3	2	it .	73	A	36, 52, 108
3	2	to be	55	A	48, 66, 102
2	2	, actually	109	A	4, 112
2	2	, it	89	A	10, 98
2	2	, some	33	A	20, 52
2	2	, that	21	A	28, 48
2	2	, that's	107	A	6, 112
2	2	, to	27	A	22, 48
2	2	. They	57	A	34, 90
2	2	I didn't	83	A	16, 98
2	2	I do	7	A	66, 72
2	2	I had	13	A	16, 28
2	2	I really	45	A	32, 76
2	2	I was	83	A	16, 98
