Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	, it was a	63	B	1, 63
2	4	, uh , they	33	B	1, 33
5	3	, uh ,	85	B	1, 25, 33, 81, 85
2	3	, Oh ,	3	B	37, 39
2	3	Yeah , I	75	B	3, 77
2	3	to , to	53	B	1, 53
2	3	you don't have	7	B	47, 53
5	2	Yeah ,	75	B	3, 31, 35, 59, 77
5	2	uh ,	85	B	1, 25, 33, 81, 85
4	2	, it	83	B	1, 35, 63, 83
4	2	Uh-huh .	55	B	11, 13, 27, 65
4	2	Yeah .	29	B	23, 35, 45, 51
3	2	, I	75	B	3, 71, 77
3	2	, and	43	B	37, 47, 79
3	2	, they	37	B	1, 33, 37
3	2	Oh ,	35	B	37, 39, 71
3	2	Right .	29	B	43, 49, 71
3	2	don't have	19	B	35, 47, 53
3	2	have a	27	B	21, 25, 47
2	2	, a	57	B	25, 81
2	2	It was	63	B	1, 63
2	2	Oh .	11	B	9, 19
2	2	That's what	9	B	39, 47
2	2	Uh ,	59	B	25, 83
2	2	Um ,	5	B	81, 85
2	2	Well ,	9	B	67, 75
2	2	a lot	3	B	79, 81
2	2	and then	11	B	37, 47
2	2	get to	5	B	33, 37
2	2	here .	23	B	35, 57
2	2	in the	21	B	1, 21
2	2	like to	25	B	21, 45
2	2	see ,	23	B	63, 85
2	2	that ,	7	B	73, 79
2	2	to ,	53	B	1, 53
2	2	too .	15	B	63, 77
13	1	a	85	B	1, 21, 25, 35, 37, 47, 59, 63, 67, 73, 79, 81, 85
11	1	to	85	B	1, 21, 33, 37, 45, 47, 53, 63, 79, 81, 85
8	1	I	75	B	3, 21, 31, 47, 67, 69, 71, 77
7	1	and	69	B	17, 37, 47, 59, 79, 83, 85
7	1	the	85	B	1, 3, 21, 33, 47, 67, 85
7	1	you	59	B	15, 37, 45, 47, 53, 55, 73
5	1	Right	67	B	5, 37, 43, 49, 71
5	1	get	53	B	33, 37, 47, 53, 85
5	1	have	33	B	21, 25, 35, 47, 53
5	1	just	53	B	29, 35, 73, 77, 81
5	1	so	83	B	1, 35, 63, 77, 83
5	1	that	61	B	21, 47, 73, 79, 81
4	1	in	67	B	1, 21, 59, 67
4	1	it	83	B	1, 35, 63, 83
4	1	like	65	B	21, 45, 73, 85
4	1	of	81	B	1, 59, 79, 81
4	1	year	85	B	1, 31, 59, 85
3	1	And	41	B	21, 33, 61
3	1	but	73	B	1, 31, 73
3	1	had	85	B	1, 79, 85
3	1	here	41	B	35, 57, 75
3	1	is	83	B	3, 47, 85
3	1	one	81	B	1, 31, 81
3	1	really	43	B	21, 35, 63
3	1	see	23	B	63, 69, 85
3	1	they	37	B	1, 33, 37
3	1	was	81	B	1, 63, 81
3	1	we	61	B	25, 81, 85
2	1	They	5	B	25, 29
2	1	What	11	B	45, 55
2	1	about	25	B	55, 79
2	1	any	51	B	3, 53
2	1	be	27	B	21, 47
2	1	do	25	B	21, 45
2	1	for	7	B	67, 73
2	1	from	11	B	37, 47
2	1	he	7	B	79, 85
2	1	little	5	B	63, 67
2	1	me	23	B	57, 79
2	1	my	41	B	39, 79
2	1	only	37	B	31, 67
2	1	something	53	B	21, 73
2	1	them	59	B	21, 79
2	1	up	21	B	47, 67
2	1	who	55	B	25, 79
2	1	with	7	B	61, 67
2	1	would	27	B	21, 47

