Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	Uh-huh . Uh-huh . Right	77	40	1	A	38, 77
8	8	4	, you know ,	42	57	5	B	5, 9, 19, 25, 39, 42, 48, 61
3	1	4	Uh-huh . Uh-huh .	77	48	2	A	30, 38, 77
2	2	4	, I , I	44	26	1	B	19, 44
2	2	4	, I'm , I'm	16	16	1	B	1, 16
2	2	4	, uh , we	73	58	1	A	16, 73
18	17	3	, uh ,	9	79	1	A	0, 9, 11, 15, 16, 24, 25, 35, 42, 44, 49, 52, 60, 66, 68, 69, 73, 78
9	1	3	, you know	45	57	5	B	5, 9, 19, 25, 39, 42, 45, 48, 61
4	2	3	I , I	44	44	3	B	1, 9, 19, 44
4	4	3	I don't think	24	60	1	B	19, 24, 68, 78
3	3	3	, I guess	5	51	1	A	0, 5, 50
3	3	3	, I mean	36	31	1	B	9, 36, 39
3	1	3	. Uh-huh .	77	48	2	A	30, 38, 77
3	3	3	the other thing	50	19	1	B	39, 50, 57
2	2	3	, I heard	21	8	1	A	14, 21
2	2	3	, do you	36	20	1	B	17, 36
2	2	3	, in ,	66	6	1	B	61, 66
2	2	3	, it's not	66	58	1	B	9, 66
2	2	3	, um ,	39	30	1	A	10, 39
2	2	3	, yeah ,	27	12	1	A	16, 27
2	2	3	. Um ,	75	16	1	A	60, 75
2	2	3	I mean ,	36	18	1	B	19, 36
2	2	3	Oh , yeah	27	26	1	A	2, 27
2	2	3	and everything .	38	30	1	B	9, 38
2	2	3	can , you	62	18	1	B	45, 62
2	2	3	or something ,	61	26	1	A	36, 61
2	2	3	the , I	57	58	1	A	0, 57
2	2	3	them , because	52	34	1	B	19, 52
2	2	3	you to do	66	28	1	B	39, 66
17	7	2	, I	1	79	1	A	0, 1, 5, 6, 9, 14, 19, 21, 22, 23, 36, 39, 42, 44, 50, 57, 78
11	1	2	, you	5	63	1	A	0, 5, 9, 19, 25, 39, 42, 45, 48, 61, 62
11	8	2	Uh-huh .	3	78	1	A	0, 3, 16, 20, 30, 38, 46, 55, 64, 67, 77
11	2	2	you know	36	72	4	B	5, 9, 19, 25, 36, 39, 42, 45, 48, 61, 76
9	2	2	know ,	42	57	6	B	5, 9, 19, 23, 25, 39, 42, 48, 61
8	8	2	, and	61	56	7	A	6, 22, 24, 32, 42, 48, 56, 61
8	8	2	Well ,	6	75	1	B	1, 6, 17, 31, 54, 59, 73, 75
8	8	2	in the	9	67	1	A	0, 9, 16, 42, 44, 60, 63, 66
6	6	2	, the	24	62	2	B	5, 19, 24, 52, 57, 66
6	2	2	I ,	44	66	4	B	1, 9, 19, 27, 44, 66
6	2	2	I don't	24	70	2	B	9, 19, 24, 57, 68, 78
6	4	2	Oh ,	21	35	1	A	2, 21, 23, 27, 29, 36
5	4	2	, it's	66	69	3	B	5, 9, 19, 66, 73
5	5	2	, that	19	56	1	A	18, 19, 60, 61, 73
5	1	2	I mean	49	41	2	B	9, 19, 36, 39, 49
5	5	2	Right .	47	52	1	A	26, 47, 74, 75, 77
5	5	2	Yeah ,	39	43	1	A	10, 39, 44, 51, 52
5	5	2	but ,	66	64	3	B	5, 9, 61, 66, 68
5	3	2	do you	36	59	2	B	17, 33, 36, 49, 75
4	3	2	, I'm	6	45	1	B	1, 6, 16, 45
4	4	2	, but	68	60	3	B	9, 19, 61, 68
4	2	2	, do	60	50	1	B	17, 36, 60, 66
4	4	2	, it	22	60	1	B	9, 22, 66, 68
4	4	2	, like	36	42	1	B	9, 36, 42, 50
4	2	2	, we	25	58	1	A	16, 25, 60, 73
4	4	2	is the	50	44	1	B	35, 50, 57, 78
4	4	2	it's ,	54	69	2	B	5, 9, 54, 73
4	4	2	of the	25	74	1	A	0, 25, 50, 73
4	4	2	that ,	66	47	2	B	27, 61, 66, 73
4	1	2	the other	42	19	1	B	39, 42, 50, 57
4	4	2	you have	56	59	2	B	17, 33, 56, 75
3	1	2	, because	52	34	2	B	19, 27, 52
3	3	2	, or	61	40	2	A	22, 50, 61
3	3	2	, well	19	24	1	A	16, 19, 39
3	1	2	. Right	47	40	1	A	38, 47, 77
3	3	2	I did	59	18	2	A	42, 56, 59
3	1	2	I guess	5	51	1	A	0, 5, 50
3	1	2	Um ,	75	72	2	A	4, 60, 75
3	3	2	and ,	6	25	1	B	1, 6, 25
3	3	2	and it's	48	40	2	B	9, 17, 48
3	3	2	either .	57	37	1	A	24, 57, 60
3	3	2	going to	66	48	2	B	19, 45, 66
3	1	2	in ,	61	49	1	A	18, 61, 66
3	3	2	on the	41	20	2	A	22, 32, 41
3	1	2	the ,	5	58	1	A	0, 5, 57
3	1	2	to do	66	28	2	B	39, 59, 66
2	2	2	, a	69	20	1	A	50, 69
2	1	2	, in	66	6	1	B	61, 66
2	2	2	, is	66	28	1	B	39, 66
2	2	2	, okay	29	14	1	A	16, 29
2	2	2	, this	36	2	1	B	35, 36
2	2	2	. Yeah	47	38	1	A	10, 47
2	2	2	Yeah .	72	26	1	B	47, 72
2	2	2	all the	66	58	1	B	9, 66
2	2	2	and it	25	12	1	A	14, 25
2	2	2	and then	61	52	1	A	10, 61
2	2	2	benefit that	78	40	1	B	39, 78
2	2	2	for a	41	20	1	A	22, 41
2	2	2	hours and	78	38	1	B	41, 78
2	2	2	in a	60	42	1	B	19, 60
2	2	2	in and	25	2	1	A	24, 25
2	2	2	is ,	66	28	1	B	39, 66
2	2	2	it and	45	36	1	A	10, 45
2	1	2	it's not	66	58	1	B	9, 66
2	2	2	kind of	73	14	1	A	60, 73
2	2	2	not in	49	32	1	A	18, 49
2	2	2	people ,	24	16	1	B	9, 24
2	2	2	they were	52	2	1	B	51, 52
2	2	2	thing ,	57	22	1	A	36, 57
2	2	2	to get	52	8	1	B	45, 52
2	2	2	we have	73	68	1	A	6, 73
2	2	2	what was	78	36	1	B	43, 78
2	2	2	with something	66	50	1	B	17, 66
2	2	2	you could	39	16	1	A	24, 39
2	2	2	you think	22	4	1	B	19, 22
31	15	1	I	1	79	1	A	0, 1, 5, 6, 9, 14, 19, 21, 22, 23, 24, 27, 34, 36, 37, 39, 42, 44, 45, 49, 50, 56, 57, 59, 60, 63, 65, 66, 68, 76, 78
29	16	1	the	5	79	2	A	0, 4, 5, 6, 7, 9, 16, 19, 22, 24, 25, 32, 35, 39, 41, 42, 43, 44, 48, 50, 52, 57, 59, 60, 61, 63, 66, 73, 78
26	10	1	you	1	79	1	A	0, 1, 5, 9, 10, 17, 19, 22, 24, 25, 31, 33, 36, 39, 42, 45, 48, 49, 54, 56, 61, 62, 66, 75, 76, 78
22	18	1	a	4	76	1	B	1, 4, 6, 14, 17, 19, 22, 24, 27, 34, 39, 41, 44, 48, 50, 56, 60, 66, 69, 71, 73, 76
22	15	1	and	9	78	1	B	1, 6, 9, 10, 14, 17, 22, 24, 25, 32, 38, 41, 42, 44, 45, 48, 56, 60, 61, 62, 66, 78
21	13	1	in	9	79	2	A	0, 6, 9, 10, 16, 18, 19, 24, 25, 31, 34, 41, 42, 44, 49, 50, 60, 61, 63, 66, 78
21	17	1	that	7	75	1	A	4, 7, 9, 10, 17, 18, 19, 22, 27, 34, 39, 44, 50, 52, 59, 60, 61, 65, 66, 73, 78
17	14	1	to	32	58	5	B	9, 17, 19, 25, 31, 32, 34, 39, 42, 45, 48, 50, 52, 59, 60, 61, 66
14	9	1	it	9	65	1	A	4, 9, 10, 14, 17, 22, 24, 25, 37, 39, 41, 45, 66, 68
14	11	1	of	15	74	2	A	0, 6, 15, 19, 22, 25, 38, 41, 50, 52, 60, 61, 66, 73
13	1	1	know	36	76	6	B	1, 5, 9, 19, 23, 25, 36, 39, 42, 45, 48, 61, 76
12	1	1	Uh-huh	53	78	1	A	0, 3, 16, 20, 30, 38, 46, 53, 55, 64, 67, 77
11	2	1	do	37	59	2	B	17, 33, 36, 37, 39, 47, 49, 59, 60, 66, 75
11	9	1	for	19	77	1	A	0, 19, 22, 27, 36, 39, 41, 44, 65, 66, 76
