,response,context,context/0,context/1,context/2,context/3
0,I'm from Texas.,"But, then again I originally was from California and, uh, there is a big difference between Texas and California.  And, uh  they'd have their smog alerts and where you'd have to stay indoors for so many hours with an air conditioner.",Uh-huh.,"Yeah. Is it, like water running and she is doing I know in here, uh, downtown Dallas, it's, you, I mean you drive by and you can just, you can see it.","Okay Carol. So, air quality.",Okay
1,Not. Yet.,Surely.,"But, then again I originally was from California and, uh, there is a big difference between Texas and California.  And, uh  they'd have their smog alerts and where you'd have to stay indoors for so many hours with an air conditioner.",Uh-huh.,"Yeah. Is it, like water running and she is doing I know in here, uh, downtown Dallas, it's, you, I mean you drive by and you can just, you can see it.","Okay Carol. So, air quality."
2,They're,"And, of course, they don't have that here in Texas so, there's...",Surely.,"But, then again I originally was from California and, uh, there is a big difference between Texas and California.  And, uh  they'd have their smog alerts and where you'd have to stay indoors for so many hours with an air conditioner.",Uh-huh.,"Yeah. Is it, like water running and she is doing I know in here, uh, downtown Dallas, it's, you, I mean you drive by and you can just, you can see it."
3,I know. They should have been more concerned about the smogginess of the air in the area.,"You mean they don't have the, uh, the smog alerts?","And, of course, they don't have that here in Texas so, there's...",Surely.,"But, then again I originally was from California and, uh, there is a big difference between Texas and California.  And, uh  they'd have their smog alerts and where you'd have to stay indoors for so many hours with an air conditioner.",Uh-huh.
4,Are they in Texas?,"No, not in, not in well not in Dallas, that is.","You mean they don't have the, uh, the smog alerts?","And, of course, they don't have that here in Texas so, there's...",Surely.,"But, then again I originally was from California and, uh, there is a big difference between Texas and California.  And, uh  they'd have their smog alerts and where you'd have to stay indoors for so many hours with an air conditioner."
5,"Not in Dallas, Texas.","Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there.","No, not in, not in well not in Dallas, that is.","You mean they don't have the, uh, the smog alerts?","And, of course, they don't have that here in Texas so, there's...",Surely.
6,"Well, I'm in Dallas.",Yeah. We're going there tomorrow.,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there.","No, not in, not in well not in Dallas, that is.","You mean they don't have the, uh, the smog alerts?","And, of course, they don't have that here in Texas so, there's..."
7,"Oh, and the, uh, the smo... Oh, well, they have the smoo...","Oh, really",Yeah. We're going there tomorrow.,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there.","No, not in, not in well not in Dallas, that is.","You mean they don't have the, uh, the smog alerts?"
8,"Oh, okay. I'm gonna go and do that then.",Uh-huh  We're  packing and getting ready to go to.,"Oh, really",Yeah. We're going there tomorrow.,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there.","No, not in, not in well not in Dallas, that is."
9,"It's a nice name. I'm from Texas, so I'm used to calling myself Texan.","Yeah.   Actually, I'm a California born person.",Uh-huh  We're  packing and getting ready to go to.,"Oh, really",Yeah. We're going there tomorrow.,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there."
