,Speaker,Utterance,Unified
5,M,They are in a glass jar.,M|They are in a glass jar.
6,A,Right.,A|Right.
7,M,We have a few of those,M|We have a few of those
8,A,"Uh-huh, uh-huh. And what kinds of things do you use it for when you when you go to their houses to them?","A|Uh-huh, uh-huh. And what kinds of things do you use it for when you when you go to their houses to them?"
9,M,"I don't have a garage, so I don't really have a car.","M|I don't have a garage, so I don't really have a car."
10,A,Yeah.,A|Yeah.
11,M,I'm sorry?,M|I'm sorry?
12,A,Oh.,A|Oh.
13,M,"Yeah, uh, uh.","M|Yeah, uh, uh."
14,A,Uh-huh.,A|Uh-huh.
15,M,Umm. Uh huh.,M|Umm. Uh huh.
16,A,Uh-huh.,A|Uh-huh.
17,M,I've been told by my family that I have an apple.,M|I've been told by my family that I have an apple.
18,A,Great. Yeah.,A|Great. Yeah.
19,M,She got me a copy of the iPhone app for school.,M|She got me a copy of the iPhone app for school.
20,A,"Oh, sure.","A|Oh, sure."
21,M,I think we've got a few of them in the past.,M|I think we've got a few of them in the past.
22,A,Yeah.,A|Yeah.
23,M,Do you have a resume?,M|Do you have a resume?
24,A,"Uh-huh. Uh-huh. Yeah, well, I tell you once you get used to having them you, you get spoiled really quickly.","A|Uh-huh. Uh-huh. Yeah, well, I tell you once you get used to having them you, you get spoiled really quickly."
25,M,It's the most beautiful thing ever.,M|It's the most beautiful thing ever.
26,A,"Uh,","A|Uh,"
27,M,I dunno.,M|I dunno.
28,A,Oh.,A|Oh.
29,M,I've been told.,M|I've been told.
30,A,Uh-huh.,A|Uh-huh.
31,M,But they're still the same.,M|But they're still the same.
32,A,Yeah.,A|Yeah.
33,M,I think it's a little late to make this comment,M|I think it's a little late to make this comment
34,A,Right.,A|Right.
35,M,I don't think that's the case.,M|I don't think that's the case.
36,A,"Yeah, yeah. Um, I I'm a, a writer by profession and, uh, when, when I was first here in, in Dallas or in Plano, um, and was finally able to, this is, oh, been like fourteen years ago we moved here. And I was finally able to afford a new typewriter, and I got an I B M Selectric. I thought I had died and gone to heaven because I thought, oh, they're so wonderful.","A|Yeah, yeah. Um, I I'm a, a writer by profession and, uh, when, when I was first here in, in Dallas or in Plano, um, and was finally able to, this is, oh, been like fourteen years ago we moved here. And I was finally able to afford a new typewriter, and I got an I B M Selectric. I thought I had died and gone to heaven because I thought, oh, they're so wonderful."
37,M,It's,M|It's
38,A,"Well, then, um,","A|Well, then, um,"
39,M,"I'm not really, I'm just...","M|I'm not really, I'm just..."
40,A,"Yeah, ours really needs to have some work done on it but, but then my husband, um, worked at T I and I got a, um, this has been years ago he doesn't work there anymore, but he got a, um, uh, the, the T I professional and brought that home and I learned Wordstar on that,","A|Yeah, ours really needs to have some work done on it but, but then my husband, um, worked at T I and I got a, um, this has been years ago he doesn't work there anymore, but he got a, um, uh, the, the T I professional and brought that home and I learned Wordstar on that,"
41,M,"It,","M|It,"
42,A,"and, boy once that happened, there was just no way that I could ever go back to doing anything of length of the typewriter.","A|and, boy once that happened, there was just no way that I could ever go back to doing anything of length of the typewriter."
43,M,I am so glad you were able to,M|I am so glad you were able to
44,A,Uh-huh.,A|Uh-huh.
