,Speaker,Utterance,Unified
5,M,Ah. Cool.,M|Ah. Cool.
6,A,Yeah.,A|Yeah.
7,M,No. No.,M|No. No.
8,A,"Well, they haven't, they haven't, have they just lost one game this year?","A|Well, they haven't, they haven't, have they just lost one game this year?"
9,M,The Cardinals have been pretty good this year.,M|The Cardinals have been pretty good this year.
10,A,Two.,A|Two.
11,M,"I mean, how many games have you won?","M|I mean, how many games have you won?"
12,A,"Yeah. But they're not doing bad. People are pretty surprised that they, I mean they beat the Giants.","A|Yeah. But they're not doing bad. People are pretty surprised that they, I mean they beat the Giants."
13,M,This is a really bad list.,M|This is a really bad list.
14,A,I bet,A|I bet
15,M,It was fun,M|It was fun
16,A,"Oh, boy, I bet all the men that got direct down there were just right on it","A|Oh, boy, I bet all the men that got direct down there were just right on it"
17,M,This is why I always go to the toilet,M|This is why I always go to the toilet
18,A,Yep.,A|Yep.
19,M,I bet all of them were right on the roof.,M|I bet all of them were right on the roof.
20,A,"Yeah. Yeah, well, I am, I'm a big football fan. I never my father was a football fan my whole life and he used to have the football pool at the office and all this stuff and I just hated it. And I think I was just mad because he spent so much time watching football on Sundays.","A|Yeah. Yeah, well, I am, I'm a big football fan. I never my father was a football fan my whole life and he used to have the football pool at the office and all this stuff and I just hated it. And I think I was just mad because he spent so much time watching football on Sundays."
21,M,...,M|...
22,A,"And, uh, so when I met my husband, he was watching football and I figured out that I couldn't see him all weekend. I couldn't see him until like Tuesday because MONDAY NIGHT FOOTBALL, if I didn't, like football. So,","A|And, uh, so when I met my husband, he was watching football and I figured out that I couldn't see him all weekend. I couldn't see him until like Tuesday because MONDAY NIGHT FOOTBALL, if I didn't, like football. So,"
23,M,"Nope,","M|Nope,"
24,A,Yep.,A|Yep.
25,M,You can't be.,M|You can't be.
26,A,"Uh-huh, uh-huh.","A|Uh-huh, uh-huh."
27,M,"Uhhh, you know, you can't just... uh... join them.","M|Uhhh, you know, you can't just... uh... join them."
28,A,Yeah.,A|Yeah.
29,M,Oh. Well.,M|Oh. Well.
30,A,"Uh-huh. Well, I do. I just, I love it. It's such, I just think it's such a fun sport. And, uh, I'm just hoping that the Broncos can get back on their feet. We're not convinced that we're going to be Cowboy fans yet. But, uh,","A|Uh-huh. Well, I do. I just, I love it. It's such, I just think it's such a fun sport. And, uh, I'm just hoping that the Broncos can get back on their feet. We're not convinced that we're going to be Cowboy fans yet. But, uh,"
31,M,...,M|...
32,A,"Well, I guess we'll first have to get to used to the idea that we're staying here","A|Well, I guess we'll first have to get to used to the idea that we're staying here"
33,M,You're gonna get it?,M|You're gonna get it?
34,A,"That's even harder. But,","A|That's even harder. But,"
35,M,I think we can.,M|I think we can.
36,A,"No, we're just, this is only the second place we've lived. We've only been married for five and a half years. And, uh, we have two small children, and he had a, uh, just got transferred here to E-Systems, so.","A|No, we're just, this is only the second place we've lived. We've only been married for five and a half years. And, uh, we have two small children, and he had a, uh, just got transferred here to E-Systems, so."
37,M,Are they?,M|Are they?
38,A,"Oh. Well, I tell you this, the weather here and there's no mountains or anything, you know, and when you go to a football game in Colorado that's, you know, there's snow and it's an adventure And here, yeah you've just got to drive down to the, to the stadium","A|Oh. Well, I tell you this, the weather here and there's no mountains or anything, you know, and when you go to a football game in Colorado that's, you know, there's snow and it's an adventure And here, yeah you've just got to drive down to the, to the stadium"
39,M,I,M|I
40,A,"and, uh,","A|and, uh,"
41,M,"It's, I've been","M|It's, I've been"
42,A,Yes.,A|Yes.
43,M,Do you?,M|Do you?
44,A,"Well, he's from here.","A|Well, he's from here."
45,M,So what?,M|So what?
46,A,That's what I hear.,A|That's what I hear.
47,M,And he's a very nice guy.,M|And he's a very nice guy.
48,A,Which is rare.,A|Which is rare.
49,M,You could always cheer for the Cowboys,M|You could always cheer for the Cowboys
50,A,"Which is good. Yeah. But, uh, I, you know, it's funny in, in Colorado when the Broncos went to the Superbowl three times in the last, I don't know, five or six years whatever it's been. Um, they have these songs on the radio. They take popular songs and, and change them to fit, uh, the Broncos and stuff.","A|Which is good. Yeah. But, uh, I, you know, it's funny in, in Colorado when the Broncos went to the Superbowl three times in the last, I don't know, five or six years whatever it's been. Um, they have these songs on the radio. They take popular songs and, and change them to fit, uh, the Broncos and stuff."
51,M,It's not the worst thing.,M|It's not the worst thing.
52,A,"And they had, I was just thinking about one the other day. Uh, if I saw a picture of John Elway in the, in the cafeteria at school, um, but they did the Johnny Angel. They did Johnny Elway to that.","A|And they had, I was just thinking about one the other day. Uh, if I saw a picture of John Elway in the, in the cafeteria at school, um, but they did the Johnny Angel. They did Johnny Elway to that."
53,M,I am...,M|I am...
54,A,"And, and I was trying to get my son to sing that. My husband was just having a fit to sound like her don't have him sing that song But, they, they do a lot of fun things. I think football is, football is kind of a, a sport that I think you kind of, it's hard not to like it. Because you know there's just,","A|And, and I was trying to get my son to sing that. My husband was just having a fit to sound like her don't have him sing that song But, they, they do a lot of fun things. I think football is, football is kind of a, a sport that I think you kind of, it's hard not to like it. Because you know there's just,"
55,M,,M|
56,A,It's exciting.,A|It's exciting.
57,M,"Just, it's so exciting","M|Just, it's so exciting"
58,A,Yeah.,A|Yeah.
59,M,Do you like football?,M|Do you like football?
60,A,"Yeah. Yeah, they I, I wish I would have bought the tape when I was in, uh, in Colorado. Because, uh, I, I think about that a lot. But, you know, when I first moved here was when they, well, no, I guess it was about a year ago they did this. This interstate seventy-five song. Or whatever it was about Central Expressway and getting it done in nineteen ninety-five and everything.","A|Yeah. Yeah, they I, I wish I would have bought the tape when I was in, uh, in Colorado. Because, uh, I, I think about that a lot. But, you know, when I first moved here was when they, well, no, I guess it was about a year ago they did this. This interstate seventy-five song. Or whatever it was about Central Expressway and getting it done in nineteen ninety-five and everything."
61,M,Ohh.,M|Ohh.
62,A,"That was kind of a funny song but they sure do, it seems to me like they really love their Cowboys here. Even when they were losing pitifully, you know, people still support them. We drive by some houses everyday that have big signs, we love the","A|That was kind of a funny song but they sure do, it seems to me like they really love their Cowboys here. Even when they were losing pitifully, you know, people still support them. We drive by some houses everyday that have big signs, we love the"
