,Speaker,Utterance,Unified
5,M,Are you?,M|Are you?
6,A,Uh-huh.,A|Uh-huh.
7,M,,M|
8,A,Yeah.,A|Yeah.
9,M,,M|
10,A,Uh-huh.,A|Uh-huh.
11,M,So I can't be fired for not being able to do my job.,M|So I can't be fired for not being able to do my job.
12,A,Yeah.  Yeah. Yeah.,A|Yeah.  Yeah. Yeah.
13,M,Yes. Yeah. Yeah.Yeah.Yeah.,M|Yes. Yeah. Yeah.Yeah.Yeah.
14,A,Huh.   Right.,A|Huh.   Right.
15,M,"I mean, uh, I've been at the office all day.","M|I mean, uh, I've been at the office all day."
16,A,Yeah.,A|Yeah.
17,M,I mean. That's kinda bad.,M|I mean. That's kinda bad.
18,A,Uh-huh.,A|Uh-huh.
19,M,It's a good.it's a good thing.,M|It's a good.it's a good thing.
20,A,"Yeah.  Yeah. Right. Uh, and, and, and another good thing is with the health benefits when they give you more than two choices on who to go with.","A|Yeah.  Yeah. Right. Uh, and, and, and another good thing is with the health benefits when they give you more than two choices on who to go with."
21,M,And the one you can choose to have.,M|And the one you can choose to have.
22,A,And that really helped us out a great deal. So. But my husband does get vacation and it's worked out really good for us too.,A|And that really helped us out a great deal. So. But my husband does get vacation and it's worked out really good for us too.
23,M,Yes,M|Yes
24,A,So But.,A|So But.
25,M,I think the best thing about the benefits is the availability of the benefits.,M|I think the best thing about the benefits is the availability of the benefits.
26,A,Yeah.,A|Yeah.
27,M,I'm good for a week and a half.,M|I'm good for a week and a half.
28,A,Uh-huh.,A|Uh-huh.
29,M,"Uhm, I don't think so.","M|Uhm, I don't think so."
30,A,Uh-huh.,A|Uh-huh.
31,M,Uhh. Um.,M|Uhh. Um.
32,A,"Well, that's great that you all can work that out.  That's really good.","A|Well, that's great that you all can work that out.  That's really good."
33,M,"Yeah, we're not doing it any more. We're doing it for the sake of the","M|Yeah, we're not doing it any more. We're doing it for the sake of the"
34,A,Right.,A|Right.
35,M,Oh? I see.,M|Oh? I see.
36,A,Uh-huh.,A|Uh-huh.
37,M,"Oh, cool.","M|Oh, cool."
38,A,Yeah.,A|Yeah.
39,M,You're a kid?,M|You're a kid?
40,A,"Yeah. It's the same with my husband cause he's got pretty flexible hours if, as long as he puts in the hours he needs to do . Worked out really well for us too.","A|Yeah. It's the same with my husband cause he's got pretty flexible hours if, as long as he puts in the hours he needs to do . Worked out really well for us too."
41,M,What?,M|What?
42,A,"Uh. Well is there anything else that you look for or,","A|Uh. Well is there anything else that you look for or,"
43,M,I just have a lot of free time.,M|I just have a lot of free time.
44,A,"You've hit pretty,  you've put a lot of the main points in.","A|You've hit pretty,  you've put a lot of the main points in."
45,M,"That's what I'm trying to do, but I don't want to be a bad guy.","M|That's what I'm trying to do, but I don't want to be a bad guy."
46,A,Uh-huh.,A|Uh-huh.
47,M,He's got the uhhhhh.,M|He's got the uhhhhh.
48,A,Yeah. Yeah.,A|Yeah. Yeah.
49,M,You know.,M|You know.
50,A,Uh-huh.,A|Uh-huh.
51,M,that.,M|that.
52,A,Uh-huh.,A|Uh-huh.
53,M,I can't. It's.all of. It'ing.,M|I can't. It's.all of. It'ing.
54,A,Yeah. And that does make a a person want to stay,A|Yeah. And that does make a a person want to stay
