,Speaker,Utterance,Unified
5,B,You bet.,B|You bet.
6,M,I'm ready,M|I'm ready
7,B,I'll let you lead out.,B|I'll let you lead out.
8,M,Oh. Alright.,M|Oh. Alright.
9,B,I'll let you lead out.,B|I'll let you lead out.
10,M,I don't have anything to lead you.,M|I don't have anything to lead you.
11,B,"I think one of the things that's interesting to me is if you look particularly at the political changes is that the, they seem to be social, they seem to be economically driven also.","B|I think one of the things that's interesting to me is if you look particularly at the political changes is that the, they seem to be social, they seem to be economically driven also."
12,M,Theylol,M|Theylol
13,B,"So if you look at Russia and what's happened over there, I think the change in Communism was as a result of the economic problems that they were experiencing. And, of course, I look at the economic problems in the United States right now. One of the things you wonder is what that's going to do to us.","B|So if you look at Russia and what's happened over there, I think the change in Communism was as a result of the economic problems that they were experiencing. And, of course, I look at the economic problems in the United States right now. One of the things you wonder is what that's going to do to us."
14,M,",yeah?yes","M|,yeah?yes"
15,B,"I think the other kind of changes like job changes and those kinds of things, I mean, I think it's great to even have three or four different careers in your life.","B|I think the other kind of changes like job changes and those kinds of things, I mean, I think it's great to even have three or four different careers in your life."
16,M,What do you're what,M|What do you're what
17,B,"I think it must have been terribly boring to go through,  your life doing just one thing for fifty years or forty years.","B|I think it must have been terribly boring to go through,  your life doing just one thing for fifty years or forty years."
18,M,50 years,M|50 years
19,B,"Some of that opportunity for job change in the fact that, that aspects changing.","B|Some of that opportunity for job change in the fact that, that aspects changing."
20,M,It's pretty hard to not feel like you've accomplished something,M|It's pretty hard to not feel like you've accomplished something
21,B,"And the uncertainty of whether you're going to have a job is not as good, but, the fact that you really can make major changes in your life and jobs.","B|And the uncertainty of whether you're going to have a job is not as good, but, the fact that you really can make major changes in your life and jobs."
22,M,That's true.,M|That's true.
23,B,I think it's great.,B|I think it's great.
24,M,Do you think it is good or not?,M|Do you think it is good or not?
25,B,"Oh, yeah.","B|Oh, yeah."
26,M,It's good.,M|It's good.
27,B,"I think one of the problems with, with education as it relates to this, though, is that I don't know that education is prepared to help people make those changes. It just seems a lot of the training and education that goes on is gearing people towards a profession and not giving them the skills and whatever those skills are necessary to make those job changes, which I think is going to be a hard thing for, for people to face.","B|I think one of the problems with, with education as it relates to this, though, is that I don't know that education is prepared to help people make those changes. It just seems a lot of the training and education that goes on is gearing people towards a profession and not giving them the skills and whatever those skills are necessary to make those job changes, which I think is going to be a hard thing for, for people to face."
28,M,,M|
29,B,Yeah.,B|Yeah.
30,M,,M|
31,B,"There probably needs to be some training on how to, to, to adjust to these changes as they come about.  I mean if you look at the, the high unemployment rate right now and you look at people who are in those situations, I don't know that they have good coping skills or a lot of them, even ideas of how to make those changes now.","B|There probably needs to be some training on how to, to, to adjust to these changes as they come about.  I mean if you look at the, the high unemployment rate right now and you look at people who are in those situations, I don't know that they have good coping skills or a lot of them, even ideas of how to make those changes now."
32,M,.,M|.
33,B,"So it seems to me that while those changes are taking place, maybe we're not well preparing people to make the changes with them.","B|So it seems to me that while those changes are taking place, maybe we're not well preparing people to make the changes with them."
34,M,"I have, maybe","M|I have, maybe"
35,B,Uh-huh.,B|Uh-huh.
36,M,What are,M|What are
