B:	Oh, yeah.
M:	Um, yeah.
B:	Okay.
M:	I'm sure they'll be fine, it's not like they'll sue you for it.
B:	so, um,
M:	yeah, y'
B:	Yeah. Yeah. I think going to the schools would be the easiest for them.
M:	I think they are the most fun, they're just not as fun as a dog.
B:	Trying to remember we had a dog for a while, and I don't know if we got rid of the dog because my brother was allergic to it, my brother had asthma and some allergies which I think he's outgrown now,
M:	I think you have a weird fixation on them.
B:	Yeah. We all went to high school together and, uh, and we're still in contact with each other.
M:	I do.
B:	Well, that's right. Uh, I think that, oh, politicians talk a lot about waste
M:	Uh... um...
B:	Okay, well we are in south Garland, but yeah, next time you go, uh, you know, check into it, they have, uh, it is just like, uh, a bus card and they just punch it. You know, it has got one through ten on it and every time you go they just punch it for you.
M:	I'm not sure.
B:	Huh?
M:	So is the
B:	and there's a variety. Some of them is, uh, BLACK ADDER or GOOD NEIGHBORS or YES, PRIME MINISTER and ARE YOU BEING SERVED? They, they rotate those around, and, um, we like that British comedy. British comedy is very fast, you really have to listen
M:	Well, it was a good game.
B:	so,
M:	I have a pet.
B:	Not with me personally. It is with a lot of other people.
M:	It's uh.
B:	I, uh, I haven't done any of that type of work myself.
M:	They get away, but they get away.
B:	Yes, it's certain crimes, uh, capital crimes, murder, of course, uh, rape, this sort of thing.
M:	No, not here's, here, what?
B:	Okay.
M:	He has been out since the last day of spring.
B:	and it is good.
M:	Well, uh, all that smoking stuff.
B:	No.
M:	Well, it's always been the song that he listens to.
B:	Did puppy go to?
M:	... so what's the deal?
B:	Here at work I have the T I one thousand which is a three eighty-six base machine.
M:	I'm a heavy science guy.
B:	Right, right.
M:	I'm so
B:	Yeah, there are. Um, I'm living in a dorm right now, and so right downstairs there's a facility. And I really feel kind of guilty for not working out more than I do because there's a facility right downstairs where all, you know, all we have to do is, is, uh, run down there
M:	We've got, uh, we've got a deer, uh...
B:	I, I don't know,
M:	Yes. Yes.
B:	Uh-huh.
M:	I'm a 13 year old girl. I do the same thing.
B:	On your friends, that's true, that's true. Well, we have so many unexpected things come up so often it seems with, we both have older cars and something will come up and wind up having to spend a thousand dollars, you know, on the car in two months or something,
M:	So you're a carpooler?
B:	Uh, we have, uh, Bonzo, Bear, Poindexter, and Felix.
M:	Uh.
B:	Well plea plea bargaining is a different story.
M:	I don't know, I don't like being on the look out for people I'm worried about.
B:	So.
M:	I'm a guy. I'm not a guy
B:	Right, that's true. I knew that.
M:	Uh uh uh uh
B:	I'm, and they just talked to the other day other day about setting something up again so hopefully pretty soon we'll at least have the word processing.
M:	Did you just give me your own apartment?
B:	I think you just have to drop in all unexpectedly a lot.
M:	Ohh, my bad.
B:	Uh-huh.
M:	It's in Texas.
B:	So we thought maybe we could get them to move a little closer here.
M:	It's been a week
B:	Uh-huh. Right.
M:	I'm not sure, uh, I don't know.
B:	Oh.
M:	I'm
B:	Sevren is east, near the eastern shore,
M:	You've got to get some
B:	Right. My Dad is actually, uh,
M:	u ronan I've got a feeling that it's gonna increase in value.
B:	Yeah.
M:	And you know, the police.
B:	Yeah.
M:	I would like to know that too
B:	He says yeah, but then I wouldn't have you, I go, yeah, but then you would have a lot of money
M:	No, I'm sorry.
B:	And it's, Well, they certainly are living off our at our expense.
M:	I guess they do that.
B:	Nice talking to you.
M:	I'm Brian.
B:	Right.
M:	I don't think it's a good argument.
B:	And, uh, kids kind of, they want the, they want the fun part and not the, not the work.
M:	That's not a thing.
