A:	Okay, um, what baseball team are you familiar with?
B:	Well, I'm only a little bit familiar with the Red Sox because I lived up in Boston for a while,
A:	Really?
B:	and, um, and that's,
A:	Oh, now come on, no Texas Rangers?
B:	after that, if you asked me that I wouldn't have been able to tell you if that was football or baseball.
A:	Really? I guess they paired two women together on this call for a reason which is something we can think about later but, um, I understand a little bit about the Texas Rangers. I know George Bush threw out the first pitch hitter bounced off the ground and that, um, yeah , I heard a joke on the radio yesterday that, in regard that he didn't design the patriot missile system, and, uh, the radio's kind of cruel, I mean, think, the, he, this chain that must have been on President Bush to bounce the first pitch off the ground, I mean, how humiliating for a man to do that, any man. I don't care if you're President.
B:	Yeah, but at the same time, I don't know, it's pretty far to throw that far I couldn't do it.
A:	I know but he's a man come on, men know how to do that, right?
B:	Right, he's supposed to be able to do that.
A:	I know so, I felt kind of sorry for him. that must have been hard on him because he's just a person but, um, I never , a major owner of our of the team here.
B:	Oh, really? I didn't know that.
A:	Yeah, he's like, I thought he was the owner but it turns out my Mom said that he's part owner but he must own the biggest chunk because that's all you hear about is, if, you know, about Neal Bush I think is his name.
B:	Uh-huh.
A:	See, I even know his name because he's on the news a lot, and I never had to watch the news not, you know, not like some people hour and a half a day or anything.
B:	Yeah, and I've been watching, uh, my husband's French and so if I've been watching the French news, when I watch it.
A:	Uh-huh.
B:	It's incentive , speaking of Bush, we're going to get a little off topic but speaking of Bush, they that had a story where he went to visit some little, uh, elementary school students, and stuff.
A:	Oh, I saw that.
B:	Did you see that, where he, the guy asked him for proof of who he was,
A:	Yeah.
B:	he said his .
A:	I want to see your driver's I, I, I don't,
B:	I know and see a credit card
A:	you're not President Bush. I know and he said yeah, it does so fast , I heard it on the radio. I heard the audio portion on the radio in the car but I didn't see it but,
B:	It was so funny to see, it was a really cute little kid too.
A:	That's about my extent of, um, about baseball, I don't know, that much about it.
B:	Well, I can tell you, that the Mets opened, I think, two days ago,
A:	Uh-huh.
B:	because my brother was supposed to go to the opening game, and I couldn't tell you who pitched,
A:	Uh-huh.
B:	but they won, the Mets won.
A:	Did they?
B:	But, yeah, not my a lot, *sp? by and then somebody else lost, maybe it was the other New York team which is the Yankees,
A:	Uh-huh.
B:	but I don't even know if they're still New York Yankees, or New Jersey.
A:	That's so stupid that you all have two teams.
B:	Yeah.
A:	That's really stupid.
B:	Well, but it, then they can have them play against each other.
A:	Yeah, I know.
B:	I think it's still the New York Yankees, you know,
A:	Yeah.
B:	I thought they were moving to New Jersey This is how much I know about baseball.
A:	The Texas Rangers, they, they lost, I think.
B:	Uh-huh.
A:	But I know that last year we did go to a baseball game last year. We got free tickets because someone at our church, one of the deacons at church, um, parks cars at The Mansion at Turtle Creek which is like one of the, uh, the places and stuff.
B:	Uh-huh.
A:	And he's their head chauffeur, is this funny, as they're parking the cars the valet service.
B:	Right .
A:	Yeah, he makes good money too doing that, you'd be I was shocked, but anyway, someone gave an Iranian a tip of four Rangers tickets last year,
B:	Uh-huh.
A:	and then the Iranian couldn't, he didn't want them, so he gave them to Alan, and Alan and his Dad had plans that night so they gave them to us, so he decided that some wealthy man tipped this Iranian, with baseball tickets,
B:	With baseball tickets.
A:	and we ended up with them, right. And so we were, walking up
B:	Yeah .
A:	and I looked at my husband and I said, you know what Kyle this is The Mansion at Turtle Creek a tip I bet these are really good seats and so we ended up on first base right down there on the floor,
B:	Wow.
A:	oh, yeah, we they called us at five and the game started at seven so we just threw everything together, ran over and got the tickets and walked and so we took two kids with us and nobody brings two children in these seats, you know because,
B:	Because they're fancy seats and stuff.
A:	yeah, and you just sit down and all the girls were all dressed up you know, I just was there, you know, like I'm loaded, I'm here, you know, and, uh, it was just kind of funny because, you know, but we got to sit by first base if they did hit a ball I would have been afraid it would have knocked my face in, you know.
B:	I know I'm always scared of that whenever I go to a game. I rarely go but we went last year because my brother, my brother is impossible, when, um, he does football leagues and baseball leagues and all kinds of stuff,
A:	Uh-huh. Uh-huh.
B:	and if there's a game on, he's watching it. I mean, that's all there is to it,
A:	Really?
B:	and he's like glued at the T V.
A:	I'm glad my husband's not like that.
B:	Oh, I'm glad my husband's not like that either, I'd kill him My brother's like that and, um, see he goes to a lot of games, not a real lot, but he tries to go, then my father got us some tickets,
A:	Uh-huh.
B:	so my brother's wife and my husband and I went. Last year we wanted to show my husband what a baseball game was because, you know, being a non-American you want to see what a baseball game is like.
A:	Uh-huh.
B:	And he describes it as, you sit there in a crowd, it was nice weather and stuff, it wasn't a real problem, but you sit there in a crowd, and you're waiting and waiting and waiting and you eat these lousy the hot dogs um, because we made him try a hot dog, you know ,
A:	That's funny.
B:	and, um, so you sit there and you wait for the longest time really bored, and then all of a sudden something happens but you happen to look the other way during the time,
A:	You miss the whole thing.
