,response,context,context/0,context/1,context/2,context/3
0,That's,"It's kind of fun. And everybody up there looks pleased with themselves when they're taking their stuff in like they're doing something good to, help the earth, I guess.",Uh-huh.,"Uh-huh, uh, we, we have a pretty nice recycling center, uh, in our city now and we take the newspapers and plastic and glass up there. They're open like two days a week and you can just take it up there and drop it off.","Well a little bit, we mostly do our newspapers. We keep our newspapers, and stuff like that and we keep our newspapers and stuff like that and we take them to be recycled.","Okay, have you participated in anything like that?"
1,...,Yeah. And a lot of people complain because it's really not convenient for them.,"It's kind of fun. And everybody up there looks pleased with themselves when they're taking their stuff in like they're doing something good to, help the earth, I guess.",Uh-huh.,"Uh-huh, uh, we, we have a pretty nice recycling center, uh, in our city now and we take the newspapers and plastic and glass up there. They're open like two days a week and you can just take it up there and drop it off.","Well a little bit, we mostly do our newspapers. We keep our newspapers, and stuff like that and we keep our newspapers and stuff like that and we take them to be recycled."
2,,"Yeah. Yeah my husband was complaining the other day because he said every time I turn around you're telling me some new rule about recycling like yesterday I was tell him, you have to, you're supposed to squeeze the plastic jugs before you take them up there.",Yeah. And a lot of people complain because it's really not convenient for them.,"It's kind of fun. And everybody up there looks pleased with themselves when they're taking their stuff in like they're doing something good to, help the earth, I guess.",Uh-huh.,"Uh-huh, uh, we, we have a pretty nice recycling center, uh, in our city now and we take the newspapers and plastic and glass up there. They're open like two days a week and you can just take it up there and drop it off."
3,I'm not sure about,You're supposed to what.,"Yeah. Yeah my husband was complaining the other day because he said every time I turn around you're telling me some new rule about recycling like yesterday I was tell him, you have to, you're supposed to squeeze the plastic jugs before you take them up there.",Yeah. And a lot of people complain because it's really not convenient for them.,"It's kind of fun. And everybody up there looks pleased with themselves when they're taking their stuff in like they're doing something good to, help the earth, I guess.",Uh-huh.
4,what,"Every time he turns around I'm giving him some new rule, where you're supposed to squish up the, you know, like collapse the plastic jugs. Instead of taking them up there solid.",You're supposed to what.,"Yeah. Yeah my husband was complaining the other day because he said every time I turn around you're telling me some new rule about recycling like yesterday I was tell him, you have to, you're supposed to squeeze the plastic jugs before you take them up there.",Yeah. And a lot of people complain because it's really not convenient for them.,"It's kind of fun. And everybody up there looks pleased with themselves when they're taking their stuff in like they're doing something good to, help the earth, I guess."
5,I've got it.,"But what are you supposed to do with them. Oh, okay.","Every time he turns around I'm giving him some new rule, where you're supposed to squish up the, you know, like collapse the plastic jugs. Instead of taking them up there solid.",You're supposed to what.,"Yeah. Yeah my husband was complaining the other day because he said every time I turn around you're telling me some new rule about recycling like yesterday I was tell him, you have to, you're supposed to squeeze the plastic jugs before you take them up there.",Yeah. And a lot of people complain because it's really not convenient for them.
6,I don'ts,"And I wish that our recycling center took paper bags. They won't take those. We like to put our, just put our newspapers in a paper bag, you know, and then carry them up there that way.","But what are you supposed to do with them. Oh, okay.","Every time he turns around I'm giving him some new rule, where you're supposed to squish up the, you know, like collapse the plastic jugs. Instead of taking them up there solid.",You're supposed to what.,"Yeah. Yeah my husband was complaining the other day because he said every time I turn around you're telling me some new rule about recycling like yesterday I was tell him, you have to, you're supposed to squeeze the plastic jugs before you take them up there."
7,I don't think you can recycle paper bags...,Uh-huh.,"And I wish that our recycling center took paper bags. They won't take those. We like to put our, just put our newspapers in a paper bag, you know, and then carry them up there that way.","But what are you supposed to do with them. Oh, okay.","Every time he turns around I'm giving him some new rule, where you're supposed to squish up the, you know, like collapse the plastic jugs. Instead of taking them up there solid.",You're supposed to what.
8,,And we have to bring the paper bags back every time. Because they won't take them.,Uh-huh.,"And I wish that our recycling center took paper bags. They won't take those. We like to put our, just put our newspapers in a paper bag, you know, and then carry them up there that way.","But what are you supposed to do with them. Oh, okay.","Every time he turns around I'm giving him some new rule, where you're supposed to squish up the, you know, like collapse the plastic jugs. Instead of taking them up there solid."
9,"Well, I mean, they do have paper bags in them.",Yeah.,And we have to bring the paper bags back every time. Because they won't take them.,Uh-huh.,"And I wish that our recycling center took paper bags. They won't take those. We like to put our, just put our newspapers in a paper bag, you know, and then carry them up there that way.","But what are you supposed to do with them. Oh, okay."
10,We're the recycling center. We're the ones who make paper bags.,"Do you, uh, take your papers somewhere or does someone pick them up?",Yeah.,And we have to bring the paper bags back every time. Because they won't take them.,Uh-huh.,"And I wish that our recycling center took paper bags. They won't take those. We like to put our, just put our newspapers in a paper bag, you know, and then carry them up there that way."
11,I've never heard of that.,"We, we usually collect a, you know, collect a quite a bit and then we take them, take them in.","Do you, uh, take your papers somewhere or does someone pick them up?",Yeah.,And we have to bring the paper bags back every time. Because they won't take them.,Uh-huh.
12,What do you mean?,"Uh-huh. We, um, we don't take our cans up to that center, though, our aluminum cans, we like to take them to one of the places where they pay you for them.","We, we usually collect a, you know, collect a quite a bit and then we take them, take them in.","Do you, uh, take your papers somewhere or does someone pick them up?",Yeah.,And we have to bring the paper bags back every time. Because they won't take them.
13,"Yeah, we don ', we're not a lot of people, but we're the people we are","Yeah, we don't, we don't, um, use aluminum cans,","Uh-huh. We, um, we don't take our cans up to that center, though, our aluminum cans, we like to take them to one of the places where they pay you for them.","We, we usually collect a, you know, collect a quite a bit and then we take them, take them in.","Do you, uh, take your papers somewhere or does someone pick them up?",Yeah.
14,"No, it's not.",Uh-huh.,"Yeah, we don't, we don't, um, use aluminum cans,","Uh-huh. We, um, we don't take our cans up to that center, though, our aluminum cans, we like to take them to one of the places where they pay you for them.","We, we usually collect a, you know, collect a quite a bit and then we take them, take them in.","Do you, uh, take your papers somewhere or does someone pick them up?"
15,"Um, we don't, uh, we have them in the states","so, we generally don't have those to do.",Uh-huh.,"Yeah, we don't, we don't, um, use aluminum cans,","Uh-huh. We, um, we don't take our cans up to that center, though, our aluminum cans, we like to take them to one of the places where they pay you for them.","We, we usually collect a, you know, collect a quite a bit and then we take them, take them in."
16,Uhhh... I don,"Yeah, it takes us about a year to save up enough to be worth, you know, worth bothering to go in and do, but. Do you, um, have any ideas on anything that would make,","so, we generally don't have those to do.",Uh-huh.,"Yeah, we don't, we don't, um, use aluminum cans,","Uh-huh. We, um, we don't take our cans up to that center, though, our aluminum cans, we like to take them to one of the places where they pay you for them."
17,"So, we're like the'do'thing, right?","You know, they, they charge you, you know, it's like a flat rate I think for picking up your garbage.","Yeah, it takes us about a year to save up enough to be worth, you know, worth bothering to go in and do, but. Do you, um, have any ideas on anything that would make,","so, we generally don't have those to do.",Uh-huh.,"Yeah, we don't, we don't, um, use aluminum cans,"
18,"Well, I guess I'm gonna go find some more garbage to pick up.",Uh-huh.,"You know, they, they charge you, you know, it's like a flat rate I think for picking up your garbage.","Yeah, it takes us about a year to save up enough to be worth, you know, worth bothering to go in and do, but. Do you, um, have any ideas on anything that would make,","so, we generally don't have those to do.",Uh-huh.
