,Speaker,Utterance,Unified
5,M,It's not.,M|It's not.
6,A,"See those type of people that, that have the most opinions, ones that don't know anything","A|See those type of people that, that have the most opinions, ones that don't know anything"
7,M,"Yeah, I know. I'm not a smart man.","M|Yeah, I know. I'm not a smart man."
8,A,"Well, uh, I've had teenagers and I now have grandchildren that are teenagers, and I don't know that it might do them a little bit of good to see the world from a different perspective. Uh, I think this ""me"" generation has gone far too far. And the young people are overly impressed. And I think it wouldn't hurt them to step back from themselves just slightly and see things from a far more disadvantaged viewpoint.","A|Well, uh, I've had teenagers and I now have grandchildren that are teenagers, and I don't know that it might do them a little bit of good to see the world from a different perspective. Uh, I think this ""me"" generation has gone far too far. And the young people are overly impressed. And I think it wouldn't hurt them to step back from themselves just slightly and see things from a far more disadvantaged viewpoint."
9,M,L,M|L
10,A,"Uh, I personally know nothing about the Peace Corps though.","A|Uh, I personally know nothing about the Peace Corps though."
11,M,"Well, I'm not a little worried.","M|Well, I'm not a little worried."
12,A,"But they have, I read somewhere, and I'm, I'm out on a limb here, some type of college, uh, volunteer work for teachers, that they are straight out of college and they do one year of volunteer work teaching in the, uh, lower income brackets of the United States. Have you ever heard about that one?","A|But they have, I read somewhere, and I'm, I'm out on a limb here, some type of college, uh, volunteer work for teachers, that they are straight out of college and they do one year of volunteer work teaching in the, uh, lower income brackets of the United States. Have you ever heard about that one?"
13,M,i.,M|i.
14,A,"Oh, really?","A|Oh, really?"
15,M,You,M|You
16,A,And this is money that she's borrowed to form her college education?,A|And this is money that she's borrowed to form her college education?
17,M,,M|
18,A,But she got credits for it?,A|But she got credits for it?
19,M,"She's got a degree in economics, she's got plenty of money.","M|She's got a degree in economics, she's got plenty of money."
20,A,That's very interesting.,A|That's very interesting.
21,M,She got credits from Harvard for her law degree.,M|She got credits from Harvard for her law degree.
22,A,Huh.,A|Huh.
23,M,She was a nurse and nurse practitioner.,M|She was a nurse and nurse practitioner.
24,A,"Yeah, I think that is an excellent program, I really do. I like that. And it's, it's beneficial to the small towns too because, they really, really have, have a disadvantage that we wouldn't understand because we're in the Metroplex.","A|Yeah, I think that is an excellent program, I really do. I like that. And it's, it's beneficial to the small towns too because, they really, really have, have a disadvantage that we wouldn't understand because we're in the Metroplex."
25,M,,M|
26,A,"Right, you know, if, if we had some really major health problem that required a specialist, we could find one it wouldn't be convenient,","A|Right, you know, if, if we had some really major health problem that required a specialist, we could find one it wouldn't be convenient,"
27,M,I'd,M|I'd
28,A,but we could find one.,A|but we could find one.
29,M,That's what I said.,M|That's what I said.
30,A,We wouldn't have to drive and spend the night someplace or something like that.,A|We wouldn't have to drive and spend the night someplace or something like that.
31,M,"Oh, that's good.","M|Oh, that's good."
32,A,"So, I, I can see the advantage to that one. The Peace Corps itself is really a, uh, dying out, isn't it?","A|So, I, I can see the advantage to that one. The Peace Corps itself is really a, uh, dying out, isn't it?"
33,M,I'm not sure if it's a choice or not.,M|I'm not sure if it's a choice or not.
34,A,It's still in existence.,A|It's still in existence.
35,M,It was a joke,M|It was a joke
36,A,"I want to believe they go into other countries and teach them how to do things like farm, uh, dig their own wells, set up, their schools.","A|I want to believe they go into other countries and teach them how to do things like farm, uh, dig their own wells, set up, their schools."
37,M,It is,M|It is
38,A,"Yes. They,","A|Yes. They,"
39,M,Do they?,M|Do they?
40,A,"It's not a program to teach them to use the American money, it's a program to teach them to be more self-reliant.","A|It's not a program to teach them to use the American money, it's a program to teach them to be more self-reliant."
41,M,I don't understand what you mean.,M|I don't understand what you mean.
42,A,"And, yes, you're right, I think it's a sixties program. I think it was one of Kennedy's hot points that he, that was his big deal.","A|And, yes, you're right, I think it's a sixties program. I think it was one of Kennedy's hot points that he, that was his big deal."
43,M,I'm not sure what you mean.,M|I'm not sure what you mean.
44,A,"Right. Right. Um, I think I, I've singled out my grandchildren and but actually they're, they're pretty good, along those lines as compared to what I have seen from other people's children and grandchildren, mine aren't really that bad,","A|Right. Right. Um, I think I, I've singled out my grandchildren and but actually they're, they're pretty good, along those lines as compared to what I have seen from other people's children and grandchildren, mine aren't really that bad,"
45,M,I,M|I
46,A,but at the same time I think it would do them a world of good.,A|but at the same time I think it would do them a world of good.
47,M,I like,M|I like
48,A,"But there's a,","A|But there's a,"
49,M,"It's a pretty good game, I think","M|It's a pretty good game, I think"
50,A,"Mandatory just like, like the draft. No.","A|Mandatory just like, like the draft. No."
51,M,Mandate everyone to do a draft?,M|Mandate everyone to do a draft?
52,A,"Every time you, They could buy their way out.","A|Every time you, They could buy their way out."
53,M,"They could just be paid a minimum wage of 250,000 a year.","M|They could just be paid a minimum wage of 250,000 a year."
54,A,"Right, you know, they, they'd figure a way around that one in a heartbeat. But, I'm wondering if there's another issue here, and maybe this is why this has died out. Can you go into, and this wasn't the question but it's, it may be the more of the issue versus should young adults, can they go in there and can anyone go into, well, out of the Kurdish community is a little bit extreme at this time, but say, I think Bangladesh would have been a good example or some, some really desperate situation and teach them to farm and teach them and it doesn't do any good.","A|Right, you know, they, they'd figure a way around that one in a heartbeat. But, I'm wondering if there's another issue here, and maybe this is why this has died out. Can you go into, and this wasn't the question but it's, it may be the more of the issue versus should young adults, can they go in there and can anyone go into, well, out of the Kurdish community is a little bit extreme at this time, but say, I think Bangladesh would have been a good example or some, some really desperate situation and teach them to farm and teach them and it doesn't do any good."
55,M,,M|
56,A,"I don't know that it does. I, I, don't know that, um, if you step back from the current issue and look at it more intellectually, there are forever over, as long as we know there are races of people that are dropping out.","A|I don't know that it does. I, I, don't know that, um, if you step back from the current issue and look at it more intellectually, there are forever over, as long as we know there are races of people that are dropping out."
57,M,,M|
58,A,"You know, we're losing certain, races of people.","A|You know, we're losing certain, races of people."
59,M,it.,M|it.
60,A,"There are people now that are obsolete point and fact just, just like endangered species of animals, so there are quote tribes of people, that are endangered or obsolete.","A|There are people now that are obsolete point and fact just, just like endangered species of animals, so there are quote tribes of people, that are endangered or obsolete."
61,M,"What are you, a historian?","M|What are you, a historian?"
62,A,"And I'm just wondering if you're fighting a natural process there of being winnowed out. There's a German word for it that's elegant, but I never can remember what it was, uh, but, but that they're, they're being winnowed because they're, where they are they're not adapted to their environment essentially.","A|And I'm just wondering if you're fighting a natural process there of being winnowed out. There's a German word for it that's elegant, but I never can remember what it was, uh, but, but that they're, they're being winnowed because they're, where they are they're not adapted to their environment essentially."
63,M,,M|
64,A,"Um, and one of the quick examples is the Aborigines.","A|Um, and one of the quick examples is the Aborigines."
65,M,,M|
66,A,"Uh, when we were in Australia, uh, sad little things. Uh, I felt sorry for them. Because their society isn't there anymore, and their belief system and all their structured of theirs, all the structures of their society are gone, essentially.","A|Uh, when we were in Australia, uh, sad little things. Uh, I felt sorry for them. Because their society isn't there anymore, and their belief system and all their structured of theirs, all the structures of their society are gone, essentially."
67,M,They're,M|They're
68,A,And they're just kind of more like a side show than anything else and that's sad.,A|And they're just kind of more like a side show than anything else and that's sad.
69,M,"They're not really a side shows, they're more of a cult.","M|They're not really a side shows, they're more of a cult."
70,A,"But I don't think there's any way you could go, uh, the Peace Corps could go in and rescue those people, and I don't think you could have done it fifty or a hundred years ago either.","A|But I don't think there's any way you could go, uh, the Peace Corps could go in and rescue those people, and I don't think you could have done it fifty or a hundred years ago either."
71,M,I'm sorry.,M|I'm sorry.
72,A,"So, I, I'm wondering if the Peace Corps is, really an effective tool.","A|So, I, I'm wondering if the Peace Corps is, really an effective tool."
73,M,I don't know. I think they would be.,M|I don't know. I think they would be.
74,A,Good point. We've got enough without without a passport there's plenty.,A|Good point. We've got enough without without a passport there's plenty.
75,M,Can you get,M|Can you get
76,A,Yes. I think we ought to worry about our own species.,A|Yes. I think we ought to worry about our own species.
77,M,I think we should be worried about the people who are in the military.,M|I think we should be worried about the people who are in the military.
78,A,"I wonder now in, and I've been out of school too long to answer this, but I wonder if there aren't some sociology courses.","A|I wonder now in, and I've been out of school too long to answer this, but I wonder if there aren't some sociology courses."
79,M,Social studies,M|Social studies
80,A,"That's the last thing you want, to do.","A|That's the last thing you want, to do."
81,M,You,M|You
82,A,"Yeah, that's exactly it.","A|Yeah, that's exactly it."
83,M,I,M|I
84,A,"They're not going to take that money you give them and go try to figure out a way to dry out with it. Now come on, let's be realistic,","A|They're not going to take that money you give them and go try to figure out a way to dry out with it. Now come on, let's be realistic,"
85,M,"It's like, but you go","M|It's like, but you go"
86,A,that's just not realistic.,A|that's just not realistic.
87,M,The only reason I'm even considering it is because I'm trying to get my parents to give me a loan.,M|The only reason I'm even considering it is because I'm trying to get my parents to give me a loan.
88,A,Right.,A|Right.
89,M,You can't go back to work.,M|You can't go back to work.
90,A,"No, we're not I don't think. I think, that's more realistic than making them go in the Peace Corps.","A|No, we're not I don't think. I think, that's more realistic than making them go in the Peace Corps."
91,M,So do you think they are going to be on the Peace corps?,M|So do you think they are going to be on the Peace corps?
92,A,"I think that's a lot more realistic. Uh, I, I think that we should be spending more time and, and again I don't think the, the Peace Corps is, is as successful now simply because it's not. It doesn't fit the circumstance anymore.","A|I think that's a lot more realistic. Uh, I, I think that we should be spending more time and, and again I don't think the, the Peace Corps is, is as successful now simply because it's not. It doesn't fit the circumstance anymore."
93,M,That's not true.,M|That's not true.
94,A,"Uh, we've got plenty, in fact, we've got far too many. You're in, uh, what Flower Mound?","A|Uh, we've got plenty, in fact, we've got far too many. You're in, uh, what Flower Mound?"
95,M,N,M|N
96,A,"I was, that's exactly what I was going to ask you. Have you ever, have, have you been downtown","A|I was, that's exactly what I was going to ask you. Have you ever, have, have you been downtown"
