,Speaker,Utterance,Unified
5,M,"You do realize, that's how the death sentence works, right?","M|You do realize, that's how the death sentence works, right?"
6,A,"and, uh, I've seen, uh, a lot of people get convicted, sentenced, and then just nothing happens,  just endless, endless, endless appeals.","A|and, uh, I've seen, uh, a lot of people get convicted, sentenced, and then just nothing happens,  just endless, endless, endless appeals."
7,M,It's not that hard. They just don't have the power to do it.,M|It's not that hard. They just don't have the power to do it.
8,A,"Yeah, what's amazing is some of them have been on death row for a number of years.","A|Yeah, what's amazing is some of them have been on death row for a number of years."
9,M,...,M|...
10,A,"And, uh, here in Maryland I know we have a real problem with overcrowding in prisons, uh, just,","A|And, uh, here in Maryland I know we have a real problem with overcrowding in prisons, uh, just,"
11,M,that.,M|that.
12,A,"Yeah, but I mean, in, here it's, uh, to the point where they were letting prisoners go. Uh, commuting the sentences of those that were in, in jail for lesser crimes,  in order to put more people in, into the jails.","A|Yeah, but I mean, in, here it's, uh, to the point where they were letting prisoners go. Uh, commuting the sentences of those that were in, in jail for lesser crimes,  in order to put more people in, into the jails."
13,M,You don't have to be a criminal to be in jail.,M|You don't have to be a criminal to be in jail.
14,A,"And it was just, uh, amazing to me, and of course they made a big deal out of the, the few that got out and turned around and committed a crime within five days of getting out,  and being rearrested an.","A|And it was just, uh, amazing to me, and of course they made a big deal out of the, the few that got out and turned around and committed a crime within five days of getting out,  and being rearrested an."
15,M,They,M|They
16,A,"Uh, I can't remember. Refresh my memory.","A|Uh, I can't remember. Refresh my memory."
17,M,What happened.again.again.,M|What happened.again.again.
18,A,"Um, I don't remember myself.","A|Um, I don't remember myself."
19,M,Is this real?,M|Is this real?
20,A,"Um, I think if they, if they started executing them on a regular basis, uh, that I think it might make a difference. Right now,  I don't see it making a difference.","A|Um, I think if they, if they started executing them on a regular basis, uh, that I think it might make a difference. Right now,  I don't see it making a difference."
21,M,"Yes,","M|Yes,"
22,A,"I don't see someone not going out there and committing murder because they're afraid they're going to get sentenced to death. I mean,  most people out there committing murders don't care.","A|I don't see someone not going out there and committing murder because they're afraid they're going to get sentenced to death. I mean,  most people out there committing murders don't care."
23,M,Murdering,M|Murdering
24,A,They just don't care.,A|They just don't care.
25,M,How do they justify this?,M|How do they justify this?
26,A,Yeah.,A|Yeah.
27,M,They don't really care.They just punish the people who commit crimes.They don't even care about the people committing crimes.,M|They don't really care.They just punish the people who commit crimes.They don't even care about the people committing crimes.
28,A,"Yeah, yeah, and there's, uh, there's a lot of people here in Baltimore that, uh, have and we just had, uh, a real big cocaine bust, and of course, you know, they're, they're playing it up real big that it was, looked like it was a very, very small ring and they just happened to get lucky and catch the guy.","A|Yeah, yeah, and there's, uh, there's a lot of people here in Baltimore that, uh, have and we just had, uh, a real big cocaine bust, and of course, you know, they're, they're playing it up real big that it was, looked like it was a very, very small ring and they just happened to get lucky and catch the guy."
29,M,I,M|I
30,A,"But, I mean, uh, Baltimore has, uh, an all time record for the number of deaths so far this year. I think they've got over a hundred dead already this year.","A|But, I mean, uh, Baltimore has, uh, an all time record for the number of deaths so far this year. I think they've got over a hundred dead already this year."
31,M,I'a.,M|I'a.
32,A,"Well, it's kind of, it's kind of moved up and you have to remember that it, it, it, uh, there's, I think, X number of people out there that are going to commit murders,","A|Well, it's kind of, it's kind of moved up and you have to remember that it, it, it, uh, there's, I think, X number of people out there that are going to commit murders,"
33,M,"We,","M|We,"
34,A,"and, uh, once you kill off a few of them","A|and, uh, once you kill off a few of them"
35,M,"You'll see, I'll commit, I","M|You'll see, I'll commit, I"
36,A,"I mean if you murder a guy because he murdered your partner or something like that, I mean pretty soon you run out of people to murder.","A|I mean if you murder a guy because he murdered your partner or something like that, I mean pretty soon you run out of people to murder."
37,M,What's wrong with that?,M|What's wrong with that?
38,A,Yeah.,A|Yeah.
39,M,then,M|then
40,A,Yeah.,A|Yeah.
41,M,,M|
42,A,"Yeah, you know, it makes sense, um, you know, you have the occasional person who may have been falsely accused, but I mean, uh, so few and far between, uh, you know, makes good T V movies and that's about it.","A|Yeah, you know, it makes sense, um, you know, you have the occasional person who may have been falsely accused, but I mean, uh, so few and far between, uh, you know, makes good T V movies and that's about it."
43,M,',M|'
44,A,Yeah.,A|Yeah.
45,M,I'm.,M|I'm.
46,A,Yeah.,A|Yeah.
47,M,It's.about.a.about.''s.,M|It's.about.a.about.''s.
48,A,"Yeah, I had, my, uh, my father-in-law participated in a, uh, a jury trial, he was, he was actually on the jury,","A|Yeah, I had, my, uh, my father-in-law participated in a, uh, a jury trial, he was, he was actually on the jury,"
49,M,I'm not sure what you're trying to say.,M|I'm not sure what you're trying to say.
50,A,"and, uh, this man was accused of killing, uh, I think it was two people, uh, and shooting a, uh, policeman, um, point blank in the face. Of course he didn't die.","A|and, uh, this man was accused of killing, uh, I think it was two people, uh, and shooting a, uh, policeman, um, point blank in the face. Of course he didn't die."
51,M,I'm not gonna lie.,M|I'm not gonna lie.
