,Speaker,Utterance,Unified
5,A,"On my mother's side we've had several, not,  it's not really on a regular basis,","A|On my mother's side we've had several, not,  it's not really on a regular basis,"
6,M,You guys ever have a fight in the middle of the night?,M|You guys ever have a fight in the middle of the night?
7,A,"but usually sometimes every few summers. Well, all, see, all the family lives in once place, except for a few of us are scattered about.","A|but usually sometimes every few summers. Well, all, see, all the family lives in once place, except for a few of us are scattered about."
8,M,We've been to every summer since we were kids.,M|We've been to every summer since we were kids.
9,A,So they're pretty much just reunited always,A|So they're pretty much just reunited always
10,M,It's been like that for a while,M|It's been like that for a while
11,A,"so it's, it's just once in a while we get the special gathering with everyone together.","A|so it's, it's just once in a while we get the special gathering with everyone together."
12,M,I dont know,M|I dont know
13,A,"I know, that's","A|I know, that's"
14,M,"Well, it's a good thing I'm here, I'm just gonna be alone for a while","M|Well, it's a good thing I'm here, I'm just gonna be alone for a while"
15,A,"do that, that's true.","A|do that, that's true."
16,M,"He could be your grandfather, your father, your mother, your SO, your son, your friend, your best friend, etc.","M|He could be your grandfather, your father, your mother, your SO, your son, your friend, your best friend, etc."
17,A,How about your family?,A|How about your family?
18,M,I'm not a very good person.,M|I'm not a very good person.
19,A,"Wow, you're,  a pro at this.","A|Wow, you're,  a pro at this."
20,M,I'm... not sure if I should laugh or cry.,M|I'm... not sure if I should laugh or cry.
21,A,"Oh, that's good.","A|Oh, that's good."
22,M,"No, he just said that he is very good at this.","M|No, he just said that he is very good at this."
23,A,And then where do you meet?,A|And then where do you meet?
24,M,I think the only place I've ever met them was in the civil war,M|I think the only place I've ever met them was in the civil war
25,A,Okay.,A|Okay.
26,M,It's not in my state.,M|It's not in my state.
27,A,Okay. Do you have relatives in Vernon then?,A|Okay. Do you have relatives in Vernon then?
28,M,... yeah...,M|... yeah...
29,A,Okay.,A|Okay.
30,M,"Well, uh, uh.","M|Well, uh, uh."
31,A,Right.,A|Right.
32,M,He nods. Yeah.,M|He nods. Yeah.
33,A,Oh.,A|Oh.
34,M,He was only around for a few years.,M|He was only around for a few years.
35,A,Right.,A|Right.
36,M,His descendants,M|His descendants
37,A,Oh.,A|Oh.
38,M,"It's okay, I'm a second generation, I was raised by my father.","M|It's okay, I'm a second generation, I was raised by my father."
39,A,Right.,A|Right.
40,M,They are,M|They are
41,A,"Okay, so this town hall that you meet in, is that like a, um,","A|Okay, so this town hall that you meet in, is that like a, um,"
42,M,What is this?,M|What is this?
43,A,Okay.,A|Okay.
44,M,It's a town hall. It's not a church.,M|It's a town hall. It's not a church.
45,A,"Potato salad and, uh,","A|Potato salad and, uh,"
46,M,"I just eat a potato salad and, uh, eat it.","M|I just eat a potato salad and, uh, eat it."
47,A,"Oh, that's good.","A|Oh, that's good."
48,M,"I know, I know.","M|I know, I know."
49,A,Right.,A|Right.
50,M,"Well, we are trying to bring potatoes to the party","M|Well, we are trying to bring potatoes to the party"
51,A,Right.,A|Right.
52,M,We are very aware of the human condition.,M|We are very aware of the human condition.
53,A,"Oh, that's nice.","A|Oh, that's nice."
54,M,Take home baked Bread,M|Take home baked Bread
55,A,Right.,A|Right.
56,M,Yeah.But I'm not the one who likes bread.right.well.,M|Yeah.But I'm not the one who likes bread.right.well.
57,A,"Do they always have the, the one person in the family who knows, or everyone thinks they know how to make this the best,  so that's what they get to cook.","A|Do they always have the, the one person in the family who knows, or everyone thinks they know how to make this the best,  so that's what they get to cook."
58,M,"Yeah, that's why I don't cook.","M|Yeah, that's why I don't cook."
59,A,"Well, that's good. Well , I had a professor in anthropology at school who studied family reunions, so I learned a lot about them. I haven't,  been to a lot,","A|Well, that's good. Well , I had a professor in anthropology at school who studied family reunions, so I learned a lot about them. I haven't,  been to a lot,"
60,M,"I don't know, I've been to the US.","M|I don't know, I've been to the US."
61,A,"but we talked,  a lot about the, the rituals,","A|but we talked,  a lot about the, the rituals,"
62,M,"Um, uh, I don't think so.","M|Um, uh, I don't think so."
63,A,"you all equated the family reunions as,  with the Protestant.","A|you all equated the family reunions as,  with the Protestant."
64,M,They are.,M|They are.
