,Speaker,Utterance,Unified
5,M,"So, it's the US?","M|So, it's the US?"
6,A,"There's, uh, maybe some short-term things that they can do and it hurts everybody's pocket, of course, but, um, I know that state has, uh, cutback, uh, raises for a year to help, uh, the, uh, state financial or whatever you might want to say to get better in a better condition.","A|There's, uh, maybe some short-term things that they can do and it hurts everybody's pocket, of course, but, um, I know that state has, uh, cutback, uh, raises for a year to help, uh, the, uh, state financial or whatever you might want to say to get better in a better condition."
7,M,Weird. What's your point?,M|Weird. What's your point?
8,A,"That,","A|That,"
9,M,"I, uh, I, uh... I don't know.","M|I, uh, I, uh... I don't know."
10,A,"Uh, State of Minnesota.","A|Uh, State of Minnesota."
11,M,Where are you from?,M|Where are you from?
12,A,"So there's the potential that perhaps, you know, the U S budget might want to take a look at it's, uh, federal employees or, and take a look at saying, well, let's freeze wages. I mean everybody's doing it so it isn't like, uh, private business has had to do it","A|So there's the potential that perhaps, you know, the U S budget might want to take a look at it's, uh, federal employees or, and take a look at saying, well, let's freeze wages. I mean everybody's doing it so it isn't like, uh, private business has had to do it"
13,M,I'm pretty sure they're just looking for a way to make money.,M|I'm pretty sure they're just looking for a way to make money.
14,A,so it might have to be something that they might consider doing as a that's got to be very short term.,A|so it might have to be something that they might consider doing as a that's got to be very short term.
15,M,The U. S. Government is not the one that has to deal with the U.,M|The U. S. Government is not the one that has to deal with the U.
16,A,"And the only other avenue that I can think of is, uh, looking at where they're spending the money and not so much as saying, well, we're spending too much in that area as perhaps looking at what is costing them the money. As for, for instance, I think you probably remember the military getting caught, um, with toilet seats that cost them four hundred, five hundred dollars.","A|And the only other avenue that I can think of is, uh, looking at where they're spending the money and not so much as saying, well, we're spending too much in that area as perhaps looking at what is costing them the money. As for, for instance, I think you probably remember the military getting caught, um, with toilet seats that cost them four hundred, five hundred dollars."
17,M,,M|
18,A,"And it was just, I mean you can go to K-Mart and buy them for, uh, eight dollars or I think six dollars or whatever for toilet seats,","A|And it was just, I mean you can go to K-Mart and buy them for, uh, eight dollars or I think six dollars or whatever for toilet seats,"
19,M,you know.,M|you know.
20,A,"so. So it gives you idea that,","A|so. So it gives you idea that,"
21,M,I think you know?,M|I think you know?
22,A,"Sure, sure. So,","A|Sure, sure. So,"
23,M,"I think you need to go to a school to learn the military, and military research is not done in school.","M|I think you need to go to a school to learn the military, and military research is not done in school."
24,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
25,M,"You know, there are some things that are better than this, like the way the government works.","M|You know, there are some things that are better than this, like the way the government works."
26,A,Than we think. Sure. Sure.,A|Than we think. Sure. Sure.
27,M,So what's your point?,M|So what's your point?
28,A,"Uh-huh. It sure is. The, you know, as far as, I think there was something with the government official that went on conferences for two days and actually, uh, the conferences were nothing but, uh, you know, they're getting paid for this, and it was something more than just the conferences. They were using it as eating out, uh, when you think about people, uh, taking vacations these big government officials taking descendants in congress.","A|Uh-huh. It sure is. The, you know, as far as, I think there was something with the government official that went on conferences for two days and actually, uh, the conferences were nothing but, uh, you know, they're getting paid for this, and it was something more than just the conferences. They were using it as eating out, uh, when you think about people, uh, taking vacations these big government officials taking descendants in congress."
29,M,You.,M|You.
30,A,The rest of them taking these vacations and using the taxpayers' money for that.,A|The rest of them taking these vacations and using the taxpayers' money for that.
31,M,"I love how is the idea of course they have a bunch of the military spending, military spending money.","M|I love how is the idea of course they have a bunch of the military spending, military spending money."
32,A,"And it's a real big crunch, uh","A|And it's a real big crunch, uh"
33,M,The.,M|The.
34,A,"of course, when they get caught then they're, you know, they're guilty of course, but, uh, during that time I'm sure there's hundreds of, uh, thousands of people that are, uh, spending money that does not belong to them. So,","A|of course, when they get caught then they're, you know, they're guilty of course, but, uh, during that time I'm sure there's hundreds of, uh, thousands of people that are, uh, spending money that does not belong to them. So,"
35,M,What about the millions of people who have never been caught?,M|What about the millions of people who have never been caught?
36,A,Uh-huh.,A|Uh-huh.
37,M,"Uh, uh, when they catch you, uh'uh","M|Uh, uh, when they catch you, uh'uh"
38,A,Sure.,A|Sure.
39,M,"well, uh, uh huh.","M|well, uh, uh huh."
40,A,"Uh-huh. Exactly. And I don't think, uh, it's ended up being, I mean it gave people jobs","A|Uh-huh. Exactly. And I don't think, uh, it's ended up being, I mean it gave people jobs"
41,M,That's a lot of money for a country that was so far away from being the most powerful nation in the world.,M|That's a lot of money for a country that was so far away from being the most powerful nation in the world.
42,A,"but I think it also cost, um, quite a bit as far as because after they're done with the war, a lot of things were no longer put to use. I mean it was kind of like, okay, we'll do this during this point and time but after that that's, you know, uh they didn't want to do it anymore.","A|but I think it also cost, um, quite a bit as far as because after they're done with the war, a lot of things were no longer put to use. I mean it was kind of like, okay, we'll do this during this point and time but after that that's, you know, uh they didn't want to do it anymore."
43,M,Yeah,M|Yeah
44,A,"So, a lot of things that are saying that they're no longer going to be doing for next wars that are coming up that they did for this one in getting rid of a lot of things. So I don't know.","A|So, a lot of things that are saying that they're no longer going to be doing for next wars that are coming up that they did for this one in getting rid of a lot of things. So I don't know."
45,M,They are done,M|They are done
46,A,"Okay, well, it was good talking to you and have a good evening.","A|Okay, well, it was good talking to you and have a good evening."
47,M,You know,M|You know
48,A,"Uh-huh, thanks.","A|Uh-huh, thanks."
49,M,That's what I said.,M|That's what I said.
50,A,Bye now.,A|Bye now.
