,Speaker,Utterance,Unified
5,M,That's because I'm old,M|That's because I'm old
6,A,"Yeah, right. Well, I can remember are from, from my childhood were the disco days and maybe that's changed a lot. Uh the way, the way people dress","A|Yeah, right. Well, I can remember are from, from my childhood were the disco days and maybe that's changed a lot. Uh the way, the way people dress"
7,M,"Ah, I'm sure you're right.","M|Ah, I'm sure you're right."
8,A,"and, uh.","A|and, uh."
9,M,"It's not a bad thing.Because, uh, because of, uh...","M|It's not a bad thing.Because, uh, because of, uh..."
10,A,More lax?,A|More lax?
11,M,More relaxed.,M|More relaxed.
12,A,Uh-huh.,A|Uh-huh.
13,M,What do you think of the new policy?,M|What do you think of the new policy?
14,A,Maybe a people are a little more open-minded than maybe they used to be.,A|Maybe a people are a little more open-minded than maybe they used to be.
15,M,Hm? I don't understand.,M|Hm? I don't understand.
16,A,Uh-huh.,A|Uh-huh.
17,M,Because they're still alive.,M|Because they're still alive.
18,A,"Right. Right. Uh-huh. Especially with like a lot of the different organizations now like, you know, Pro-Life and, and uh, Choice in, in the special interest groups maybe um, like amnesty.","A|Right. Right. Uh-huh. Especially with like a lot of the different organizations now like, you know, Pro-Life and, and uh, Choice in, in the special interest groups maybe um, like amnesty."
19,M,People are more open minded than ever.Right.Uh.Right.,M|People are more open minded than ever.Right.Uh.Right.
20,A,"Uh, yeah, maybe people are a little, a little more, uh, free to express their opinions, socially free.","A|Uh, yeah, maybe people are a little, a little more, uh, free to express their opinions, socially free."
21,M,What is it?,M|What is it?
22,A,"Oh, yeah. Right.","A|Oh, yeah. Right."
23,M,You're right.,M|You're right.
24,A,Uh-huh. Uh-huh. Uh-huh. Right.,A|Uh-huh. Uh-huh. Uh-huh. Right.
25,M,Are you serious?,M|Are you serious?
26,A,Right. Just wasn't socially acceptable.,A|Right. Just wasn't socially acceptable.
27,M,What? I don't understand the point of your comment.,M|What? I don't understand the point of your comment.
28,A,"Yeah. Uh, maybe, maybe too a big social change that's, that's maybe for the worst is, uh, is, is how, um, the people's, uh, views on, on relationships has changed, you know, and now we have, now we have several, you know, we have to worry about AIDS and we have to worry about, uh, maybe people are becoming more aware, more, more afraid of relationships.","A|Yeah. Uh, maybe, maybe too a big social change that's, that's maybe for the worst is, uh, is, is how, um, the people's, uh, views on, on relationships has changed, you know, and now we have, now we have several, you know, we have to worry about AIDS and we have to worry about, uh, maybe people are becoming more aware, more, more afraid of relationships."
29,M,...,M|...
30,A,Uh-huh.,A|Uh-huh.
31,M,"Nope, why nothink","M|Nope, why nothink"
32,A,right. Yeah.,A|right. Yeah.
33,M,"I was never, you know, you do, she was allright?","M|I was never, you know, you do, she was allright?"
34,A,Yeah.,A|Yeah.
35,M,yes.yes.no.no,M|yes.yes.no.no
36,A,Yeah.,A|Yeah.
37,M,No.No.Yes.No.,M|No.No.Yes.No.
38,A,Uh-huh.,A|Uh-huh.
39,M,Well you are...,M|Well you are...
40,A,"Uh-huh. Yeah. Right. It used to be that we were, that we were trying to protect morality. Now it's we're protecting our lives. It's a it's a much different,","A|Uh-huh. Yeah. Right. It used to be that we were, that we were trying to protect morality. Now it's we're protecting our lives. It's a it's a much different,"
41,M,It's the same as the rest of the world.,M|It's the same as the rest of the world.
42,A,"we have, you know, you can't just, just hope for abstinence.","A|we have, you know, you can't just, just hope for abstinence."
43,M,Uuhuhuh. That's a bit different.,M|Uuhuhuh. That's a bit different.
44,A,Yeah.,A|Yeah.
45,M,You don't think?,M|You don't think?
46,A,Yeah. Uh-huh. Uh-huh.,A|Yeah. Uh-huh. Uh-huh.
47,M,"I think it's a bit late, but what about you?","M|I think it's a bit late, but what about you?"
48,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
49,M,Uh uh,M|Uh uh
50,A,Uh-huh.,A|Uh-huh.
51,M,What about the boys?,M|What about the boys?
52,A,That's right.,A|That's right.
53,M,They stare at you,M|They stare at you
54,A,Yeah.,A|Yeah.
55,M,They're all the same.,M|They're all the same.
56,A,Right.,A|Right.
57,M,I know.,M|I know.
58,A,Uh-huh.,A|Uh-huh.
59,M,She nods,M|She nods
60,A,"Uh-huh. Right, right. Yeah, I, I, I imagine you're right. I, I teach swim lessons a lot, and, and to see what, see what kids talk about when, uh, you know, they're, they're open about, well, you know, kids are a lot more educated now than I think that, that, like we were, uh, at that age um, about a lot of things.","A|Uh-huh. Right, right. Yeah, I, I, I imagine you're right. I, I teach swim lessons a lot, and, and to see what, see what kids talk about when, uh, you know, they're, they're open about, well, you know, kids are a lot more educated now than I think that, that, like we were, uh, at that age um, about a lot of things."
61,M,I,M|I
62,A,"You know, besides what, besides what they learn, uh, from, from our social environment is, uh, their education is just amazing. Kids are, kids are learning, uh, you know, their math is just, every year, uh, algebra goes down a grade, you know, and, and, uh, students learn it earlier.","A|You know, besides what, besides what they learn, uh, from, from our social environment is, uh, their education is just amazing. Kids are, kids are learning, uh, you know, their math is just, every year, uh, algebra goes down a grade, you know, and, and, uh, students learn it earlier."
63,M,N?,M|N?
