,Speaker,Utterance,Unified
5,M,Do you pay taxes.?,M|Do you pay taxes.?
6,A,What do you do?,A|What do you do?
7,M,No we don't.,M|No we don't.
8,A,"I guess that, I mean it all depends really on what kind of bracket you're in.","A|I guess that, I mean it all depends really on what kind of bracket you're in."
9,M,I'm in the US.,M|I'm in the US.
10,A,Uh-huh.,A|Uh-huh.
11,M,"Well, how much?","M|Well, how much?"
12,A,Right.,A|Right.
13,M,Not really.,M|Not really.
14,A,"Oh, sure.","A|Oh, sure."
15,M,You pay a LOT of taxes.not much,M|You pay a LOT of taxes.not much
16,A,Uh-huh. Uh-huh. Right.,A|Uh-huh. Uh-huh. Right.
17,M,Yes I do.,M|Yes I do.
18,A,Uh-huh.,A|Uh-huh.
19,M,Uhm... What's the point?,M|Uhm... What's the point?
20,A,Right.,A|Right.
21,M,"Yeah, uhuh.","M|Yeah, uhuh."
22,A,"Uh, well, no, I can't really complain. I'm a student, um, and I I work as a co-op at, uh, Georgia Tech Research Institute. And, uh, I'm going to get back most of what I earned, I mean most of what I pay in taxes and, uh, and, uh,  one of my parents is still claiming me.","A|Uh, well, no, I can't really complain. I'm a student, um, and I I work as a co-op at, uh, Georgia Tech Research Institute. And, uh, I'm going to get back most of what I earned, I mean most of what I pay in taxes and, uh, and, uh,  one of my parents is still claiming me."
23,M,I'm sorry.,M|I'm sorry.
24,A,Huh? Uh-huh. I'm sure,A|Huh? Uh-huh. I'm sure
25,M,I'm the... You...?,M|I'm the... You...?
26,A,"I went, well I did work, um, just very for some time but I didn't make enough money to really make,  too much of a difference.","A|I went, well I did work, um, just very for some time but I didn't make enough money to really make,  too much of a difference."
27,M,",","M|,"
28,A,Right.,A|Right.
29,M,I don't have to,M|I don't have to
30,A,"No, no, I haven't.","A|No, no, I haven't."
31,M,"You should, but you have no idea what you're talking about.","M|You should, but you have no idea what you're talking about."
32,A,Uh-huh.,A|Uh-huh.
33,M,"What are you, like, a lawyer?","M|What are you, like, a lawyer?"
34,A,Uh-huh.,A|Uh-huh.
35,M,It's not like there's anything else that could be done.,M|It's not like there's anything else that could be done.
36,A,Huh.,A|Huh.
37,M,I'm not going to say anything about it. I'm not gonna say anything.,M|I'm not going to say anything about it. I'm not gonna say anything.
38,A,Oh.  Really?,A|Oh.  Really?
39,M,"We are paying for his services, so we are.","M|We are paying for his services, so we are."
40,A,Uh-huh.  Uh-huh.,A|Uh-huh.  Uh-huh.
41,M,I have no idea.,M|I have no idea.
42,A,"Oh, sure.","A|Oh, sure."
43,M,... I don't know.,M|... I don't know.
44,A,Uh-huh.,A|Uh-huh.
45,M,"Uh, uh","M|Uh, uh"
46,A,Wow.,A|Wow.
47,M,How much do you pay?,M|How much do you pay?
48,A,Uh-huh. taxes.,A|Uh-huh. taxes.
49,M,About a dollar per gallon.,M|About a dollar per gallon.
50,A,Uh-huh.,A|Uh-huh.
51,M,"If you're not going to pay for it, why not?","M|If you're not going to pay for it, why not?"
52,A,Huh.,A|Huh.
53,M,Taxes.,M|Taxes.
54,A,Yeah.,A|Yeah.
55,M,Oh. So you mean you're not the one who's paying for it?,M|Oh. So you mean you're not the one who's paying for it?
56,A,"No, no, I haven't. Uh, I, uh, my father pays for my, my schooling, my tuition. So, uh, I'm, I haven't made use of that.","A|No, no, I haven't. Uh, I, uh, my father pays for my, my schooling, my tuition. So, uh, I'm, I haven't made use of that."
57,M,"Ohh. Well, that's unfortunate.","M|Ohh. Well, that's unfortunate."
58,A,Physics.,A|Physics.
59,M,Ahh. I am in university.,M|Ahh. I am in university.
60,A,Uh-huh.,A|Uh-huh.
61,M,I know.,M|I know.
62,A,Everybody says that,A|Everybody says that
63,M,I'm not sure what you mean.,M|I'm not sure what you mean.
64,A,Huh.,A|Huh.
65,M,I think you're right.,M|I think you're right.
66,A,"Um, I haven't, I haven't gotten too terribly much into my major yet. Actually, um, the, the degree I'm getting is physics. There's a different one for applied physics so I guess you could call it more straight stuff than applied.","A|Um, I haven't, I haven't gotten too terribly much into my major yet. Actually, um, the, the degree I'm getting is physics. There's a different one for applied physics so I guess you could call it more straight stuff than applied."
67,M,Are you studying theoretical physics?,M|Are you studying theoretical physics?
68,A,"I doubt about that. Are, are, is America, I mean are we pretty, pretty steep compared to most countries?","A|I doubt about that. Are, are, is America, I mean are we pretty, pretty steep compared to most countries?"
69,M,How are you?,M|How are you?
70,A,"No, I don't think so either.","A|No, I don't think so either."
71,M,What's?,M|What's?
72,A,Uh-huh.  Uh-huh. Uh-huh.,A|Uh-huh.  Uh-huh. Uh-huh.
73,M,What?! What?,M|What?! What?
74,A,Yeah.,A|Yeah.
75,M,Wait.Wait. Wait. Wait.Wait.wait.,M|Wait.Wait. Wait. Wait.Wait.wait.
