,Speaker,Utterance,Unified
5,B,Do they have many buildings that have security there?,B|Do they have many buildings that have security there?
6,M,N,M|N
7,B,"Yeah, yeah, well I, I went to Dallas, uh, when I worked for T I in Abilene and, uh, I'm a little familiar with the city area, Forest Lane and, you know, through that, off, off the freeway.","B|Yeah, yeah, well I, I went to Dallas, uh, when I worked for T I in Abilene and, uh, I'm a little familiar with the city area, Forest Lane and, you know, through that, off, off the freeway."
8,M,i?,M|i?
9,B,"And, uh, it didn't seem like it was that congested in that, that part. You know because to me where we live out here in the north east, it, it's there are a lot of buildings very close to each other,","B|And, uh, it didn't seem like it was that congested in that, that part. You know because to me where we live out here in the north east, it, it's there are a lot of buildings very close to each other,"
10,M,.,M|.
11,B,"and the cities are very populated with tenement housing, where there are more than one family in a house. And with the, uh, people that are coming into the country from other countries, not knowing the language","B|and the cities are very populated with tenement housing, where there are more than one family in a house. And with the, uh, people that are coming into the country from other countries, not knowing the language"
12,M,,M|
13,B,"and, uh, they're going to the big cities. It makes it very difficult.","B|and, uh, they're going to the big cities. It makes it very difficult."
14,M,...,M|...
15,B,"It really does, and, and I've seen the same thing that you're talking about, uh, much more crime than ever before. Drugs of course, uh, a big part of it I think.","B|It really does, and, and I've seen the same thing that you're talking about, uh, much more crime than ever before. Drugs of course, uh, a big part of it I think."
16,M,i'm not sure if i'm missing,M|i'm not sure if i'm missing
17,B,"And, uh, I don't know, a lot of younger people, you know, into more violent crimes.","B|And, uh, I don't know, a lot of younger people, you know, into more violent crimes."
18,M,"uh, yeah.","M|uh, yeah."
19,B,"that, that's really sad, you know, you got young boys or girls, that at fourteen or twelve years old that are committing murders and, no remorse, what so ever.","B|that, that's really sad, you know, you got young boys or girls, that at fourteen or twelve years old that are committing murders and, no remorse, what so ever."
20,M,"This, uh, reminds","M|This, uh, reminds"
21,B,Yeah.,B|Yeah.
22,M,That's a pretty cool thing to do.,M|That's a pretty cool thing to do.
23,B,"It is and, and I don't know if it's, uh, the family, you know, thing where they're not bonding anymore, where mothers are working all the time and, the kids aren't getting the attention that they need, or the television.","B|It is and, and I don't know if it's, uh, the family, you know, thing where they're not bonding anymore, where mothers are working all the time and, the kids aren't getting the attention that they need, or the television."
24,M,I don't think that's,M|I don't think that's
25,B,"And I, I really think that we're, we're falling by the wayside with not incarcerating these people.","B|And I, I really think that we're, we're falling by the wayside with not incarcerating these people."
26,M,I think you're right.,M|I think you're right.
27,B,"Uh, uh.","B|Uh, uh."
28,M,I think that's a,M|I think that's a
29,B,"Yeah, exactly.","B|Yeah, exactly."
30,M,"And it's, uh, prison.","M|And it's, uh, prison."
31,B,"And, uh, you know, they had, uh, in fact on the news last night we were watching this, uh, man who lost his ten year old daughter. He ran out to the store for a few minutes and he had left her home alone. now ten years old, she's old enough to be alone for a few minutes, you know.","B|And, uh, you know, they had, uh, in fact on the news last night we were watching this, uh, man who lost his ten year old daughter. He ran out to the store for a few minutes and he had left her home alone. now ten years old, she's old enough to be alone for a few minutes, you know."
32,M,youself,M|youself
33,B,"And while he was gone, he had looked, went looking for a job and stopped at the store, that's what it was. And, uh, someone who was in the neighborhood cleaning carpets, these two men, went in, raped the girl, murdered her, and the whole bit.","B|And while he was gone, he had looked, went looking for a job and stopped at the store, that's what it was. And, uh, someone who was in the neighborhood cleaning carpets, these two men, went in, raped the girl, murdered her, and the whole bit."
34,M,you know,M|you know
35,B,"And one of the men got, uh, I think it was seventeen years and the other one was in for, uh, life imprisonment.","B|And one of the men got, uh, I think it was seventeen years and the other one was in for, uh, life imprisonment."
36,M,This.,M|This.
37,B,"The one that was in for the seventeen years, actually served seven, and he's out.","B|The one that was in for the seventeen years, actually served seven, and he's out."
38,M,He was in a time out,M|He was in a time out
