,Speaker,Utterance,Unified
5,B,Right,B|Right
6,M,"You? Um, I'm not sure.","M|You? Um, I'm not sure."
7,B,"Well, I, I really choose restaurants more for the quality of food than anything else.","B|Well, I, I really choose restaurants more for the quality of food than anything else."
8,M,"Yeah, I'm not really sure. I don't really have any plans for the next year, so I'm kinda just gonna wait for the new year.","M|Yeah, I'm not really sure. I don't really have any plans for the next year, so I'm kinda just gonna wait for the new year."
9,B,"Well, a little bit for the price,","B|Well, a little bit for the price,"
10,M,How about food?,M|How about food?
11,B,"but, uh, I think that as far as quality of food goes the some of the most expensive places I've been had the the, really the, the worst quality of food.","B|but, uh, I think that as far as quality of food goes the some of the most expensive places I've been had the the, really the, the worst quality of food."
12,M,"I like to eat at the most, and eat a lot of food.","M|I like to eat at the most, and eat a lot of food."
13,B,"Really. Um, a lot of places that even don't look, don't look like much.","B|Really. Um, a lot of places that even don't look, don't look like much."
14,M,I'm sure I can find some,M|I'm sure I can find some
15,B,"Some of the, some of the best food I have ever had was out of a, outside or inside of a place that we drove up and I was like, I'm not eating in there Are you nuts? And, uh, we went in and it was the it was the most wonderful food.","B|Some of the, some of the best food I have ever had was out of a, outside or inside of a place that we drove up and I was like, I'm not eating in there Are you nuts? And, uh, we went in and it was the it was the most wonderful food."
16,M,lol,M|lol
17,B,Yeah.,B|Yeah.
18,M,I guess. You?,M|I guess. You?
19,B,I'm serious.,B|I'm serious.
20,M,You serious?,M|You serious?
21,B,"Um, a lot of, uh, one place that we went just recently uh, was to Atchafalaya.","B|Um, a lot of, uh, one place that we went just recently uh, was to Atchafalaya."
22,M,She nods.,M|She nods.
23,B,"No, that's not right. That's not right. That's not right.","B|No, that's not right. That's not right. That's not right."
24,M,Is that right?,M|Is that right?
25,B,"someone in the What's the name of that restaurant? in the background Where at? . someone in the background The Hari Krishna. in the background relies Oh. Kalachandji's . Kalachandji's. It's all vegetarian, and it, it was just fabulous. I mean, my husband was aghast because I ate turnip greens and liked it.","B|someone in the What's the name of that restaurant? in the background Where at? . someone in the background The Hari Krishna. in the background relies Oh. Kalachandji's . Kalachandji's. It's all vegetarian, and it, it was just fabulous. I mean, my husband was aghast because I ate turnip greens and liked it."
26,M,,M|
27,B,"Um, Kalachandji's. It's, uh, it's a Hari Krishna run restaurant.","B|Um, Kalachandji's. It's, uh, it's a Hari Krishna run restaurant."
28,M,I'm aghas aghaf.,M|I'm aghas aghaf.
29,B,Yes.,B|Yes.
30,M,"So, you're","M|So, you're"
31,B,"Uh, I think so. It should be.","B|Uh, I think so. It should be."
32,M,You're the best.,M|You're the best.
33,B,"Uh, it starts with a K.","B|Uh, it starts with a K."
34,M,Oh. That's right.,M|Oh. That's right.
35,B,"So K A L A, I think, C H A N D.","B|So K A L A, I think, C H A N D."
36,M,I can't tell if you're talking about me or the guy.,M|I can't tell if you're talking about me or the guy.
37,B,"That should get you close enough to, to be able to find it. I think it's, uh, probably listed in the restaurants, you know.","B|That should get you close enough to, to be able to find it. I think it's, uh, probably listed in the restaurants, you know."
38,M,"Yeah, I have to go to a restaurant. I'm not sure where I can find it.","M|Yeah, I have to go to a restaurant. I'm not sure where I can find it."
39,B,"But it's, uh, it's just fabulous food.","B|But it's, uh, it's just fabulous food."
40,M,You're the best.,M|You're the best.
41,B,"Well, we like Arby's. As far as, fast food goes.","B|Well, we like Arby's. As far as, fast food goes."
42,M,You can't really get it if you have no fast food,M|You can't really get it if you have no fast food
43,B,"Oh, really? Why?","B|Oh, really? Why?"
44,M,You don't have to like it.,M|You don't have to like it.
45,B,"Oh, no, no, no. Someone has been lying to you. What they use is roast beef.","B|Oh, no, no, no. Someone has been lying to you. What they use is roast beef."
46,M,But why do they make meat,M|But why do they make meat
47,B,"That's what, Oh, my goodness.","B|That's what, Oh, my goodness."
48,M,Roasted beef?,M|Roasted beef?
49,B,I'm surprised. My dad worked for Arby's for several years.,B|I'm surprised. My dad worked for Arby's for several years.
