,Speaker,Utterance,Unified
5,M,You in Detroit?,M|You in Detroit?
6,B,"Well, it wasn't really. It was, um, uh, to see an old relative.","B|Well, it wasn't really. It was, um, uh, to see an old relative."
7,M,What happened to it?,M|What happened to it?
8,B,"And it was, uh, just to, uh, have some fellowship with her.","B|And it was, uh, just to, uh, have some fellowship with her."
9,M,Yeah.I think I know where you live.,M|Yeah.I think I know where you live.
10,B,"No. The only thing that I, I visited that, you know, is quite a tourist spot is Cancun, Mexico.","B|No. The only thing that I, I visited that, you know, is quite a tourist spot is Cancun, Mexico."
11,M,"I don't know, why would you recommend it?","M|I don't know, why would you recommend it?"
12,B,"And that was real nice. Uh,","B|And that was real nice. Uh,"
13,M,"Yeah, it was.","M|Yeah, it was."
14,B,"No, we just kind of walked the beaches and looked at all the beautiful scenery there.","B|No, we just kind of walked the beaches and looked at all the beautiful scenery there."
15,M,"I'm from Canada, so I can't say that I've seen that.","M|I'm from Canada, so I can't say that I've seen that."
16,B,"Yeah, and just kind of relaxed and unwound a little bit, from our daily routine.","B|Yeah, and just kind of relaxed and unwound a little bit, from our daily routine."
17,M,Have you ever been there?,M|Have you ever been there?
18,B,Huh.,B|Huh.
19,M,"I'm a bit tired, but I'm going to do a little vacation in the beach.","M|I'm a bit tired, but I'm going to do a little vacation in the beach."
20,B,"Uh-huh. Yes. Oh, that's always refreshing to get away from.","B|Uh-huh. Yes. Oh, that's always refreshing to get away from."
21,M,How do you?,M|How do you?
22,B,"Oh, well, that's nice. Yeah.","B|Oh, well, that's nice. Yeah."
23,M,What's that?,M|What's that?
24,B,"Well, my, uh, my middle daughter and her husband have just taken up a new activity, and that's canoeing.","B|Well, my, uh, my middle daughter and her husband have just taken up a new activity, and that's canoeing."
25,M,,M|
26,B,"And, uh, they've been to the Guadalupe River, and they also, uh, uh, have been to, uh, I guess Colorado, and they've really enjoyed it.","B|And, uh, they've been to the Guadalupe River, and they also, uh, uh, have been to, uh, I guess Colorado, and they've really enjoyed it."
27,M,They're... They're just...,M|They're... They're just...
28,B,"It's a whole new, Uh-huh.","B|It's a whole new, Uh-huh."
29,M,So... it's like... it is?,M|So... it's like... it is?
30,B,Huh.,B|Huh.
31,M,"They've been, uh, uh.","M|They've been, uh, uh."
32,B,Sure. Uh-huh.,B|Sure. Uh-huh.
33,M,You know.,M|You know.
34,B,"Oh, that's neat. Sure.","B|Oh, that's neat. Sure."
35,M,I'm,M|I'm
36,B,Uh-huh.,B|Uh-huh.
37,M,Yea.But what if it was too easy?,M|Yea.But what if it was too easy?
38,B,"Well, you learn a lot of, um, skills too, and I think you're more receptive when you're younger than when you're older, to learn new skills,","B|Well, you learn a lot of, um, skills too, and I think you're more receptive when you're younger than when you're older, to learn new skills,"
39,M,"Yeah, I was.","M|Yeah, I was."
40,B,"and I think they really it really penetrates in your memory, you know, what to do, because you really have a great interest in it. Because it's something you weren't forced to do","B|and I think they really it really penetrates in your memory, you know, what to do, because you really have a great interest in it. Because it's something you weren't forced to do"
41,M,"I don't know, I don't really have any friends","M|I don't know, I don't really have any friends"
42,B,so you have kind of a relaxed mode of learning.,B|so you have kind of a relaxed mode of learning.
43,M,"I have a strong interest in learning, and I'm not sure what that means.","M|I have a strong interest in learning, and I'm not sure what that means."
44,B,And you're more receptive.,B|And you're more receptive.
45,M,I do what i want,M|I do what i want
46,B,Uh-huh.,B|Uh-huh.
47,M,"well, we do, we've been in texas before","M|well, we do, we've been in texas before"
48,B,"Oh, that's exciting.","B|Oh, that's exciting."
49,M,I don't know. I've been to Spain and France.,M|I don't know. I've been to Spain and France.
50,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
51,M,Uhh. I was there.,M|Uhh. I was there.
52,B,"Uh-huh. Well, I had a friend that, uh, visited England not, well, I think it's been probably two years now, but that's her next goal, and she can do it, is go back to England, because she really has a great desire to do that, because the love that she, um, has for it now after visiting it.","B|Uh-huh. Well, I had a friend that, uh, visited England not, well, I think it's been probably two years now, but that's her next goal, and she can do it, is go back to England, because she really has a great desire to do that, because the love that she, um, has for it now after visiting it."
53,M,,M|
54,B,Uh-huh.,B|Uh-huh.
55,M,"I,, uh","M|I,, uh"
56,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
57,M,You've been,M|You've been
58,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
59,M,"Well, that's a little odd.","M|Well, that's a little odd."
60,B,Do your own thing. Yeah.,B|Do your own thing. Yeah.
61,M,"Yeah, but then I'd have to walk around for hours.","M|Yeah, but then I'd have to walk around for hours."
62,B,Uh-huh.,B|Uh-huh.
63,M,Yeah uh,M|Yeah uh
64,B,"That's wonderful. There's a lot out there to see,","B|That's wonderful. There's a lot out there to see,"
65,M,Yeah. I was really surprised when I saw a lot more people.,M|Yeah. I was really surprised when I saw a lot more people.
66,B,I'll say .,B|I'll say .
67,M,I see,M|I see
68,B,"Well, I lived across the street almost from Canada","B|Well, I lived across the street almost from Canada"
69,M,I don't think I've ever been to the United states.,M|I don't think I've ever been to the United states.
70,B,"So that was, that, that's a nice place. Canada is very nice.","B|So that was, that, that's a nice place. Canada is very nice."
71,M,"I'm from Canada, I was just thinking about it.","M|I'm from Canada, I was just thinking about it."
72,B,Uh-huh.,B|Uh-huh.
73,M,You live in Canada?,M|You live in Canada?
74,B,"Oh, yes, absolutely. Sure, somebody that knows their way around.","B|Oh, yes, absolutely. Sure, somebody that knows their way around."
75,M,"So, do you know where you're going?","M|So, do you know where you're going?"
76,B,"Well, you've been quite a few places there","B|Well, you've been quite a few places there"
77,M,"Oh, right.","M|Oh, right."
78,B,"Once you think about it, huh. Uh-huh.","B|Once you think about it, huh. Uh-huh."
79,M,It's weird.,M|It's weird.
80,B,"Oh, that's great.","B|Oh, that's great."
81,M,I was.,M|I was.
82,B,Uh-huh. That's great.,B|Uh-huh. That's great.
83,M,And there was no language problem.,M|And there was no language problem.
84,B,Uh-huh,B|Uh-huh
85,M,I was there.,M|I was there.
86,B,What did you wind up with?,B|What did you wind up with?
87,M,"I don't know, but it's the only place I know I've been to that has a decent menu.","M|I don't know, but it's the only place I know I've been to that has a decent menu."
88,B,"Oh, okay","B|Oh, okay"
89,M,I know.,M|I know.
90,B,"Uh, uh-huh.","B|Uh, uh-huh."
91,M,Oh. You did?,M|Oh. You did?
92,B,They kind of guided you.,B|They kind of guided you.
93,M,How did I get in?,M|How did I get in?
94,B,Uh-huh.,B|Uh-huh.
95,M,Huh. What about them?,M|Huh. What about them?
96,B,"Well, good.","B|Well, good."
97,M,"well, it was.","M|well, it was."
98,B,"I guess that's why we need to plan for retirement, so when we do have the free time, we'll have the, the means to, uh, pursue our dreams.","B|I guess that's why we need to plan for retirement, so when we do have the free time, we'll have the, the means to, uh, pursue our dreams."
99,M,"That's why I always, uh, plan for the future.","M|That's why I always, uh, plan for the future."
100,B,Yeah. I guess that's what retirement is all about.,B|Yeah. I guess that's what retirement is all about.
101,M,Yeah. I guess.,M|Yeah. I guess.
102,B,Yes.,B|Yes.
103,M,Do you have a job?,M|Do you have a job?
104,B,Uh-huh.,B|Uh-huh.
105,M,"Oh, okay.","M|Oh, okay."
106,B,"I understand that. Well, it was nice talking with you too, Craig.","B|I understand that. Well, it was nice talking with you too, Craig."
107,M,It was nice talk.,M|It was nice talk.
108,B,You do the same.,B|You do the same.
109,M,He shrugs. I'm fine.,M|He shrugs. I'm fine.
110,B,Thank you.,B|Thank you.
111,M,I am.,M|I am.
112,B,Bye-bye.,B|Bye-bye.
