,Speaker,Utterance,Unified
5,B,"And I, so I mean, how I would go about doing it is I would just call all my relatives.","B|And I, so I mean, how I would go about doing it is I would just call all my relatives."
6,M,"I,","M|I,"
7,B,"Because I, since I came from, my father has, uh, five sisters and two brothers and my mother has four brothers and two sisters. So I both of my parents had big families, and we always we always got together, just always. Now it's different because I live here and I, you know, when I go home I try to see the families, as much of the family as I can but it's real different.","B|Because I, since I came from, my father has, uh, five sisters and two brothers and my mother has four brothers and two sisters. So I both of my parents had big families, and we always we always got together, just always. Now it's different because I live here and I, you know, when I go home I try to see the families, as much of the family as I can but it's real different."
8,M,,M|
9,B,"And I grew up in a real not, I think not normal setting.","B|And I grew up in a real not, I think not normal setting."
10,M,I'm not,M|I'm not
11,B,"Right. I mean Sunday dinner was at my grandmother's and, you know, like I said there would be thirty, you know, thirty people, and everyone would just bring things and my grandmother would cook and cook and cook.","B|Right. I mean Sunday dinner was at my grandmother's and, you know, like I said there would be thirty, you know, thirty people, and everyone would just bring things and my grandmother would cook and cook and cook."
12,M,I'm in the day,M|I'm in the day
13,B,And,B|And
14,M,I am the tree,M|I am the tree
15,B,Uh-huh.,B|Uh-huh.
16,M,"Well, I came from Texas, and my mother was from Florida","M|Well, I came from Texas, and my mother was from Florida"
17,B,"Yeah, I guess so. It really sounds like it was fun.","B|Yeah, I guess so. It really sounds like it was fun."
18,M,Oh. I guess I was thinking of it as a family thing.,M|Oh. I guess I was thinking of it as a family thing.
