B:	Right. Yeah.
M:	uh, but they have a receipt
B:	Yeah.
M:	I am not so much of a potato. I am a potato, so I can eat them.
B:	Oh.
M:	Ayea'a'ight
B:	Uh-huh. No. Really?
M:	But... but... but Ford...
B:	And, uh, well I fell in love with this, uh, it's a Chinchilla Persian, and, uh, brought him home,
M:	Yeah, it's a little bit older.
B:	Uh-huh.
M:	What's your favourite animal?
B:	Huh, stick shift, huh?
M:	That's not how it's pronounced.
B:	Yeah. I'm, I'm ambivalent about it because, um, uh, well it is very frightening and scary. I have no perspective on how it relates to other diseases, and, uh, I mean whether,
M:	It's not as messy as you think it is.
B:	Yeah. Yeah, I agree
M:	
B:	Uh-huh. Uh-huh.
M:	So...
B:	He's a little boy
M:	I don't know. I've never had a girl.
B:	So, uh,
M:	It's good.
B:	Wow.
M:	This is the only thing that's been happening to me. I can't even remember the last time.
B:	You,
M:	What do you mean, uh, I know, you can't vote here, you know, no one's going to vote for you!
B:	That's about what we do too.
M:	Are you sure?
B:	The, the cat almost died, and but he turned out to be such a wonderful cat, oh he loves life now.
M:	She hugs back.
B:	So, uh, but, uh,
M:	You're right.
B:	No problem.
M:	s
B:	Yeah. I, uh, I don't know, I think the, I guess there's a lot of problems with the legal system
M:	You're not, I am.
B:	I remember seeing that.
M:	It's sad. I don't know why people don't use this as a reason.
B:	Uh-huh.
M:	It's the deer.
B:	But it's, it's inexpensive
M:	...
B:	It's thirty-five, thirty-six years old when they used to build like that, and, uh,
M:	I love the fact that he's wearing a hat.
B:	Um.
M:	What??!?! I'm sorry.
B:	Sure, same here.
M:	What's up with Canada?
B:	Well, the way things are going.
M:	Oh, I thought it was a two dollar difference.
B:	and let's face it, what do they get paid.
M:	Oh yeah? Um, uh, uh.
B:	Huh?
M:	There is no rule that states that judges have to be judges.
B:	and I also, you know, usually have, have checked over things, you know, if it's like an appliance or something to make sure, uh, it has the features in it that I want.
M:	How do you keep your phone unlocked?
B:	but, uh, they're, they're trying to reinstate it and the governor's opposed to it being that, uh, the Democrat that he is,  and Mario Cuomo
M:	
B:	Uh-huh
M:	
