A:	Uh-huh.
B:	Well, it's good to get out and smell some fresh air, too.
A:	Uh-huh.
B:	Right.
A:	so I don't know if I wasn't drug tested based on that or because the man who hired me didn't request the drug test, because I know that my company does drug testing on occasion.
B:	Oh, yeah.
A:	Uh-huh.
B:	Uh-huh.
A:	Uh-huh. Uh-huh.
B:	Right. Peas
A:	Well, that's pretty .
B:	Oh, I love home grown tomatos.
A:	That's right. Yeah.
B:	Just let me see what I got, I got the peas and I've got some broccoli, uh, onions some, some radishes and, uh, uh, beets.
A:	Uh-huh.
B:	You live in Pennsylvania?
A:	but, uh, no I didn't get to the Great Barrier Reef. I drove from Sidney down to Melbourne and over to Adelaide.
B:	Gives you sympathy for the vigilantes.
A:	Yeah, I find it surprising. Because a lot of times, it, here, you know, I'll talk to some people here and I'll mention someone's, some talk host and I'll expect them to have an opinion on why I don't like him and don't listen, they don't even know, you know, what the guys name is, uh. Bruce Williams who does financial work all over the United States. Most people haven't heard of Bruce Williams. You probably haven't either unless you're a radio buff.
B:	Yeah.
A:	What did you do, put it together?
B:	and so, that's that whole thing that he'll say when, like, like I've seen my uncle and his family, you know, does everything together, and you know, his kids are, you know, when his little girl was five years old and everything, they, uh, they would go to the beach, and she could go to sleep at two in the morning you know
A:	Yes, it's really kind of sad, and, that we would go all the way to Iraq and that we would be very concerned with the situation between Jerusalem and, uh, Israel and the Middle East Arab countries, and, and when we have, when we have a lot of problems, right in our own back door.
B:	Are there, are there any theories on why this is happening?
A:	this is not, these aren't cats, you know,
B:	and we've had it for a while, but all of a sudden it just wasn't working, and it looks like there's a part missing from it. My husband opened it up and whatever, and of course we don't have the receipt any more, so we can't take it back
A:	Yeah.
B:	Right.
A:	Well, I guess I could use a card too. I live, uh, very near, uh, very close to the Firewheel Golf Course.
B:	Yeah. I just know one person that's in the Peace Corps and, I mean, she's a teacher and, and just wanted to do it. She'd been a teacher for a while. Just decided she wanted to do it, so. I mean, I'm grateful for people like that, but, I don't see how they can just, Yeah,
A:	Right.
B:	You,
A:	I know it, and you know what ...
