Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
3	1	2	the diamond	1	3	1	f	0,1,3	[[0, 1, 3]]
2	0	2	side of	39	1	1	f	38,39	[[38, 39]]
3	1	2	under the	89	3	2	f	86,88,89	[[86, 88, 89]]
2	0	2	above the	1	1	1	f	0,1	[[0, 1]]
2	0	2	flat rocks	69	5	1	f	64,69	[[64, 69]]
2	0	2	have canoe	41	5	1	f	36,41	[[36, 41]]
2	0	2	the left	55	3	1	f	52,55	[[52, 55]]
19	5	1	the	1	89	1	f	0,1,3,12,15,24,28,29,44,49,50,51,52,53,55,57,86,88,89	[[0, 1, 3], [12, 15], [24, 28, 29], [28, 29], [44, 49], [50, 51, 52, 53, 55], [52, 53, 55, 57], [86, 88, 89]]
9	1	1	right	5	75	1	f	2,5,26,29,31,72,75,76,77	[[2, 5], [26, 29, 31], [72, 75, 76, 77]]
2	0	1	yeah	43	1	7	f	42,43	[[42, 43]]
2	0	1	just	19	3	1	f	16,19	[[16, 19]]
4	0	1	side	29	11	1	f	28,29,38,39	[[28, 29], [38, 39]]
5	1	1	have	41	29	2	f	36,40,41,64,65	[[36, 40, 41], [40, 41], [64, 65]]
2	0	1	above	1	1	1	f	0,1	[[0, 1]]
2	0	1	mine	15	3	3	f	12,15	[[12, 15]]
2	0	1	top	49	5	2	f	44,49	[[44, 49]]
2	0	1	well	67	3	3	f	64,67	[[64, 67]]
2	0	1	don't	43	3	2	f	40,43	[[40, 43]]
2	0	1	got	23	1	1	f	22,23	[[22, 23]]
2	0	1	apache	39	1	1	f	38,39	[[38, 39]]
