Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	3	the cross is	137	1	1	g	136,137	[[136, 137]]
2	0	2	to the	21	5	2	g	16,21	[[16, 21]]
5	1	2	the forge	41	43	3	g	36,38,41,78,79	[[36, 38, 41], [38, 41], [78, 79]]
2	0	2	and a	47	1	3	g	46,47	[[46, 47]]
3	1	2	crane bay	115	3	3	g	114,115,117	[[114, 115, 117]]
3	1	2	the cross	137	3	3	g	134,136,137	[[134, 136, 137]]
60	14	1	the	7	127	3	g	6,7,8,11,12,15,16,17,20,21,24,25,30,33,35,36,37,38,41,43,60,62,63,64,65,66,67,69,70,73,75,78,79,81,82,84,85,88,89,91,98,100,101,102,104,105,106,107,108,111,112,113,114,115,117,119,128,129,131,133	[[6, 7, 8, 11], [8, 11], [12, 15, 16, 17], [16, 17, 20, 21], [20, 21, 24, 25], [24, 25], [30, 33, 35], [36, 37, 38, 41], [38, 41, 43], [60, 62, 63, 64, 65], [62, 63, 64, 65, 66, 67], [64, 65, 66, 67, 69], [66, 67, 69], [70, 73, 75], [78, 79, 81], [82, 84, 85], [84, 85, 88, 89], [88, 89, 91], [98, 100, 101], [100, 101, 102, 104, 105], [102, 104, 105, 106, 107], [104, 105, 106, 107], [106, 107, 108, 111], [108, 111, 112, 113], [112, 113, 114, 115, 117], [114, 115, 117, 119], [128, 129, 131, 133]]
17	3	1	you	85	43	4	g	84,85,90,91,93,95,98,103,106,107,116,117,119,122,123,126,127	[[84, 85], [90, 91, 93, 95], [98, 103], [106, 107], [116, 117, 119], [122, 123, 126, 127], [126, 127]]
14	2	1	to	19	89	3	g	16,19,21,36,41,62,63,67,70,75,84,85,100,105	[[16, 19, 21], [36, 41], [62, 63, 67], [70, 75], [84, 85], [100, 105]]
13	1	1	right	17	125	1	g	16,17,70,71,96,99,112,117,126,131,136,137,141	[[16, 17], [70, 71], [96, 99], [112, 117], [126, 131], [136, 137, 141]]
6	0	1	just	73	67	5	g	70,73,90,95,136,137	[[70, 73], [90, 95], [136, 137]]
2	0	1	down	25	1	6	g	24,25	[[24, 25]]
2	0	1	go	47	5	5	g	42,47	[[42, 47]]
2	0	1	and	47	1	7	g	46,47	[[46, 47]]
9	1	1	know	11	131	1	g	6,11,30,33,74,75,77,136,137	[[6, 11], [30, 33], [74, 75, 77], [136, 137]]
4	0	1	about	115	3	8	g	114,115,116,117	[[114, 115, 116, 117]]
2	0	1	pine	29	1	1	g	28,29	[[28, 29]]
2	0	1	side	89	5	1	g	84,89	[[84, 89]]
5	1	1	so	47	81	4	g	42,47,118,119,123	[[42, 47], [118, 119, 123]]
2	0	1	but	33	5	2	g	28,33	[[28, 33]]
2	0	1	line	91	3	3	g	88,91	[[88, 91]]
2	0	1	that	31	1	1	g	30,31	[[30, 31]]
9	1	1	is	7	133	1	g	4,7,58,63,100,105,134,136,137	[[4, 7], [58, 63], [100, 105], [134, 136, 137]]
4	0	1	don't	7	47	1	g	6,7,48,53	[[6, 7], [48, 53]]
3	1	1	bay	115	3	5	g	114,115,117	[[114, 115, 117]]
5	1	1	forge	41	43	3	g	36,38,41,78,79	[[36, 38, 41], [38, 41], [78, 79]]
3	1	1	from	21	5	3	g	20,21,25	[[20, 21, 25]]
5	1	1	cross	15	125	1	g	12,15,134,136,137	[[12, 15], [134, 136, 137]]
2	0	1	if	75	5	1	g	70,75	[[70, 75]]
3	1	1	crane	115	3	3	g	114,115,117	[[114, 115, 117]]
2	0	1	one	59	1	1	g	58,59	[[58, 59]]
2	0	1	are	117	1	1	g	116,117	[[116, 117]]
2	0	1	map	77	5	1	g	72,77	[[72, 77]]
