Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	2	i don't	5	1	1	f	4,5	[[4, 5]]
10	2	1	right	51	31	1	f	50,51,54,57,64,65,67,76,80,81	[[50, 51], [54, 57], [64, 65, 67], [76, 80, 81], [80, 81]]
5	1	1	have	45	35	1	f	40,45,70,73,75	[[40, 45], [70, 73, 75]]
6	2	1	i	5	69	1	f	4,5,7,9,72,73	[[4, 5, 7, 9], [72, 73]]
4	0	1	a	51	19	1	f	48,51,62,67	[[48, 51], [62, 67]]
2	0	1	to	11	5	1	f	6,11	[[6, 11]]
5	1	1	yeah	27	39	2	f	22,26,27,60,61	[[22, 26, 27], [26, 27], [60, 61]]
2	0	1	don't	5	1	1	f	4,5	[[4, 5]]
2	0	1	bit	85	5	2	f	80,85	[[80, 85]]
2	0	1	not	51	3	1	f	48,51	[[48, 51]]
2	0	1	was	63	1	1	f	62,63	[[62, 63]]
2	0	1	yes	71	5	2	f	66,71	[[66, 71]]
2	0	1	any	83	3	1	f	80,83	[[80, 83]]
