Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	3	it on the	23	3	1	f	20,23	[[20, 23]]
2	0	2	cactus thing	23	3	1	f	20,23	[[20, 23]]
13	5	1	right	23	69	5	f	20,22,23,25,27,36,38,41,82,86,87,88,89	[[20, 22, 23, 25], [22, 23, 25, 27], [36, 38, 41], [38, 41], [82, 86, 87], [86, 87, 88, 89], [88, 89]]
4	0	1	to	23	61	3	f	20,23,76,81	[[20, 23], [76, 81]]
2	0	1	a	1	1	1	f	0,1	[[0, 1]]
7	1	1	i	11	51	1	f	10,11,52,53,55,56,61	[[10, 11], [52, 53, 55], [56, 61]]
2	0	1	and	87	5	2	f	82,87	[[82, 87]]
2	0	1	go	13	3	1	f	10,13	[[10, 13]]
3	1	1	yeah	97	3	4	f	94,96,97	[[94, 96, 97]]
2	0	1	have	21	1	1	f	20,21	[[20, 21]]
2	0	1	or	7	3	1	f	4,7	[[4, 7]]
