Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
4	0	2	of the	19	67	3	g	18,19,80,85	[[18, 19], [80, 85]]
6	0	2	to the	73	35	1	g	70,73,80,85,104,105	[[70, 73], [80, 85], [104, 105]]
4	0	2	do you	71	87	1	g	68,71,150,155	[[68, 71], [150, 155]]
2	0	2	and then	7	1	1	g	6,7	[[6, 7]]
2	0	2	at the	31	5	1	g	26,31	[[26, 31]]
2	0	2	the fallen	125	5	1	g	120,125	[[120, 125]]
64	16	1	the	1	151	1	g	0,1,5,12,14,15,16,18,19,21,22,23,25,26,27,31,34,35,38,39,40,42,43,44,47,58,60,61,62,64,66,67,70,73,74,78,79,80,81,84,85,104,105,106,107,112,115,116,117,119,120,122,124,125,128,129,133,142,143,146,147,149,150,151	[[0, 1, 5], [12, 14, 15], [14, 15, 16, 18, 19], [16, 18, 19, 21], [18, 19, 21, 22, 23], [22, 23, 25, 26, 27], [26, 27, 31], [34, 35, 38, 39], [38, 39, 40, 42, 43], [40, 42, 43], [42, 43, 44, 47], [44, 47], [58, 60, 61], [60, 61], [62, 64, 66, 67], [64, 66, 67], [66, 67], [70, 73], [74, 78, 79], [78, 79, 80, 81], [80, 81, 84, 85], [84, 85], [104, 105, 106, 107], [106, 107], [112, 115, 116, 117], [116, 117, 119], [120, 122, 124, 125], [122, 124, 125], [124, 125, 128, 129], [128, 129, 133], [142, 143, 146, 147], [146, 147, 149, 150, 151]]
26	4	1	you	9	149	1	g	6,9,22,23,27,58,59,66,68,70,71,72,73,96,97,100,105,106,111,124,128,129,144,145,150,155	[[6, 9], [22, 23, 27], [58, 59], [66, 68, 70, 71], [68, 70, 71, 72, 73], [70, 71, 72, 73], [72, 73], [96, 97], [100, 105], [106, 111], [124, 128, 129], [128, 129], [144, 145], [150, 155]]
14	2	1	to	71	35	2	g	70,71,73,74,77,79,80,85,88,93,100,101,104,105	[[70, 71, 73], [74, 77, 79], [80, 85], [88, 93], [100, 101, 104, 105], [104, 105]]
16	2	1	right	5	129	1	g	0,5,6,7,58,60,62,63,78,81,88,93,122,123,124,129	[[0, 5], [6, 7], [58, 60, 62, 63], [60, 62, 63], [62, 63], [78, 81], [88, 93], [122, 123], [124, 129]]
5	1	1	i	11	69	1	g	6,11,70,73,75	[[6, 11], [70, 73, 75]]
11	1	1	of	19	131	3	g	18,19,60,61,70,73,80,85,144,146,149	[[18, 19], [60, 61], [70, 73], [80, 85], [144, 146, 149], [146, 149]]
13	1	1	and	7	121	2	g	4,6,7,34,35,38,39,104,105,114,119,120,125	[[4, 6, 7], [6, 7], [34, 35, 38, 39], [38, 39], [104, 105], [114, 119], [120, 125]]
9	1	1	have	23	93	1	g	22,23,68,69,84,87,89,112,115	[[22, 23], [68, 69], [84, 87, 89], [112, 115]]
4	0	1	it	87	9	6	g	84,87,92,93	[[84, 87], [92, 93]]
4	0	1	just	27	49	1	g	26,27,70,75	[[26, 27], [70, 75]]
5	1	1	okay	61	7	2	g	58,61,63,64,65	[[58, 61, 63], [64, 65]]
2	0	1	left	83	5	3	g	78,83	[[78, 83]]
2	0	1	go	131	3	1	g	128,131	[[128, 131]]
2	0	1	so	111	5	2	g	106,111	[[106, 111]]
4	0	1	are	39	59	2	g	38,39,96,97	[[38, 39], [96, 97]]
2	0	1	in	15	1	1	g	14,15	[[14, 15]]
4	0	1	that	9	31	2	g	8,9,38,39	[[8, 9], [38, 39]]
2	0	1	then	7	1	1	g	6,7	[[6, 7]]
2	0	1	yeah	49	3	5	g	46,49	[[46, 49]]
2	0	1	don't	57	1	3	g	56,57	[[56, 57]]
2	0	1	at	31	5	1	g	26,31	[[26, 31]]
2	0	1	that's	39	5	1	g	34,39	[[34, 39]]
2	0	1	going	93	5	1	g	88,93	[[88, 93]]
