Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	3	turn right so	71	3	1	g	68,71	[[68, 71]]
2	0	2	do you	1	1	1	g	0,1	[[0, 1]]
2	0	2	have a	5	5	1	g	0,5	[[0, 5]]
3	1	2	and then	71	3	4	g	68,70,71	[[68, 70, 71]]
2	0	2	of the	7	5	1	g	2,7	[[2, 7]]
2	0	2	at the	45	5	1	g	40,45	[[40, 45]]
28	4	1	the	3	79	1	g	2,3,7,8,11,14,15,24,25,26,27,28,31,32,33,40,42,43,44,45,47,68,70,71,72,73,80,81	[[2, 3, 7], [8, 11], [14, 15], [24, 25, 26, 27], [26, 27, 28, 31], [28, 31, 32, 33], [32, 33], [40, 42, 43, 44, 45], [42, 43, 44, 45, 47], [44, 45, 47], [68, 70, 71, 72, 73], [70, 71, 72, 73], [72, 73], [80, 81]]
18	2	1	a	5	91	1	g	0,5,34,36,39,40,41,44,49,50,53,78,79,80,81,86,87,91	[[0, 5], [34, 36, 39], [36, 39, 40, 41], [40, 41], [44, 49], [50, 53], [78, 79, 80, 81], [80, 81], [86, 87, 91]]
13	1	1	to	3	81	1	g	0,3,8,11,14,16,17,34,35,70,75,78,81	[[0, 3], [8, 11], [14, 16, 17], [16, 17], [34, 35], [70, 75], [78, 81]]
12	2	1	you	1	81	1	g	0,1,28,32,33,34,35,68,71,78,80,81	[[0, 1], [28, 32, 33], [32, 33, 34, 35], [34, 35], [68, 71], [78, 80, 81]]
7	1	1	and	35	43	3	g	30,35,68,70,71,72,73	[[30, 35], [68, 70, 71, 72, 73]]
9	1	1	have	3	65	1	g	0,3,5,12,17,36,41,64,65	[[0, 3, 5], [12, 17], [36, 41], [64, 65]]
7	1	1	right	9	67	3	g	4,9,32,33,68,70,71	[[4, 9], [32, 33], [68, 70, 71], [70, 71]]
4	0	1	of	7	41	1	g	2,7,40,43	[[2, 7], [40, 43]]
5	1	1	do	1	13	1	g	0,1,3,10,13	[[0, 1, 3], [10, 13]]
4	0	1	just	3	85	1	g	2,3,86,87	[[2, 3], [86, 87]]
4	0	1	left	47	29	1	g	42,47,70,71	[[42, 47], [70, 71]]
2	0	1	about	35	3	3	g	32,35	[[32, 35]]
3	1	1	then	71	3	5	g	68,70,71	[[68, 70, 71]]
2	0	1	come	55	3	4	g	52,55	[[52, 55]]
2	0	1	but	73	1	3	g	72,73	[[72, 73]]
2	0	1	okay	59	1	1	g	58,59	[[58, 59]]
2	0	1	on	27	1	2	g	26,27	[[26, 27]]
2	0	1	so	71	3	4	g	68,71	[[68, 71]]
2	0	1	at	45	5	2	g	40,45	[[40, 45]]
2	0	1	it's	87	1	2	g	86,87	[[86, 87]]
