Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	3	of the page	43	1	1	f	42,43	[[42, 43]]
7	3	2	of the	43	53	1	f	42,43,52,57,89,93,95	[[42, 43], [52, 57], [89, 93], [93, 95]]
2	0	2	to the	42	5	2	f	37,42	[[37, 42]]
4	1	2	and then	56	26	4	g	31,33,56,57	[[31, 33], [56, 57]]
4	2	2	above the	114	93	4	g	21,25,113,114	[[21, 25], [113, 114]]
4	0	2	right okay	68	37	1	f	67,68,101,104	[[67, 68], [101, 104]]
2	0	2	the page	43	1	2	f	42,43	[[42, 43]]
2	0	2	turn left	53	5	1	g	48,53	[[48, 53]]
2	0	2	right and	13	3	1	f	10,13	[[10, 13]]
2	0	2	the end	42	1	1	g	41,42	[[41, 42]]
2	0	2	to turn	56	3	1	g	53,56	[[53, 56]]
2	0	2	turn right	56	3	1	g	53,56	[[53, 56]]
53	26	1	the	3	118	1	f	2,3,4,5,9,10,11,13,17,21,23,25,27,29,32,37,41,42,43,45,52,53,55,57,58,63,65,66,67,70,71,73,74,79,81,85,87,89,91,93,95,97,98,100,101,103,107,108,113,114,115,119,120	[[2, 3, 4, 5], [3, 4, 5], [4, 5, 9], [5, 9, 10], [9, 10, 11, 13], [10, 11, 13], [11, 13], [13, 17], [17, 21], [21, 23, 25], [23, 25, 27], [25, 27, 29], [27, 29, 32], [29, 32], [32, 37], [37, 41, 42], [41, 42, 43, 45], [42, 43, 45], [43, 45], [52, 53, 55, 57], [53, 55, 57, 58], [55, 57, 58], [57, 58], [58, 63], [63, 65, 66, 67], [65, 66, 67, 70], [66, 67, 70, 71], [67, 70, 71], [70, 71, 73, 74], [71, 73, 74], [73, 74], [74, 79], [79, 81], [81, 85], [85, 87, 89], [87, 89, 91], [89, 91, 93], [91, 93, 95], [93, 95, 97, 98], [95, 97, 98, 100], [97, 98, 100, 101], [98, 100, 101, 103], [100, 101, 103], [101, 103], [103, 107, 108], [107, 108], [108, 113], [113, 114, 115], [114, 115, 119], [115, 119, 120]]
35	13	1	right	13	111	4	f	2,6,8,10,13,18,26,28,32,37,50,53,54,55,56,57,61,67,68,71,73,78,81,82,84,87,90,94,97,100,101,104,108,110,113	[[2, 6], [6, 8, 10], [8, 10, 13], [10, 13], [13, 18], [26, 28], [28, 32], [32, 37], [50, 53, 54, 55], [53, 54, 55, 56, 57], [54, 55, 56, 57], [55, 56, 57], [56, 57, 61], [57, 61], [67, 68, 71], [68, 71, 73], [71, 73], [73, 78], [78, 81, 82], [81, 82, 84], [82, 84, 87], [84, 87], [87, 90], [90, 94], [94, 97], [97, 100, 101], [100, 101, 104], [101, 104], [104, 108], [108, 110, 113]]
20	9	1	and	9	110	2	f	2,4,9,10,13,17,25,27,31,33,50,55,56,57,61,80,81,103,108,112	[[2, 4], [4, 9], [9, 10, 13], [10, 13], [13, 17], [25, 27], [27, 31], [31, 33], [50, 55], [55, 56, 57], [56, 57, 61], [57, 61], [80, 81], [103, 108], [108, 112]]
20	16	1	you	56	111	11	g	9,11,15,17,23,27,39,43,51,53,56,59,61,79,81,85,87,91,119,120	[[9, 11], [11, 15], [15, 17], [23, 27], [39, 43], [51, 53, 56], [53, 56], [56, 59, 61], [59, 61], [79, 81], [81, 85], [85, 87], [87, 91], [119, 120]]
