Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	4	the outside of the	99	5	1	f	94,99	[[94, 99]]
2	0	3	to the left	85	3	2	f	82,85	[[82, 85]]
2	0	3	top of the	76	3	1	g	73,76	[[73, 76]]
12	3	2	of the	64	56	4	g	59,64,73,76,81,87,88,94,99,100,113,115	[[59, 64], [73, 76], [76, 81], [87, 88], [94, 99], [99, 100], [113, 115]]
13	5	2	to the	30	117	2	g	5,7,30,31,35,37,40,82,84,85,116,117,122	[[5, 7], [30, 31, 35], [31, 35], [35, 37, 40], [37, 40], [82, 84, 85], [84, 85], [116, 117], [117, 122]]
2	0	2	and then	37	3	1	f	34,37	[[34, 37]]
4	2	2	below the	29	55	1	g	28,29,81,83	[[28, 29], [81, 83]]
2	0	2	at the	98	3	1	f	95,98	[[95, 98]]
2	0	2	the top	33	3	1	f	30,33	[[30, 33]]
2	0	2	right okay	120	3	3	f	117,120	[[117, 120]]
2	0	2	the map	65	1	1	g	64,65	[[64, 65]]
2	0	2	past the	8	3	1	g	5,8	[[5, 8]]
2	0	2	inches below	40	3	1	g	37,40	[[37, 40]]
2	0	2	on the	106	5	1	g	101,106	[[101, 106]]
64	25	1	the	5	128	1	f	0,5,7,8,9,11,13,15,17,22,26,28,29,30,31,33,34,35,36,37,39,40,41,43,48,49,51,53,59,63,64,65,67,69,71,73,76,77,81,82,83,84,85,87,88,94,95,98,99,100,101,105,106,110,113,115,116,117,121,122,125,126,127,128	[[0, 5], [5, 7, 8, 9], [7, 8, 9, 11], [8, 9, 11, 13], [9, 11, 13], [11, 13, 15], [13, 15, 17], [15, 17], [17, 22], [22, 26], [26, 28, 29, 30, 31], [28, 29, 30, 31, 33], [29, 30, 31, 33, 34], [30, 31, 33, 34, 35], [31, 33, 34, 35, 36], [33, 34, 35, 36, 37], [34, 35, 36, 37, 39], [35, 36, 37, 39, 40], [36, 37, 39, 40, 41], [37, 39, 40, 41], [39, 40, 41, 43], [40, 41, 43], [41, 43], [43, 48], [48, 49, 51, 53], [49, 51, 53], [51, 53], [59, 63, 64], [63, 64, 65, 67], [64, 65, 67, 69], [65, 67, 69], [67, 69, 71], [69, 71, 73], [71, 73, 76], [73, 76, 77], [76, 77, 81], [77, 81, 82], [81, 82, 83, 84, 85], [82, 83, 84, 85, 87], [83, 84, 85, 87, 88], [84, 85, 87, 88], [85, 87, 88], [87, 88], [94, 95, 98, 99], [95, 98, 99, 100], [98, 99, 100, 101], [99, 100, 101], [100, 101, 105], [101, 105, 106], [105, 106, 110], [106, 110], [110, 113, 115], [113, 115, 116, 117], [115, 116, 117], [116, 117, 121], [117, 121, 122], [121, 122, 125, 126], [122, 125, 126, 127], [125, 126, 127, 128]]
