Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
3	1	2	of the	69	5	6	g	64,66,69	[[64, 66, 69], [66, 69]]
2	0	2	slightly to	99	5	1	g	94,99	[[94, 99]]
2	0	2	then you	145	1	1	g	144,145	[[144, 145]]
40	12	1	right	13	127	3	g	10,13,18,22,23,24,26,29,30,34,35,37,38,40,41,44,47,62,64,67,78,79,81,84,85,86,88,89,94,99,100,103,108,110,112,113,132,134,135,137	[[10, 13], [18, 22, 23], [22, 23], [24, 26, 29], [26, 29], [30, 34, 35], [34, 35, 37], [38, 40, 41], [40, 41], [44, 47], [62, 64, 67], [64, 67], [78, 79, 81], [84, 85, 86, 88, 89], [86, 88, 89], [88, 89], [94, 99], [100, 103], [108, 110, 112, 113], [110, 112, 113], [112, 113], [132, 134, 135, 137], [134, 135, 137]]
32	6	1	the	33	123	8	g	32,33,35,37,64,65,66,67,69,78,79,82,84,85,86,87,91,100,101,102,103,107,118,123,130,135,138,139,144,149,154,155	[[32, 33, 35, 37], [64, 65, 66, 67, 69], [66, 67, 69], [78, 79], [82, 84, 85, 86, 87], [84, 85, 86, 87], [86, 87, 91], [100, 101, 102, 103], [102, 103, 107], [118, 123], [130, 135], [138, 139], [144, 149], [154, 155]]
17	5	1	to	5	95	1	g	4,5,18,23,32,33,35,37,78,79,81,82,84,87,89,94,99	[[4, 5], [18, 23], [32, 33, 35, 37], [78, 79, 81], [82, 84, 87], [84, 87, 89], [94, 99]]
11	3	1	you	7	143	2	g	6,7,106,109,116,118,119,121,144,145,149	[[6, 7], [106, 109], [116, 118, 119, 121], [118, 119, 121], [144, 145, 149]]
9	1	1	and	23	105	1	g	18,23,94,97,100,103,105,118,123	[[18, 23], [94, 97], [100, 103, 105], [118, 123]]
10	2	1	a	7	147	2	g	4,6,7,76,77,79,138,139,146,151	[[4, 6, 7], [6, 7], [76, 77, 79], [138, 139], [146, 151]]
4	0	1	of	65	5	8	g	64,65,66,69	[[64, 65, 66, 69], [66, 69]]
6	2	1	okay	21	123	1	g	16,20,21,134,135,139	[[16, 20, 21], [20, 21], [134, 135, 139]]
7	1	1	down	67	43	5	g	62,67,78,81,102,103,105	[[62, 67], [78, 81], [102, 103, 105]]
2	0	1	have	7	1	2	g	6,7	[[6, 7]]
7	1	1	well	67	37	2	g	62,67,76,77,81,94,99	[[62, 67], [76, 77, 81], [94, 99]]
2	0	1	your	81	5	7	g	76,81	[[76, 81]]
2	0	1	stone	103	3	9	g	100,103	[[100, 103]]
2	0	1	below	89	5	4	g	84,89	[[84, 89]]
2	0	1	that	123	5	4	g	118,123	[[118, 123]]
2	0	1	on	149	5	1	g	144,149	[[144, 149]]
2	0	1	as	37	5	1	g	32,37	[[32, 37]]
2	0	1	noose	139	1	2	g	138,139	[[138, 139]]
2	0	1	slightly	99	5	1	g	94,99	[[94, 99]]
2	0	1	come	89	5	1	g	84,89	[[84, 89]]
