Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	right do you	33	34	1	g	0, 33
2	2	3	turn right so	71	4	1	g	68, 71
7	5	2	do you	1	65	1	g	0, 1, 10, 21, 33, 54, 64
7	7	2	have a	5	92	1	g	0, 5, 10, 41, 54, 79, 91
6	6	2	and then	71	65	4	g	16, 30, 68, 70, 71, 80
6	6	2	of the	7	55	1	g	2, 7, 8, 43, 48, 56
6	6	2	to the	8	50	1	M	7, 8, 14, 16, 33, 56
4	4	2	in the	88	74	3	M	15, 31, 63, 88
3	3	2	take it	78	60	2	M	19, 33, 78
3	3	2	want to	34	58	1	M	11, 34, 68
3	3	2	you want	34	36	1	M	33, 34, 68
2	2	2	a bit	87	54	1	g	34, 87
2	2	2	a graveyard	50	10	1	M	41, 50
2	2	2	and a	65	22	1	g	44, 65
2	2	2	at the	45	6	1	g	40, 45
2	2	2	go up	2	2	1	M	1, 2
2	2	2	i want	22	12	1	M	11, 22
2	2	2	the abandoned	32	26	1	M	7, 32
2	2	2	the forge	63	38	1	g	26, 63
2	2	2	the right	27	14	1	g	14, 27
2	2	2	the same	88	86	1	M	3, 88
2	2	2	to avoid	22	12	1	M	11, 22
2	2	2	turn left	71	44	1	g	28, 71
2	2	2	when you're	68	10	1	M	59, 68
2	2	2	where it	69	44	1	g	26, 69
2	2	2	you mean	78	72	1	M	7, 78
38	25	1	the	3	87	1	g	2, 3, 7, 8, 11, 14, 15, 16, 18, 24, 25, 26, 27, 28, 31, 32, 33, 34, 36, 40, 42, 43, 44, 45, 47, 48, 52, 56, 63, 67, 68, 70, 71, 72, 73, 80, 81, 88
24	13	1	a	16	92	1	g	0, 5, 10, 16, 20, 29, 34, 36, 39, 40, 41, 44, 49, 50, 53, 54, 65, 78, 79, 80, 81, 86, 87, 91
24	16	1	to	3	93	1	g	0, 3, 7, 8, 11, 14, 16, 17, 20, 22, 33, 34, 35, 40, 49, 53, 56, 68, 70, 75, 78, 81, 87, 92
24	13	1	you	12	89	1	g	0, 1, 7, 10, 12, 21, 22, 26, 28, 32, 33, 34, 35, 36, 49, 54, 64, 68, 71, 75, 78, 80, 81, 88
16	8	1	and	35	65	3	g	16, 18, 30, 35, 36, 38, 42, 44, 54, 65, 68, 70, 71, 72, 73, 80
16	9	1	have	3	93	1	g	0, 3, 5, 10, 12, 17, 36, 41, 54, 64, 65, 73, 79, 80, 91, 92
16	11	1	it	26	76	2	M	13, 19, 26, 29, 33, 35, 44, 53, 62, 68, 69, 78, 84, 85, 87, 88
14	8	1	right	9	90	3	g	0, 2, 4, 9, 14, 27, 32, 33, 68, 70, 71, 78, 80, 89
13	11	1	i	22	90	4	M	3, 5, 11, 13, 22, 50, 65, 73, 79, 81, 85, 87, 92
13	7	1	of	34	86	1	g	2, 7, 8, 34, 40, 43, 44, 48, 56, 70, 79, 81, 87
11	4	1	do	3	65	1	g	0, 1, 3, 10, 13, 21, 33, 35, 41, 54, 64
11	11	1	just	3	87	1	g	2, 3, 16, 20, 36, 52, 59, 68, 86, 87, 88
10	9	1	left	7	72	1	g	0, 7, 20, 28, 42, 47, 48, 62, 70, 71
9	6	1	in	18	74	1	M	15, 18, 20, 31, 36, 63, 68, 79, 88
8	8	1	about	35	75	3	g	14, 16, 32, 35, 36, 43, 68, 88
8	2	1	then	71	77	5	g	16, 30, 48, 68, 70, 71, 80, 92
7	7	1	come	55	65	4	g	14, 28, 34, 52, 55, 68, 78
7	7	1	that	22	71	1	M	17, 22, 32, 40, 68, 78, 87
7	5	1	up	21	88	1	M	1, 2, 21, 42, 44, 68, 88
6	6	1	but	73	62	3	g	26, 60, 72, 73, 78, 87
6	5	1	you're	17	67	1	g	2, 17, 27, 48, 59, 68
5	5	1	line	40	64	1	M	25, 40, 68, 78, 88
5	5	1	now	9	30	1	g	2, 9, 10, 12, 31
5	5	1	okay	59	31	1	g	58, 59, 74, 78, 88
5	5	1	on	27	47	2	g	16, 26, 27, 47, 62
5	4	1	so	71	58	4	g	14, 28, 48, 68, 71
4	2	1	at	45	41	2	g	38, 40, 45, 78
4	4	1	back	42	37	2	M	19, 33, 42, 55
4	2	1	go	44	57	1	M	1, 2, 44, 57
4	4	1	is	67	54	2	g	16, 32, 67, 69
4	4	1	side	44	30	1	M	27, 44, 48, 56
4	4	1	that's	23	84	1	g	4, 23, 28, 87
3	1	1	forge	80	55	1	g	26, 63, 80
3	1	1	graveyard	72	32	1	M	41, 50, 72
3	3	1	it's	87	62	2	g	26, 86, 87
3	3	1	level	83	82	2	g	2, 40, 83
3	2	1	where	69	44	2	g	26, 32, 69
2	2	1	along	67	54	1	g	14, 67
2	2	1	an	65	34	1	g	32, 65
2	2	1	north	57	56	1	g	2, 57
2	2	1	not	78	10	1	M	69, 78
2	2	1	pole	87	16	1	g	72, 87
2	2	1	rock	56	10	1	M	47, 56
2	2	1	see	61	30	1	g	32, 61
2	2	1	would	87	62	1	g	26, 87
2	2	1	yeah	79	14	1	g	66, 79

