Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	4	past the diamond mine	20	14	1	f	9, 20, 22
2	2	4	left-hand side of the	94	52	1	f	43, 94
2	2	4	no no no no	19	2	1	g	18, 19
6	3	3	the diamond mine	14	18	2	f	5, 9, 14, 17, 20, 22
4	4	3	over the top	49	59	2	g	30, 48, 49, 88
3	1	3	side of the	80	52	1	f	43, 80, 94
3	3	3	under the fort	91	6	1	g	88, 91, 93
2	2	3	and then go	91	78	1	g	14, 91
2	2	3	from the top	55	2	1	g	54, 55
2	2	3	of the apache	48	6	1	f	43, 48
2	2	3	over stone creek	70	4	1	f	67, 70
2	2	3	sarah and danielle	2	2	1	f	1, 2
2	2	3	the right-hand side	33	2	1	g	32, 33
2	2	3	the top of	48	20	1	f	29, 48
6	4	2	and then	91	78	5	g	14, 28, 38, 50, 88, 91
5	2	2	of the	48	52	1	f	43, 48, 76, 80, 94
5	2	2	the fort	91	9	2	g	86, 88, 91, 93, 94
4	2	2	from the	57	23	1	g	54, 55, 57, 76
4	2	2	stone creek	67	11	2	g	60, 66, 67, 70
3	3	2	a curve	17	7	1	g	14, 17, 20
3	3	2	above it	57	14	1	g	56, 57, 69
3	3	2	flat rocks	69	9	1	g	62, 69, 70
3	1	2	left-hand side	43	57	1	g	38, 43, 94
3	3	2	right right	80	8	2	f	73, 77, 80
3	3	2	up the	29	79	1	g	16, 29, 94
2	2	2	creek and	70	44	1	f	27, 70
2	2	2	curve round	94	78	1	f	17, 94
2	2	2	go under	91	6	1	g	86, 91
2	2	2	going over	88	22	1	f	67, 88
2	2	2	got a	27	4	1	g	24, 27
2	2	2	heading down	51	2	1	g	50, 51
2	2	2	round the	28	12	1	f	17, 28
2	2	2	to go	86	30	1	f	57, 86
2	2	2	yeah okay	71	44	1	g	28, 71
36	15	1	the	5	95	2	g	0, 4, 5, 9, 12, 14, 16, 17, 20, 22, 28, 29, 30, 32, 33, 38, 43, 44, 46, 48, 49, 52, 54, 55, 57, 62, 66, 74, 76, 78, 80, 86, 88, 91, 93, 94
31	29	1	right	3	95	1	g	0, 3, 4, 6, 7, 11, 15, 16, 23, 26, 28, 31, 34, 38, 43, 48, 59, 62, 66, 70, 73, 74, 77, 78, 80, 81, 84, 86, 91, 92, 94
19	19	1	you	8	94	1	f	1, 8, 16, 24, 28, 41, 44, 46, 48, 52, 54, 62, 66, 70, 72, 82, 84, 92, 94
16	8	1	and	27	96	1	f	1, 2, 14, 27, 28, 32, 38, 48, 50, 57, 70, 80, 86, 88, 91, 96
15	13	1	yeah	17	80	1	g	10, 17, 21, 23, 28, 30, 35, 37, 39, 47, 58, 61, 71, 81, 89
13	8	1	a	22	81	1	g	14, 17, 20, 22, 24, 27, 50, 66, 69, 74, 82, 86, 94
12	12	1	just	21	83	3	g	12, 16, 20, 21, 22, 38, 48, 50, 62, 70, 90, 94
12	10	1	no	25	65	1	g	18, 19, 25, 26, 42, 45, 46, 63, 64, 65, 69, 82
10	8	1	down	9	81	1	g	8, 9, 12, 32, 38, 48, 50, 51, 80, 88
10	9	1	to	16	94	1	f	1, 16, 28, 54, 57, 66, 72, 74, 86, 94
9	7	1	okay	13	64	1	g	8, 13, 23, 28, 43, 49, 50, 66, 71
8	5	1	curve	17	81	2	g	14, 16, 17, 20, 38, 50, 80, 94
8	2	1	of	29	67	1	g	28, 29, 43, 48, 60, 76, 80, 94
8	2	1	side	33	83	2	g	12, 32, 33, 38, 43, 80, 86, 94
8	2	1	then	91	79	6	g	14, 16, 28, 38, 50, 88, 91, 92
8	5	1	up	29	79	2	g	16, 28, 29, 54, 66, 70, 72, 94
7	5	1	heading	51	71	3	g	16, 48, 50, 51, 62, 74, 86
7	4	1	it	56	76	2	f	21, 29, 56, 57, 69, 94, 96
6	1	1	creek	28	44	1	f	27, 28, 60, 66, 67, 70
6	1	1	fort	91	11	3	g	84, 86, 88, 91, 93, 94
6	2	1	go	57	84	3	g	8, 14, 48, 57, 86, 91
6	3	1	past	62	62	1	f	9, 20, 22, 62, 66, 70
6	3	1	round	17	81	1	g	14, 17, 28, 29, 60, 94
6	6	1	well	48	30	1	f	41, 48, 54, 57, 69, 70
5	4	1	going	67	61	2	g	28, 66, 67, 70, 88
5	3	1	got	24	69	1	f	1, 24, 27, 42, 69
5	5	1	so	72	74	3	f	17, 39, 67, 72, 90
5	5	1	where	70	84	2	f	9, 51, 70, 72, 92
4	1	1	above	56	65	1	f	5, 56, 57, 69
4	4	1	canoes	40	16	2	f	27, 39, 40, 42
4	4	1	ehm	66	60	2	f	25, 45, 66, 84
4	4	1	have	41	46	1	g	24, 41, 45, 69
4	4	1	i	51	62	2	g	8, 24, 51, 69
4	1	1	left-hand	48	57	1	g	38, 43, 48, 94
4	4	1	now	60	42	1	f	51, 60, 74, 92
4	4	1	on	57	71	1	g	16, 57, 69, 86
3	1	1	apache	43	13	1	g	36, 43, 48
3	3	1	aye	53	67	1	g	2, 53, 68
3	3	1	coming	57	41	1	g	48, 57, 88
3	3	1	don't	41	22	1	g	24, 41, 45
3	3	1	way	51	71	1	g	16, 51, 86
2	2	1	fast	28	2	1	f	27, 28
2	2	1	oh	41	40	1	g	2, 41
2	2	1	what	29	2	1	g	28, 29

