Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	and then you want to go	59	g	50, 108
2	6	if you know what i mean	91	g	46, 136
2	6	in line with the fallen pillars	11	g	56, 66
2	6	you want to go straight up	13	g	50, 62
2	6	you're about in line with the	13	g	32, 44
3	5	about in line with the	25	g	32, 44, 56
3	5	and then you want to	59	g	50, 76, 108
2	5	about four centimetres from the	89	g	14, 102
2	5	you want to come down	49	g	76, 124
5	4	do you have a	99	g	20, 38, 40, 112, 118
5	4	in line with the	95	g	32, 44, 56, 66, 126
3	4	you want to come	93	g	32, 76, 124
2	4	a couple of centimetres	25	g	12, 36
2	4	a soft furnishings store	5	g	118, 122
2	4	if you sort of	29	g	42, 70
2	4	now do you have	13	g	100, 112
2	4	side of the mountain	11	g	126, 136
2	4	the bottom of the	33	g	12, 44
2	4	the fallen pillars and	15	g	76, 90
2	4	well you want to	31	g	62, 92
9	3	do you have	111	g	20, 38, 40, 82, 88, 100, 112, 118, 130
8	3	you want to	93	g	32, 50, 62, 76, 92, 108, 114, 124
5	3	the fallen pillars	35	g	56, 66, 76, 80, 90
4	3	go straight up	53	g	14, 50, 62, 66
4	3	have you got	53	g	0, 2, 48, 52
4	3	if you just	93	g	10, 40, 50, 102
3	3	about four centimetres	93	g	14, 102, 106
3	3	of the page	75	g	12, 74, 86
2	3	a sort of	45	g	40, 84
2	3	if you go	19	g	66, 84
2	3	of the water	5	g	40, 44
2	3	okay if you	15	g	36, 50
2	3	so if you	75	g	10, 84
2	3	so that you're	83	g	44, 126
2	3	sort of curve	15	g	70, 84
2	3	the lost steps	9	g	64, 72
2	3	the missionary camp	11	g	0, 10
2	3	the right-hand side	3	g	134, 136
2	3	the rope bridge	31	g	30, 60
2	3	the top of	103	g	12, 114
2	3	to the left	21	g	70, 90
2	3	up from the	25	g	66, 90
2	3	you've got the	35	g	30, 64
12	2	if you	127	g	10, 36, 40, 42, 46, 50, 66, 70, 84, 102, 122, 136
9	2	of the	129	g	8, 12, 40, 44, 74, 80, 86, 126, 136
8	2	and then	99	g	10, 14, 32, 48, 50, 76, 84, 108
6	2	fallen pillars	39	g	52, 56, 66, 76, 80, 90
6	2	from the	115	g	10, 14, 66, 90, 102, 124
6	2	sort of	87	g	40, 42, 70, 84, 92, 126
5	2	the mountain	17	g	120, 122, 124, 126, 136
5	2	the page	99	g	12, 32, 74, 86, 110
5	2	to about	125	g	12, 74, 106, 110, 136
5	2	to the	71	g	50, 58, 70, 90, 120
4	2	a bit	87	g	6, 10, 90, 92
4	2	lost steps	25	g	48, 50, 64, 72
4	2	rope bridge	41	g	20, 30, 32, 60
4	2	so that	95	g	32, 44, 76, 126
4	2	the top	103	g	12, 100, 102, 114
4	2	then you	79	g	50, 76, 108, 128
3	2	come down	89	g	36, 76, 124
3	2	in the	97	g	4, 54, 100
3	2	right-hand side	17	g	120, 134, 136
3	2	the bottom	41	g	4, 12, 44
3	2	the rope	31	g	30, 32, 60
3	2	the waterfall	17	g	50, 60, 66
2	2	above the	13	g	0, 12
2	2	ancient ruins	5	g	88, 92
2	2	and that's	33	g	70, 102
2	2	at the	19	g	102, 120
2	2	go down	5	g	80, 84
2	2	in a	9	g	76, 84
2	2	just go	105	g	10, 114
2	2	keep going	13	g	66, 78
2	2	okay that's	109	g	30, 138
2	2	the end	65	g	14, 78
2	2	three centimetres	43	g	80, 122
2	2	underneath them	57	g	76, 132
2	2	up again	73	g	14, 86
2	2	yeah okay	29	g	90, 118
36	1	the	137	g	0, 4, 8, 10, 12, 14, 30, 32, 40, 44, 50, 54, 56, 58, 60, 64, 66, 70, 72, 74, 76, 78, 80, 86, 90, 92, 100, 102, 110, 114, 120, 122, 124, 126, 134, 136
32	1	you	137	g	0, 2, 10, 20, 32, 36, 38, 40, 42, 46, 48, 50, 52, 62, 66, 70, 76, 82, 84, 88, 92, 100, 102, 108, 112, 114, 118, 122, 124, 128, 130, 136
19	1	and	127	g	2, 10, 14, 32, 38, 48, 50, 60, 64, 70, 76, 84, 86, 90, 102, 108, 114, 124, 128
18	1	to	125	g	12, 32, 50, 58, 62, 70, 74, 76, 84, 90, 92, 106, 108, 110, 114, 120, 124, 136
16	1	a	123	g	0, 6, 10, 12, 20, 36, 38, 40, 76, 84, 90, 92, 96, 112, 118, 122
16	1	of	129	g	8, 12, 36, 40, 42, 44, 58, 70, 74, 80, 84, 86, 92, 114, 126, 136
13	1	yeah	129	g	12, 18, 22, 24, 34, 40, 80, 90, 98, 100, 104, 118, 140
11	1	about	125	g	12, 14, 32, 44, 56, 74, 102, 106, 110, 122, 136
11	1	go	105	g	10, 14, 50, 62, 66, 68, 76, 80, 84, 108, 114
11	1	in	123	g	4, 32, 44, 54, 56, 60, 66, 76, 84, 100, 126
10	1	then	119	g	10, 14, 32, 48, 50, 76, 84, 88, 108, 128
9	1	down	119	g	10, 36, 40, 76, 80, 84, 122, 124, 128
9	1	just	105	g	10, 32, 40, 50, 74, 78, 90, 102, 114
9	1	okay	139	g	0, 10, 30, 36, 50, 90, 102, 118, 138
9	1	right	133	g	10, 26, 32, 58, 78, 108, 120, 128, 142
8	1	up	85	g	6, 14, 32, 50, 62, 66, 86, 90
7	1	left	115	g	10, 14, 70, 84, 90, 100, 124
7	1	so	117	g	10, 32, 44, 76, 84, 124, 126
7	1	you're	95	g	32, 44, 66, 84, 86, 120, 126
6	1	come	97	g	32, 36, 76, 92, 124, 128
6	1	line	95	g	32, 44, 56, 66, 96, 126
6	1	mountain	25	g	112, 120, 122, 124, 126, 136
6	1	now	83	g	30, 36, 80, 100, 102, 112
6	1	straight	115	g	14, 50, 62, 66, 96, 128
6	1	that	95	g	32, 44, 76, 84, 114, 126
6	1	well	119	g	4, 52, 62, 84, 92, 122
6	1	with	95	g	32, 44, 56, 66, 94, 126
5	1	that's	113	g	30, 70, 102, 138, 142
5	1	them	75	g	58, 68, 76, 94, 132
5	1	um	47	g	74, 80, 84, 118, 120
4	1	waterfall	29	g	38, 50, 60, 66
3	1	i	91	g	46, 84, 136
3	1	it's	49	g	54, 56, 102
3	1	uh	83	g	20, 84, 102
3	1	underneath	57	g	76, 122, 132
3	1	you've	47	g	30, 64, 76
2	1	across	79	g	32, 110
2	1	actually	27	g	68, 94
2	1	along	29	g	14, 42
2	1	coming	55	g	40, 94
2	1	ehm	57	g	0, 56
2	1	it	107	g	32, 138
2	1	left-hand	123	g	4, 126
2	1	mmhmm	89	g	28, 116
2	1	near	19	g	68, 86
2	1	no	47	g	56, 102
2	1	point	55	g	0, 54
2	1	probably	67	g	18, 84
2	1	sharp	17	g	108, 124
2	1	stones	3	g	100, 102
2	1	there's	21	g	102, 122
2	1	turn	93	g	32, 124
2	1	uh-huh	39	g	24, 62
2	1	until	53	g	14, 66

