Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	and to the right of the	45	f	86, 130
2	5	three quarters of the way	123	f	8, 130
3	3	to the right	95	f	36, 86, 130
2	3	got washed stones	105	f	14, 118
2	3	have you got	129	f	14, 142
2	3	okay that's fine	35	f	64, 98
2	3	the left of	39	f	96, 134
7	2	of the	123	f	8, 16, 46, 86, 92, 116, 130
5	2	to the	99	f	36, 46, 86, 130, 134
3	2	i've got	31	f	112, 118, 142
3	2	right okay	91	f	4, 10, 94
3	2	that's fine	39	f	60, 64, 98
3	2	washed stones	127	f	14, 118, 140
2	2	at the	13	f	92, 104
2	2	back down	9	f	18, 26
2	2	banana tree	5	f	92, 96
2	2	got a	23	f	90, 112
2	2	halfway along	57	f	8, 64
2	2	i have	89	f	8, 96
2	2	the mountain	79	f	46, 124
2	2	the top	89	f	16, 104
23	1	right	139	f	4, 10, 12, 14, 22, 26, 28, 30, 36, 40, 52, 60, 70, 76, 78, 86, 94, 102, 108, 126, 128, 130, 142
23	1	the	135	f	8, 16, 26, 34, 36, 38, 46, 64, 70, 78, 84, 86, 90, 92, 96, 104, 106, 116, 124, 130, 132, 134, 142
10	1	of	127	f	8, 16, 46, 86, 92, 96, 116, 130, 132, 134
10	1	uh-huh	131	f	6, 24, 32, 42, 44, 64, 76, 82, 88, 136
9	1	okay	107	f	4, 10, 64, 80, 92, 94, 98, 100, 110
8	1	i'm	99	f	18, 26, 64, 80, 92, 96, 106, 116
7	1	to	113	f	22, 36, 46, 86, 108, 130, 134
7	1	yeah	85	f	54, 56, 66, 70, 72, 98, 138
6	1	a	105	f	8, 30, 84, 90, 96, 112
6	1	i	123	f	8, 22, 30, 90, 96, 130
6	1	i've	121	f	22, 78, 112, 118, 130, 142
6	1	so	119	f	12, 22, 26, 96, 124, 130
5	1	have	135	f	8, 14, 34, 96, 142
5	1	that's	73	f	26, 60, 64, 84, 98
4	1	and	123	f	8, 38, 86, 130
4	1	but	111	f	22, 116, 118, 132
4	1	fine	51	f	60, 64, 98, 110
4	1	mmhmm	103	f	20, 74, 94, 122
4	1	that	67	f	76, 78, 96, 142
4	1	up	135	f	8, 108, 130, 142
3	1	along	123	f	8, 64, 130
3	1	at	91	f	14, 92, 104
3	1	back	9	f	18, 22, 26
3	1	down	73	f	18, 26, 90
3	1	halfway	123	f	8, 64, 130
3	1	in	93	f	50, 132, 142
3	1	it	113	f	22, 62, 134
3	1	left	97	f	38, 96, 134
3	1	no	49	f	0, 8, 48
3	1	now	71	f	22, 64, 92
3	1	top	127	f	16, 104, 142
3	1	which	83	f	8, 54, 90
2	1	about	85	f	8, 92
2	1	aye	67	f	18, 84
2	1	by	5	f	34, 38
2	1	creek	9	f	112, 120
2	1	done	55	f	22, 76
2	1	eh	15	f	8, 22
2	1	go	17	f	108, 124
2	1	going	13	f	18, 30
2	1	it's	63	f	70, 132
2	1	mm	39	f	46, 84
2	1	oh	17	f	38, 54
2	1	on	27	f	70, 96
2	1	over	79	f	46, 124
2	1	passed	17	f	62, 78
2	1	side	23	f	70, 92
2	1	there	25	f	118, 142

