Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	side of the apache	38	4	1	M	35, 38
4	4	3	and then go	86	89	2	M	3, 31, 86, 91
4	4	3	under the fort	87	4	1	f	86, 87, 88, 89
3	1	3	side of the	81	47	1	M	35, 38, 81
2	2	3	so i'm going	62	48	1	M	15, 62
8	4	2	and then	86	89	5	M	3, 31, 45, 57, 71, 86, 89, 91
4	4	2	diamond mine	15	16	3	f	0, 4, 12, 15
4	4	2	right okay	61	68	2	f	18, 38, 61, 85
4	2	2	so i'm	15	51	1	f	12, 15, 34, 62
4	1	2	the fort	89	4	1	f	86, 87, 88, 89
3	3	2	ehm no	63	44	2	f	20, 40, 63
2	2	2	a curve	83	72	1	f	12, 83
2	2	2	go to	91	40	1	f	52, 91
2	2	2	of it	57	34	1	f	24, 57
2	2	2	on the	81	30	1	f	52, 81
2	2	2	the left	83	32	1	f	52, 83
2	2	2	to go	73	22	1	f	52, 73
26	23	1	right	9	90	2	f	2, 6, 9, 10, 11, 15, 18, 26, 33, 35, 38, 39, 43, 47, 49, 54, 61, 68, 69, 71, 72, 76, 83, 85, 86, 91
23	17	1	the	11	90	2	f	0, 4, 11, 12, 15, 24, 28, 35, 38, 41, 44, 45, 47, 50, 52, 57, 77, 81, 83, 86, 87, 88, 89
16	10	1	and	22	89	2	M	3, 11, 22, 25, 31, 33, 45, 52, 57, 67, 71, 81, 83, 86, 89, 91
14	8	1	go	52	89	6	M	3, 5, 31, 33, 35, 41, 52, 57, 67, 73, 75, 86, 89, 91
14	14	1	yeah	13	73	1	f	12, 13, 16, 18, 30, 32, 34, 42, 43, 51, 56, 66, 76, 84
12	12	1	down	4	65	1	M	3, 4, 5, 15, 35, 46, 47, 49, 57, 59, 63, 67
12	8	1	okay	19	78	2	f	8, 18, 19, 27, 38, 43, 44, 55, 61, 66, 67, 85
11	8	1	no	21	52	2	f	14, 20, 21, 23, 40, 58, 59, 60, 63, 64, 65
9	1	1	then	86	89	6	M	3, 31, 45, 57, 71, 73, 86, 89, 91
7	5	1	going	62	69	3	M	15, 47, 59, 62, 63, 73, 83
7	3	1	i'm	12	80	1	M	9, 12, 15, 34, 52, 62, 88
7	7	1	mmhmm	46	62	1	M	29, 46, 70, 74, 80, 82, 90
7	2	1	of	25	60	1	f	24, 25, 35, 38, 57, 81, 83
7	7	1	up	25	60	1	f	24, 25, 33, 45, 73, 75, 83
6	4	1	a	12	81	1	M	3, 12, 22, 64, 67, 83
6	5	1	it	43	49	2	f	16, 24, 43, 52, 57, 64
6	3	1	to	52	57	2	M	35, 41, 52, 73, 83, 91
5	2	1	ehm	25	64	1	f	20, 25, 40, 63, 83
5	5	1	well	57	46	2	f	36, 52, 57, 64, 81
4	4	1	above	33	65	1	f	0, 33, 52, 64
4	4	1	have	83	48	3	f	36, 40, 64, 83
4	4	1	i	46	24	2	M	41, 43, 46, 64
4	4	1	round	25	46	2	f	12, 24, 25, 57
4	1	1	side	35	54	1	f	28, 35, 38, 81
4	4	1	you	36	55	1	M	27, 36, 57, 81
3	3	1	mm	43	78	1	f	10, 43, 87
3	3	1	now	67	32	1	f	46, 67, 77
3	1	1	on	81	30	2	f	52, 64, 81
3	3	1	where	81	78	2	f	4, 46, 81
2	2	1	fast	22	12	1	M	11, 22
2	2	1	just	63	48	1	f	16, 63
2	2	1	way	47	2	1	f	46, 47
2	2	1	which	83	38	1	f	46, 83

