Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	about an inch and a half	17	M	39, 55
2	5	and then you go along	25	M	63, 87
2	5	down to the fallen pillar	11	M	55, 65
3	4	and then you go	35	M	53, 63, 87
3	4	the bottom of the	17	M	63, 77, 79
3	4	you're going to go	59	M	61, 103, 119
2	4	about an inch below	47	M	73, 119
2	4	along to your right	81	M	7, 87
2	4	and then go right	9	M	81, 89
2	4	down about an inch	65	M	55, 119
2	4	straight down to the	71	M	55, 125
2	4	straight up to the	45	M	59, 103
2	4	the top of the	53	M	57, 109
4	3	and then go	57	M	33, 67, 81, 89
4	3	and then you	47	M	41, 53, 63, 87
4	3	down to the	81	M	45, 55, 65, 125
4	3	the bottom of	35	M	45, 63, 77, 79
4	3	the fallen pillar	19	M	55, 63, 65, 73
4	3	you're going to	105	M	15, 61, 103, 119
3	3	go up the	79	M	49, 67, 127
3	3	the lost steps	69	M	47, 65, 115
2	3	about three inches	49	M	69, 117
2	3	and then up	47	M	63, 109
2	3	and then you're	77	M	15, 91
2	3	go straight up	69	M	35, 103
2	3	go up about	31	M	87, 117
2	3	of the page	61	M	17, 77
2	3	right round the	29	M	37, 65
2	3	side of them	79	M	49, 127
2	3	so you go	35	M	53, 87
2	3	the right-hand side	97	M	17, 113
2	3	then you're going	13	M	91, 103
2	3	to the left	13	M	35, 47
2	3	well go right	65	M	45, 109
2	3	you're at the	57	M	57, 113
2	3	you've got to	43	M	13, 55
13	2	and then	103	M	7, 15, 29, 33, 41, 53, 63, 67, 81, 87, 89, 91, 109
12	2	to the	109	M	17, 33, 35, 45, 47, 55, 59, 65, 103, 105, 109, 125
7	2	of the	93	M	17, 57, 63, 77, 79, 105, 109
7	2	you're going	105	M	15, 41, 57, 61, 91, 103, 119
6	2	go right	65	M	45, 53, 65, 81, 89, 109
6	2	go up	79	M	49, 61, 67, 87, 117, 127
5	2	right go	113	M	3, 35, 49, 81, 115
5	2	straight up	69	M	35, 59, 67, 99, 103
5	2	to go	107	M	13, 61, 65, 103, 119
4	2	right okay	97	M	25, 55, 79, 121
4	2	up the	87	M	41, 49, 67, 127
3	2	along to	103	M	7, 87, 109
3	2	go along	33	M	63, 87, 95
3	2	go down	67	M	53, 73, 119
3	2	go straight	69	M	35, 79, 103
3	2	of them	83	M	45, 49, 127
3	2	right now	13	M	65, 73, 77
3	2	right well	75	M	45, 51, 119
3	2	round the	63	M	3, 37, 65
3	2	side of	111	M	17, 49, 127
3	2	so you're	63	M	11, 15, 73
3	2	straight down	71	M	55, 79, 125
3	2	the page	61	M	17, 67, 77
3	2	up about	83	M	35, 87, 117
3	2	well go	65	M	45, 95, 109
2	2	a line	3	M	35, 37
2	2	about two	55	M	33, 87
2	2	at the	57	M	57, 113
2	2	below that	69	M	51, 119
2	2	go round	11	M	3, 13
2	2	inches and	31	M	87, 117
2	2	of that	11	M	37, 47
2	2	okay go	49	M	79, 127
2	2	the waterfall	11	M	47, 57
2	2	up yeah	39	M	61, 99
2	2	yeah you're	21	M	93, 113
33	1	right	135	M	3, 7, 9, 11, 13, 19, 25, 29, 33, 35, 37, 43, 45, 49, 51, 53, 55, 65, 71, 73, 77, 79, 81, 87, 89, 109, 111, 115, 119, 121, 123, 133, 137
28	1	the	127	M	3, 11, 17, 33, 35, 37, 41, 45, 47, 49, 55, 57, 59, 63, 65, 67, 73, 77, 79, 81, 103, 105, 109, 113, 115, 125, 127, 129
19	1	and	113	M	7, 15, 29, 33, 35, 39, 41, 53, 55, 63, 65, 67, 81, 87, 89, 91, 109, 117, 119
19	1	to	119	M	7, 13, 15, 17, 33, 35, 45, 47, 55, 59, 61, 65, 87, 103, 105, 109, 115, 119, 125
15	1	then	103	M	7, 15, 29, 33, 41, 53, 63, 67, 81, 87, 89, 91, 103, 107, 109
15	1	up	113	M	15, 35, 41, 49, 59, 61, 63, 67, 87, 89, 99, 103, 109, 117, 127
12	1	you're	109	M	11, 15, 41, 57, 61, 73, 77, 91, 93, 103, 113, 119
9	1	about	87	M	33, 35, 39, 55, 69, 73, 87, 117, 119
9	1	down	81	M	45, 53, 55, 65, 73, 77, 79, 119, 125
9	1	yeah	107	M	29, 59, 61, 85, 93, 95, 99, 113, 135
8	1	a	83	M	15, 17, 35, 37, 39, 51, 55, 97
8	1	okay	107	M	25, 55, 79, 83, 101, 121, 127, 131
7	1	well	103	M	17, 45, 51, 95, 109, 117, 119
7	1	you	61	M	37, 41, 53, 63, 65, 87, 97
6	1	so	77	M	11, 15, 53, 73, 85, 87
6	1	that	127	M	11, 37, 47, 51, 119, 137
4	1	just	83	M	35, 37, 51, 117
4	1	left	57	M	35, 47, 81, 91
4	1	now	23	M	55, 65, 73, 77
3	1	across	53	M	29, 33, 81
3	1	got	43	M	13, 51, 55
3	1	it	81	M	13, 29, 93
3	1	uh-uh	57	M	1, 31, 57
3	1	your	113	M	7, 87, 119
2	1	centimetre	3	M	33, 35
2	1	diagonally	37	M	41, 77
2	1	i've	87	M	51, 137
2	1	level	83	M	11, 93
2	1	on	3	M	11, 13
2	1	over	13	M	17, 29
2	1	stop	11	M	107, 117
2	1	that's	101	M	19, 119
2	1	towards	11	M	67, 77
2	1	way	25	M	17, 41

