Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	10	' !!! ' !! "" !! rem !! okay !!	43	M	0, 42
3	9	!!! ' !! "" !! rem !! okay !!	69	M	0, 42, 68
2	5	!! s !! r !!	69	M	0, 68
2	4	just to the right	3	M	54, 56
2	4	the left-hand side of	115	M	14, 128
2	4	the right-hand edge of	115	M	14, 128
3	3	going to go	121	M	14, 118, 134
3	3	so i'm going	81	M	38, 116, 118
3	3	to the right	79	M	54, 56, 132
2	3	!! i !!	27	M	42, 68
2	3	!! mm !!	3	M	42, 44
2	3	!! right !!	27	M	42, 68
2	3	the top of	81	M	22, 102
9	2	right okay	123	M	14, 18, 20, 52, 64, 74, 86, 88, 136
5	2	to go	125	M	14, 22, 118, 134, 138
5	2	to the	119	M	14, 54, 56, 102, 132
3	2	!! i	69	M	0, 42, 68
3	2	!! r	69	M	0, 44, 68
3	2	and then	23	M	112, 128, 134
3	2	straight up	125	M	10, 38, 134
2	2	go right	27	M	24, 50
2	2	just to	3	M	54, 56
2	2	of the	89	M	14, 102
2	2	underneath the	7	M	112, 118
33	1	right	135	M	4, 6, 8, 12, 14, 18, 20, 24, 28, 42, 46, 50, 52, 54, 56, 58, 64, 68, 72, 74, 76, 86, 88, 94, 100, 104, 110, 118, 122, 124, 132, 136, 138
16	1	okay	137	M	0, 14, 18, 20, 28, 42, 52, 64, 68, 74, 86, 88, 118, 120, 130, 136
9	1	the	119	M	14, 22, 54, 56, 102, 112, 118, 128, 132
9	1	yeah	113	M	16, 48, 60, 84, 96, 98, 106, 108, 128
8	1	go	125	M	14, 22, 24, 50, 118, 128, 134, 138
6	1	and	111	M	24, 42, 54, 112, 128, 134
6	1	i	85	M	0, 22, 28, 42, 68, 84
6	1	mmhmm	85	M	32, 36, 62, 70, 82, 116
6	1	up	125	M	10, 24, 38, 50, 128, 134
5	1	of	115	M	14, 22, 38, 102, 128
4	1	so	105	M	14, 38, 116, 118
4	1	straight	125	M	10, 38, 124, 134
4	1	you	117	M	22, 42, 128, 138
3	1	a	115	M	24, 92, 138
3	1	down	17	M	112, 124, 128
3	1	it	95	M	22, 54, 116
3	1	mm	5	M	40, 42, 44
3	1	now	117	M	22, 24, 138
3	1	underneath	7	M	112, 116, 118
3	1	well	79	M	50, 54, 128
2	1	directly	3	M	22, 24
2	1	fallen	85	M	54, 138
2	1	have	97	M	42, 138
2	1	no	25	M	90, 114
2	1	ok	37	M	30, 66
2	1	remnant	45	M	34, 78
2	1	there	9	M	42, 50
2	1	uh	3	M	54, 56
2	1	uh-huh	71	M	26, 96
2	1	want	117	M	22, 138

