Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	i go right	39	2	1	f	38, 39
7	7	2	of the	11	110	1	f	6, 11, 17, 50, 60, 109, 115
7	7	2	to the	108	130	4	M	3, 37, 43, 87, 108, 117, 132
6	6	2	the pine	36	57	1	M	31, 36, 38, 45, 82, 87
6	6	2	the right	28	131	2	M	3, 11, 28, 117, 127, 133
4	4	2	have a	49	92	1	f	44, 49, 57, 135
4	4	2	in the	61	82	2	f	28, 60, 61, 109
4	4	2	just go	134	90	3	M	45, 87, 99, 134
4	4	2	the lighthouse	133	8	1	f	132, 133, 135, 139
3	3	2	as far	38	7	1	M	33, 38, 39
3	3	2	how far	11	10	2	f	2, 6, 11
3	3	2	if you	43	80	1	f	40, 43, 119
3	3	2	the bay	67	68	1	f	50, 67, 117
3	3	2	the middle	61	82	1	f	28, 61, 109
3	3	2	under the	103	92	2	f	12, 22, 103
2	2	2	a forge	47	4	1	f	44, 47
2	2	2	an inch	107	46	1	f	62, 107
2	2	2	as the	111	74	1	f	38, 111
2	2	2	don't have	113	70	1	f	44, 113
2	2	2	far down	63	62	1	f	2, 63
2	2	2	from the	11	6	1	f	6, 11
2	2	2	i mean	43	4	1	f	40, 43
2	2	2	past the	107	26	1	f	82, 107
2	2	2	right next	133	2	1	f	132, 133
2	2	2	see what	41	2	1	f	40, 41
41	18	1	the	6	139	3	M	1, 3, 5, 6, 11, 12, 17, 19, 21, 22, 28, 31, 35, 36, 37, 38, 43, 45, 50, 60, 61, 67, 82, 87, 93, 103, 107, 108, 109, 111, 113, 115, 117, 123, 127, 128, 132, 133, 135, 137, 139
32	23	1	right	4	132	1	M	3, 4, 8, 11, 12, 13, 18, 22, 24, 25, 28, 32, 36, 38, 39, 46, 80, 82, 86, 90, 92, 96, 100, 108, 109, 110, 116, 117, 127, 132, 133, 134
23	20	1	i	15	136	2	f	6, 12, 15, 23, 31, 38, 39, 40, 43, 44, 47, 50, 55, 57, 65, 67, 69, 74, 91, 94, 101, 127, 141
21	16	1	a	10	133	2	M	3, 7, 10, 12, 27, 28, 44, 47, 49, 51, 57, 62, 69, 79, 91, 93, 105, 109, 113, 117, 135
18	16	1	you	40	137	5	M	1, 11, 13, 35, 37, 40, 41, 43, 49, 53, 79, 83, 85, 113, 115, 119, 123, 137
16	16	1	and	38	132	2	M	3, 33, 38, 39, 47, 50, 62, 87, 94, 95, 98, 109, 117, 121, 133, 134
14	14	1	okay	83	121	4	f	18, 26, 44, 64, 83, 86, 88, 96, 110, 116, 124, 125, 134, 138
14	8	1	to	108	130	9	M	3, 29, 35, 37, 41, 43, 69, 87, 89, 108, 113, 117, 127, 132
12	6	1	of	28	130	1	f	6, 11, 17, 28, 50, 60, 109, 115, 117, 127, 128, 135
11	9	1	down	3	133	1	f	2, 3, 22, 63, 82, 87, 94, 95, 98, 111, 134
11	5	1	go	38	132	2	M	3, 37, 38, 39, 43, 45, 87, 99, 113, 121, 134
10	6	1	just	60	108	3	M	27, 45, 47, 60, 65, 87, 89, 99, 121, 134
9	4	1	have	44	135	2	M	1, 43, 44, 49, 57, 69, 105, 113, 135
9	9	1	is	76	131	4	M	5, 17, 41, 61, 76, 115, 117, 129, 135
8	8	1	am	15	96	2	f	6, 12, 15, 50, 69, 91, 94, 101
8	8	1	going	69	78	1	f	50, 69, 82, 89, 94, 95, 98, 127
8	8	1	up	36	133	3	M	1, 3, 5, 36, 37, 46, 95, 133
7	7	1	no	73	105	4	f	0, 10, 14, 68, 73, 84, 104
7	7	1	where	76	133	2	M	5, 67, 76, 100, 115, 135, 137
6	2	1	in	82	90	2	f	28, 60, 61, 82, 109, 117
6	4	1	what	40	113	2	M	17, 29, 40, 41, 119, 129
6	6	1	yeah	56	98	1	M	31, 56, 70, 97, 124, 128
5	2	1	how	65	82	2	f	2, 6, 11, 65, 83
5	5	1	i'm	82	44	2	M	55, 75, 82, 94, 98
4	2	1	as	38	79	1	M	33, 38, 39, 111
4	2	1	bay	113	68	1	f	50, 67, 113, 117
4	4	1	cliffs	12	21	1	M	1, 12, 19, 21
4	2	1	don't	113	72	2	f	44, 74, 113, 115
4	2	1	forge	44	11	2	M	37, 43, 44, 47
4	1	1	if	40	93	1	M	27, 40, 43, 119
4	4	1	it's	109	73	1	f	60, 109, 111, 132
4	4	1	left	33	103	1	f	6, 33, 39, 108
4	2	1	mean	79	84	1	f	40, 43, 79, 123
4	4	1	now	100	49	2	M	53, 89, 100, 101
4	4	1	say	74	63	1	M	65, 74, 121, 127
4	4	1	that	74	123	2	M	7, 33, 74, 129
3	3	1	about	81	50	1	f	62, 81, 111
3	1	1	an	107	46	2	f	62, 82, 107
3	3	1	on	10	4	1	M	9, 10, 12
3	3	1	page	127	122	2	f	6, 60, 127
3	3	1	so	47	46	1	f	6, 47, 51
2	2	1	start	35	14	1	f	22, 35

