Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	to the top of	82	46	1	M	37, 82
3	3	3	up past the	49	27	1	f	48, 49, 74
2	2	3	north of the	16	4	1	M	13, 16
9	7	2	to the	36	89	2	M	17, 29, 36, 37, 45, 57, 82, 99, 105
7	5	2	of the	19	87	1	M	13, 16, 19, 37, 47, 67, 99
4	4	2	the mountain	48	39	1	M	37, 48, 49, 75
3	3	2	banana tree	3	15	1	f	2, 3, 16
3	1	2	the top	85	49	1	M	37, 82, 85
3	3	2	the truck	49	4	1	f	48, 49, 51
2	2	2	and the	85	38	1	f	48, 85
2	2	2	walk to	83	2	1	f	82, 83
27	27	1	right	7	103	2	f	4, 6, 7, 10, 14, 24, 25, 33, 44, 50, 52, 53, 56, 57, 64, 65, 70, 76, 79, 84, 87, 94, 96, 98, 99, 100, 106
26	7	1	the	13	104	1	f	2, 13, 16, 17, 19, 25, 29, 31, 36, 37, 41, 45, 47, 48, 49, 51, 57, 67, 74, 75, 82, 85, 91, 95, 99, 105
15	15	1	a	34	107	4	M	1, 19, 23, 31, 34, 43, 47, 59, 63, 67, 85, 89, 93, 103, 107
14	5	1	to	36	93	3	M	17, 23, 29, 36, 37, 45, 55, 57, 82, 83, 99, 101, 105, 109
11	4	1	of	19	87	1	M	13, 16, 19, 23, 31, 36, 37, 47, 67, 82, 99
10	10	1	yeah	1	105	1	f	0, 1, 4, 16, 21, 38, 60, 88, 95, 104
9	9	1	it	69	74	1	f	36, 69, 71, 82, 83, 92, 101, 103, 109
8	6	1	and	48	83	4	M	7, 15, 27, 29, 48, 65, 85, 89
7	7	1	i	114	94	6	M	21, 27, 43, 83, 93, 101, 114
7	5	1	up	37	41	1	f	34, 37, 39, 48, 49, 73, 74
6	6	1	have	114	90	5	M	25, 29, 43, 59, 91, 114
6	6	1	in	110	83	2	M	31, 55, 110, 111, 112, 113
6	6	1	just	19	90	1	f	16, 19, 21, 27, 89, 105
6	6	1	so	94	63	3	M	47, 81, 87, 94, 105, 109
5	5	1	go	114	102	4	M	13, 15, 29, 73, 114
5	5	1	left	7	35	2	f	2, 4, 7, 27, 36
5	1	1	mountain	40	39	1	M	37, 40, 48, 49, 75
4	4	1	no	22	86	1	M	5, 22, 58, 90
4	4	1	not	22	73	1	M	5, 22, 67, 77
3	3	1	my	3	3	1	f	2, 3, 4
3	3	1	there	114	54	2	M	61, 93, 114
3	3	1	village	112	9	1	M	105, 112, 113
3	3	1	we	82	36	1	M	79, 82, 114
3	3	1	yes	28	42	1	M	25, 28, 66
2	2	1	until	99	66	1	f	34, 99
2	2	1	will	83	2	1	f	82, 83

