Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	i don't know how to	43	M	6, 48
3	4	i don't know how	43	M	6, 30, 48
2	4	i don't get it	103	M	22, 124
2	4	up to the forge	49	M	36, 84
3	3	do that ?	77	M	50, 100, 126
2	3	? how do	77	M	50, 126
2	3	get to the	79	M	6, 84
2	3	how do you	5	M	122, 126
2	3	i have a	47	M	0, 46
2	3	i'm not sure	87	M	12, 98
2	3	is it ?	55	M	4, 58
2	3	no it's a	57	M	16, 72
2	3	on the right	105	M	8, 112
2	3	to do that	53	M	48, 100
2	3	to the bottom	65	M	6, 70
2	3	what about the	55	M	60, 114
5	2	the forge	49	M	36, 38, 78, 82, 84
5	2	to the	79	M	6, 16, 36, 70, 84
4	2	have a	123	M	0, 46, 54, 122
4	2	in the	105	M	24, 78, 102, 128
4	2	know how	131	M	6, 30, 48, 136
3	2	how far	95	M	42, 80, 136
3	2	i go	7	M	36, 40, 42
3	2	i'm not	107	M	12, 98, 118
3	2	it ?	57	M	4, 58, 60
3	2	it's a	61	M	16, 72, 76
3	2	on the	105	M	8, 98, 112
3	2	the bottom	65	M	6, 24, 70
3	2	the right	105	M	8, 16, 112
3	2	to do	53	M	48, 96, 100
3	2	way to	85	M	16, 62, 100
2	2	a cross	9	M	12, 20
2	2	a way	29	M	34, 62
2	2	and a	7	M	46, 52
2	2	are you	15	M	116, 130
2	2	can i	45	M	42, 86
2	2	how you	79	M	12, 90
2	2	i am	3	M	90, 92
2	2	i can't	71	M	28, 98
2	2	i dont	21	M	54, 74
2	2	i just	67	M	70, 136
2	2	i'm confused	3	M	18, 20
2	2	if you're	3	M	8, 10
2	2	is the	35	M	100, 134
2	2	mean the	19	M	88, 106
2	2	not really	35	M	10, 44
2	2	right ?	57	M	70, 126
2	2	the bay	3	M	64, 66
2	2	the cross	3	M	134, 136
2	2	to get	57	M	6, 62
2	2	under the	67	M	38, 104
2	2	what if	63	M	8, 70
2	2	where is	131	M	4, 134
2	2	you can	85	M	12, 96
2	2	you know	109	M	14, 122
2	2	you mean	9	M	98, 106
29	1	the	131	M	6, 8, 12, 16, 20, 24, 30, 36, 38, 60, 62, 64, 66, 70, 78, 82, 84, 88, 98, 100, 102, 104, 106, 108, 112, 114, 128, 134, 136
25	1	i	137	M	0, 6, 22, 28, 30, 36, 40, 42, 46, 48, 50, 54, 70, 74, 86, 88, 90, 92, 94, 98, 106, 124, 126, 132, 136
15	1	a	133	M	0, 10, 12, 16, 20, 28, 34, 46, 52, 54, 62, 72, 76, 122, 132
11	1	right	129	M	8, 10, 16, 24, 40, 70, 82, 96, 112, 126, 136
11	1	you	119	M	12, 14, 84, 90, 96, 98, 106, 116, 122, 126, 130
8	1	know	131	M	6, 14, 30, 48, 74, 122, 126, 136
8	1	what	109	M	8, 60, 70, 96, 98, 100, 114, 116
7	1	i'm	119	M	0, 12, 18, 20, 98, 112, 118
7	1	it	121	M	4, 22, 58, 60, 74, 90, 124
6	1	get	119	M	6, 22, 30, 62, 84, 124
6	1	in	133	M	0, 24, 78, 102, 128, 132
6	1	is	133	M	4, 58, 82, 100, 134, 136
6	1	not	109	M	10, 12, 44, 88, 98, 118
5	1	can	121	M	12, 42, 86, 96, 132
5	1	that	97	M	30, 48, 50, 100, 126
5	1	up	59	M	26, 36, 40, 62, 84
4	1	go	35	M	36, 40, 42, 70
4	1	it's	67	M	10, 16, 72, 76
4	1	where	131	M	4, 84, 130, 134
3	1	about	57	M	60, 114, 116
3	1	bay	51	M	64, 66, 114
3	1	just	67	M	70, 90, 136
3	1	no	73	M	16, 72, 88
3	1	of	25	M	0, 12, 24
3	1	sure	99	M	0, 12, 98
3	1	you're	17	M	8, 10, 24
2	1	down	57	M	24, 80
2	1	draw	25	M	74, 98
2	1	from	11	M	20, 30
2	1	im	19	M	78, 96
2	1	line	69	M	20, 88
2	1	my	29	M	0, 28
2	1	new	57	M	28, 84
2	1	one	3	M	58, 60
2	1	pine	25	M	28, 52
2	1	see	3	M	94, 96
2	1	side	77	M	8, 84
2	1	so	77	M	42, 118
2	1	straight	3	M	24, 26
2	1	then	61	M	24, 84
2	1	there	29	M	54, 82
2	1	tree	3	M	52, 54
2	1	u	101	M	32, 132
2	1	yeah	111	M	0, 110
2	1	yes	113	M	28, 140

