Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	i was supposed to	15	f	54, 68
2	3	down through it	15	f	54, 68
2	3	i go down	39	f	40, 78
2	3	so i go	9	f	70, 78
2	3	so that i'm	25	f	40, 64
2	3	the concealed hideout	7	f	32, 38
2	3	the left of	25	f	40, 64
5	2	right okay	91	f	12, 42, 76, 78, 102
4	2	of the	85	f	4, 32, 40, 88
4	2	so i	39	f	40, 70, 76, 78
3	2	go down	39	f	40, 54, 78
3	2	i go	39	f	40, 70, 78
3	2	right so	71	f	8, 16, 78
3	2	so i'm	33	f	4, 16, 36
3	2	through it	29	f	54, 68, 82
2	2	a bit	47	f	26, 72
2	2	above it	37	f	68, 104
2	2	and go	3	f	54, 56
2	2	okay right	13	f	78, 90
2	2	the top	51	f	4, 54
2	2	through the	3	f	54, 56
2	2	to come	41	f	14, 54
2	2	underneath the	33	f	38, 70
18	1	the	95	f	4, 8, 14, 16, 24, 32, 36, 38, 40, 44, 54, 56, 64, 70, 76, 88, 92, 98
17	1	right	95	f	8, 12, 16, 20, 32, 42, 44, 56, 68, 74, 76, 78, 82, 90, 92, 96, 102
9	1	i	57	f	22, 40, 48, 54, 64, 68, 70, 76, 78
9	1	okay	91	f	12, 34, 36, 42, 66, 76, 78, 90, 102
9	1	uh-huh	97	f	6, 32, 46, 60, 62, 70, 80, 84, 102
7	1	a	69	f	26, 28, 48, 64, 72, 92, 94
7	1	down	69	f	16, 40, 44, 54, 68, 78, 84
7	1	i'm	73	f	4, 16, 36, 40, 64, 74, 76
7	1	yeah	91	f	2, 4, 18, 30, 32, 56, 92
6	1	of	89	f	4, 32, 40, 64, 88, 92
6	1	to	69	f	14, 40, 48, 54, 68, 82
5	1	go	39	f	40, 54, 56, 70, 78
5	1	it	51	f	54, 56, 68, 82, 104
5	1	up	85	f	4, 56, 72, 76, 88
4	1	and	41	f	28, 54, 56, 68
4	1	that	55	f	22, 40, 64, 76
3	1	about	67	f	22, 28, 88
3	1	again	63	f	16, 70, 78
3	1	come	55	f	14, 54, 68
3	1	got	71	f	22, 38, 92
3	1	left	39	f	40, 64, 78
2	1	back	63	f	16, 78
2	1	below	41	f	36, 76
2	1	erm	49	f	28, 76
2	1	have	17	f	48, 64
2	1	i've	11	f	82, 92
2	1	just	33	f	24, 56
2	1	mmhmm	23	f	50, 72
2	1	no	83	f	10, 92
2	1	not	73	f	4, 76
2	1	now	71	f	4, 74
2	1	on	11	f	64, 74
2	1	there	9	f	68, 76
2	1	way	35	f	54, 88
2	1	when	37	f	40, 76
2	1	yes	35	f	52, 86

