ID	Num. utterances	Num. tokens	Expression Lexicon Size (ELS)	Expression Variety (EV)	Expression Repetition (ER)	Voc. Overlap	ENTR	L	LMAX
q1ec3-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	199.0	1874.0	165.0	0.08804695837780149	0.4791889007470651	0.24685138539042822	1.105312790536001	1.3630434782608696	4.0
q1ec8-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	110.0	974.0	99.0	0.10164271047227925	0.4404517453798768	0.2708333333333333	0.9152580616910835	1.2635983263598327	4.0
q1nc4-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	142.0	1448.0	143.0	0.09875690607734806	0.4613259668508287	0.2273972602739726	1.0306210915004346	1.344984802431611	4.0
q2ec4-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	165.0	1463.0	141.0	0.09637730690362269	0.48462064251537934	0.25360230547550433	1.060349034644879	1.3268698060941828	4.0
q3ec4-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	106.0	946.0	80.0	0.08456659619450317	0.4587737843551797	0.22556390977443608	0.9190600790161286	1.2672605790645879	4.0
q4ec3-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	159.0	1332.0	130.0	0.09759759759759759	0.4797297297297297	0.2789317507418398	0.9643595505750393	1.2942050520059436	5.0
q5ec1-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	223.0	1881.0	188.0	0.09994683678894205	0.52046783625731	0.2755344418052256	1.0691888891278005	1.3374108053007137	4.0
q5ec4-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	116.0	1039.0	107.0	0.10298363811357074	0.4542829643888354	0.23920265780730898	1.0093234719645272	1.3175257731958763	4.0
q5nc5-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	93.0	801.0	72.0	0.0898876404494382	0.4107365792759051	0.20833333333333334	0.8399083681479863	1.238938053097345	3.0
q6ec3-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	139.0	1167.0	119.0	0.10197086546700942	0.45586975149957154	0.2364217252396166	1.0060407591062845	1.305263157894737	4.0
q7ec4-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	115.0	1087.0	107.0	0.0984360625574977	0.45538178472861085	0.23376623376623376	1.0176943199677073	1.3061224489795917	4.0
q7nc7-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	127.0	1069.0	103.0	0.09635173058933583	0.4490177736202058	0.2508591065292096	0.7999906649458893	1.21414913957935	3.0
q8nc5-scrambled_txt-base_DialoGPT-speaker_g_M_tsv	205.0	1759.0	181.0	0.10289937464468447	0.5019897669130188	0.28378378378378377	1.0981877325434515	1.3528761061946903	5.0
