Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	4	the bottom of the	109	49	1	g	92, 109, 140
2	2	4	you get to the	158	136	1	M	23, 158
8	8	3	the top of	131	183	4	g	12, 26, 128, 130, 131, 134, 180, 194
6	6	3	you want to	89	85	2	g	48, 56, 89, 104, 127, 132
5	5	3	side of the	165	152	4	g	14, 28, 60, 84, 165
4	4	3	up to the	162	134	2	M	47, 69, 162, 180
4	2	3	you get to	104	136	1	M	23, 104, 110, 158
3	1	3	get to the	158	136	2	M	23, 139, 158
2	2	3	don't have a	28	14	1	M	15, 28
2	2	3	have to go	172	74	1	M	99, 172
2	2	3	just before the	108	20	1	M	89, 108
2	2	3	right so you	140	64	1	M	77, 140
2	2	3	there is one	31	4	1	g	28, 31
22	14	2	of the	85	183	6	g	12, 14, 26, 28, 60, 84, 85, 92, 102, 109, 116, 128, 130, 134, 136, 140, 144, 146, 147, 165, 180, 194
22	16	2	to the	23	188	3	g	2, 12, 20, 23, 47, 60, 69, 80, 84, 86, 102, 109, 137, 139, 141, 146, 154, 158, 162, 174, 180, 189
15	15	2	and then	65	167	5	g	2, 38, 56, 58, 60, 65, 70, 80, 86, 92, 128, 132, 154, 160, 168
11	11	2	do you	23	139	1	g	22, 23, 51, 64, 88, 89, 127, 136, 142, 150, 160
10	2	2	the top	131	183	5	g	12, 26, 122, 128, 130, 131, 134, 180, 189, 194
8	8	2	and the	177	179	6	g	16, 40, 110, 114, 120, 132, 177, 194
7	5	2	have a	64	146	1	M	15, 28, 64, 111, 142, 150, 160
7	1	2	want to	121	85	2	g	48, 56, 89, 104, 121, 127, 132
7	7	2	you have	93	97	2	g	64, 88, 93, 99, 142, 150, 160
6	6	2	above the	165	85	1	g	110, 165, 176, 180, 188, 194
6	1	2	side of	165	152	5	g	14, 28, 60, 84, 86, 165
6	3	2	the bottom	36	110	1	M	31, 36, 92, 109, 139, 140
6	4	2	to go	99	192	2	g	2, 80, 99, 172, 189, 193
5	5	2	and a	147	136	4	g	12, 28, 46, 84, 147
5	5	2	below the	163	121	3	g	72, 140, 144, 163, 192
5	3	2	don't have	28	57	2	M	7, 15, 28, 40, 63
5	5	2	go up	69	169	2	g	2, 30, 69, 110, 170
5	5	2	if you	147	163	3	g	12, 28, 94, 147, 174
5	5	2	on the	15	118	1	g	14, 15, 28, 79, 131
5	5	2	the right	165	169	3	g	12, 80, 154, 165, 180
5	5	2	there's a	85	69	1	g	72, 85, 104, 132, 140
5	1	2	you get	84	136	1	M	23, 84, 104, 110, 158
4	4	2	back down	95	88	3	g	8, 58, 86, 95
4	4	2	going to	189	110	3	g	80, 122, 180, 189
4	4	2	in a	99	77	2	g	56, 80, 99, 132
4	4	2	is it	148	74	1	M	125, 148, 151, 198
4	4	2	the forge	69	113	2	g	28, 40, 69, 140
4	4	2	you go	51	159	1	g	12, 51, 140, 170
4	4	2	you to	108	112	1	M	35, 108, 114, 146
4	4	2	you're going	80	170	1	M	11, 80, 122, 180
3	3	2	a cattle	132	128	1	M	33, 132, 160
3	1	2	before the	104	20	1	M	89, 104, 108
3	3	2	diamond mine	107	61	1	g	82, 107, 142
3	3	2	have the	175	90	1	g	88, 175, 177
3	1	2	have to	99	133	1	g	40, 99, 172
3	1	2	right so	77	129	1	g	12, 77, 140
3	3	2	see the	121	100	2	g	22, 36, 121
3	3	2	the diamond	165	84	2	g	82, 142, 165
3	3	2	the end	183	82	2	g	102, 168, 183
3	3	2	then you	99	57	1	g	56, 99, 112
3	3	2	to come	56	33	1	M	35, 56, 67
3	3	2	turn left	197	86	2	g	112, 170, 197
3	3	2	you are	52	139	1	M	9, 52, 147
2	2	2	a very	132	132	1	M	1, 132
2	2	2	and you're	76	66	1	M	11, 76
2	2	2	around the	134	56	1	M	79, 134
2	2	2	but i	114	44	1	M	71, 114
2	2	2	but it's	84	84	1	M	1, 84
2	2	2	crane bay	191	46	1	g	146, 191
2	2	2	do that	182	4	1	M	179, 182
2	2	2	go about	193	182	1	g	12, 193
2	2	2	go along	102	22	1	M	81, 102
2	2	2	go go	105	104	1	g	2, 105
2	2	2	go to	109	60	1	g	50, 109
2	2	2	how far	90	40	1	M	51, 90
2	2	2	i know	158	104	1	M	55, 158
2	2	2	is the	178	38	1	M	141, 178
2	2	2	left go	112	52	1	M	61, 112
