Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	right so i	3	f	136, 138
2	3	the concealed hideout	117	f	6, 122
2	3	to the right	47	f	92, 138
2	3	where do i	35	f	88, 122
5	2	right okay	65	f	54, 66, 78, 106, 118
4	2	right so	61	f	78, 94, 136, 138
4	2	to the	51	f	88, 92, 122, 138
3	2	i go	87	f	52, 88, 138
3	2	i've got	125	f	4, 92, 128
3	2	of the	21	f	72, 78, 92
3	2	the right	47	f	92, 130, 138
2	2	a diagonal	25	f	32, 56
2	2	and the	55	f	48, 102
2	2	at the	5	f	78, 82
2	2	come down	49	f	52, 100
2	2	past the	3	f	84, 86
2	2	right of	11	f	82, 92
2	2	the top	7	f	78, 84
2	2	there's a	57	f	58, 114
2	2	towards the	125	f	6, 130
21	1	right	127	f	12, 26, 34, 42, 50, 54, 66, 78, 80, 82, 92, 94, 98, 102, 106, 110, 118, 130, 134, 136, 138
21	1	the	135	f	4, 6, 20, 38, 48, 52, 72, 78, 82, 84, 86, 88, 92, 94, 102, 114, 122, 126, 130, 136, 138
10	1	i	139	f	0, 46, 52, 70, 82, 88, 108, 122, 136, 138
9	1	okay	87	f	54, 66, 76, 78, 106, 112, 118, 124, 140
8	1	a	131	f	0, 32, 46, 56, 58, 92, 114, 130
8	1	to	139	f	0, 4, 70, 88, 92, 122, 134, 138
8	1	uh-huh	115	f	16, 22, 24, 60, 68, 96, 98, 130
6	1	and	117	f	20, 48, 88, 92, 102, 136
6	1	mmhmm	127	f	8, 28, 36, 74, 132, 134
6	1	of	59	f	72, 78, 82, 84, 92, 130
6	1	so	87	f	52, 64, 78, 94, 136, 138
5	1	go	87	f	52, 88, 124, 136, 138
5	1	got	139	f	4, 44, 92, 128, 142
5	1	i'm	99	f	4, 70, 78, 100, 102
5	1	i've	125	f	4, 88, 92, 108, 128
5	1	in	85	f	46, 52, 102, 122, 130
5	1	no	89	f	40, 64, 80, 104, 128
5	1	yeah	77	f	44, 62, 82, 90, 120
4	1	where	77	f	46, 82, 88, 122
3	1	all	77	f	4, 56, 80
3	1	below	119	f	18, 92, 136
3	1	hideout	117	f	6, 92, 122
3	1	it	117	f	18, 84, 134
3	1	that	73	f	70, 88, 142
3	1	up	113	f	10, 86, 122
2	1	along	119	f	20, 138
2	1	aye	33	f	110, 142
2	1	camp	29	f	44, 72
2	1	creek	89	f	48, 136
2	1	going	43	f	4, 46
2	1	have	47	f	0, 46
2	1	if	19	f	52, 70
2	1	just	9	f	92, 100
2	1	know	39	f	70, 108
2	1	left	107	f	20, 126
2	1	map	15	f	58, 72
2	1	on	3	f	56, 58
2	1	two	57	f	52, 108
2	1	yes	39	f	14, 52
2	1	you	55	f	70, 124

