Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	i haven't got	23	f	48, 70
4	2	right okay	67	f	30, 48, 86, 96
3	2	to the	79	f	0, 6, 78
2	2	at the	29	f	74, 102
2	2	do i	63	f	38, 100
2	2	got a	5	f	70, 74
2	2	i do	61	f	38, 98
2	2	i've got	41	f	34, 74
2	2	right right	97	f	6, 102
2	2	so it's	23	f	28, 50
14	1	right	103	f	0, 6, 30, 42, 48, 52, 58, 68, 74, 86, 90, 94, 96, 102
10	1	i	103	f	6, 38, 48, 58, 62, 66, 70, 98, 100, 108
9	1	the	103	f	0, 2, 6, 32, 38, 62, 74, 78, 102
8	1	mmhmm	97	f	8, 20, 40, 44, 54, 72, 82, 104
8	1	okay	109	f	2, 30, 46, 48, 80, 86, 96, 110
7	1	a	79	f	30, 34, 50, 70, 74, 76, 108
7	1	uh-huh	103	f	4, 16, 22, 36, 88, 92, 106
5	1	so	99	f	2, 28, 50, 58, 100
5	1	to	79	f	0, 6, 30, 62, 78
4	1	go	95	f	6, 58, 62, 100
4	1	no	85	f	24, 26, 48, 108
4	1	yeah	87	f	12, 36, 78, 98
3	1	and	41	f	34, 62, 74
3	1	back	97	f	6, 84, 102
3	1	come	79	f	6, 62, 84
3	1	down	57	f	28, 62, 84
3	1	i'm	69	f	2, 38, 70
3	1	it	45	f	18, 52, 62
3	1	up	41	f	30, 58, 70
2	1	at	29	f	74, 102
2	1	below	33	f	2, 34
2	1	bit	29	f	48, 76
2	1	from	39	f	62, 100
2	1	inches	5	f	30, 34
2	1	of	35	f	0, 34
2	1	straight	27	f	58, 84
2	1	thing	21	f	10, 30
2	1	where	63	f	38, 100
2	1	you	19	f	84, 102

