Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	you're going to go down slightly	29	M	30, 58
2	5	above the peak of the	17	M	78, 94
2	5	right you're going to go	51	M	30, 80
2	5	to the edge of the	29	M	70, 98
3	4	the top of the	33	M	22, 24, 54
2	4	and then go up	83	M	10, 92
2	4	and then you go	29	M	72, 100
2	4	go to your right	23	M	18, 40
2	4	have you got a	37	M	56, 92
2	4	the left-hand side of	31	M	22, 52
2	4	to the left of	41	M	58, 98
5	3	and then go	89	M	10, 18, 64, 92, 98
3	3	have you got	37	M	56, 66, 92
3	3	right to the	69	M	2, 24, 70
3	3	to your right	39	M	2, 18, 40
2	3	about an inch	65	M	16, 80
2	3	about three inches	101	M	4, 104
2	3	and a half	3	M	16, 18
2	3	and then come	77	M	20, 96
2	3	go along the	51	M	22, 72
2	3	just above the	11	M	68, 78
2	3	okay if you	17	M	52, 68
2	3	side of it	51	M	22, 72
2	3	to the east	27	M	2, 28
2	3	you should be	29	M	66, 94
14	2	and then	93	M	10, 18, 20, 22, 30, 54, 56, 64, 72, 92, 96, 98, 100, 102
10	2	of the	77	M	22, 24, 28, 52, 54, 68, 70, 78, 94, 98
9	2	to the	97	M	2, 20, 24, 28, 52, 58, 60, 70, 98
5	2	go down	85	M	16, 30, 58, 64, 100
4	2	the remote	39	M	64, 68, 98, 102
4	2	you go	61	M	40, 66, 72, 100
3	2	about an	65	M	16, 28, 80
3	2	about three	101	M	4, 94, 104
3	2	an inch	65	M	16, 28, 80
3	2	go along	59	M	22, 72, 80
3	2	go up	83	M	10, 26, 92
3	2	going to	51	M	30, 58, 80
3	2	if you	17	M	52, 66, 68
3	2	left-hand side	31	M	22, 36, 52
3	2	of it	75	M	22, 72, 96
3	2	you should	59	M	36, 66, 94
2	2	about two	21	M	18, 38
2	2	come up	29	M	68, 96
2	2	go right	43	M	24, 66
2	2	got the	37	M	66, 102
2	2	kind of	19	M	30, 48
2	2	right and	45	M	20, 64
2	2	right okay	21	M	68, 88
2	2	then turn	101	M	2, 102
2	2	up to	17	M	52, 68
2	2	well you're	33	M	58, 90
22	1	right	101	M	2, 6, 8, 18, 20, 22, 24, 30, 40, 50, 58, 62, 64, 66, 68, 70, 76, 80, 82, 88, 94, 102
19	1	the	101	M	2, 20, 22, 24, 28, 52, 54, 58, 60, 64, 66, 68, 70, 72, 78, 94, 96, 98, 102
18	1	and	93	M	10, 16, 18, 20, 22, 26, 30, 36, 54, 56, 64, 68, 72, 92, 96, 98, 100, 102
13	1	you	65	M	36, 40, 44, 48, 50, 52, 56, 66, 68, 72, 92, 94, 100
12	1	a	87	M	16, 18, 20, 30, 50, 52, 56, 66, 80, 92, 96, 102
10	1	up	87	M	10, 22, 26, 30, 52, 62, 66, 68, 92, 96
9	1	about	101	M	4, 16, 18, 28, 32, 38, 80, 94, 104
8	1	okay	75	M	14, 16, 42, 52, 68, 74, 84, 88
7	1	you're	91	M	4, 30, 58, 80, 86, 90, 94
6	1	down	85	M	16, 30, 58, 64, 80, 100
5	1	have	45	M	48, 50, 56, 66, 92
5	1	inches	101	M	4, 18, 38, 82, 104
5	1	it	75	M	22, 72, 82, 90, 96
5	1	your	79	M	2, 18, 36, 40, 80
4	1	above	29	M	66, 68, 78, 94
4	1	along	61	M	20, 22, 72, 80
4	1	an	65	M	16, 28, 36, 80
3	1	east	61	M	2, 28, 62
3	1	ehm	101	M	4, 80, 104
3	1	just	27	M	52, 68, 78
3	1	left	41	M	58, 80, 98
3	1	two	51	M	18, 38, 68
3	1	well	33	M	58, 66, 90
2	1	bit	47	M	20, 66
2	1	centimetres	63	M	32, 94
2	1	curve	25	M	30, 54
2	1	do	7	M	44, 50
2	1	four	13	M	82, 94
2	1	from	23	M	30, 52
2	1	no	25	M	16, 40
2	1	now	39	M	52, 90
2	1	old	15	M	22, 36
2	1	on	61	M	36, 96
2	1	slightly	29	M	30, 58
2	1	that	29	M	30, 58
2	1	towards	19	M	62, 80
2	1	uh-huh	55	M	32, 86
2	1	yeah	25	M	0, 24
2	1	you've	51	M	52, 102

