Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	10	go down about an inch and a half directly down	65	M	3, 67
2	5	!! rem !! okay !!	17	M	27, 43
2	4	no you're going down	5	M	59, 63
3	3	and then go	89	M	3, 31, 91
3	3	you're going down	17	M	47, 59, 63
2	3	side of the	47	M	35, 81
2	3	under the fort	3	M	87, 89
2	3	you're going to	11	M	73, 83
7	2	and then	89	M	3, 31, 45, 57, 71, 89, 91
4	2	going down	49	M	15, 47, 59, 63
3	2	about an	73	M	3, 67, 75
3	2	down about	65	M	3, 49, 67
3	2	go down	65	M	3, 5, 67
3	2	go up	43	M	33, 73, 75
3	2	to the	49	M	35, 41, 83
3	2	underneath the	79	M	11, 57, 89
2	2	east lake	29	M	45, 73
2	2	going to	11	M	73, 83
2	2	right go	3	M	33, 35
2	2	right okay	25	M	61, 85
2	2	the buffalo	5	M	77, 81
2	2	the fort	3	M	87, 89
2	2	towards the	31	M	15, 45
2	2	up and	9	M	25, 33
2	2	up towards	29	M	45, 73
15	1	right	83	M	9, 11, 15, 33, 35, 39, 43, 47, 49, 61, 69, 71, 83, 85, 91
13	1	and	89	M	3, 11, 25, 31, 33, 45, 57, 67, 71, 81, 83, 89, 91
12	1	go	89	M	3, 5, 31, 33, 35, 41, 57, 67, 73, 75, 89, 91
12	1	the	79	M	11, 15, 35, 41, 45, 47, 57, 77, 81, 83, 87, 89
10	1	down	65	M	3, 5, 15, 35, 47, 49, 57, 59, 63, 67
8	1	then	89	M	3, 31, 45, 57, 71, 73, 89, 91
7	1	okay	67	M	19, 27, 43, 55, 61, 67, 85
6	1	up	59	M	25, 33, 45, 73, 75, 83
5	1	no	45	M	21, 23, 59, 63, 65
5	1	of	59	M	25, 35, 57, 81, 83
5	1	to	57	M	35, 41, 73, 83, 91
5	1	you're	37	M	47, 59, 63, 73, 83
4	1	about	73	M	3, 49, 67, 75
3	1	a	81	M	3, 67, 83
3	1	ehm	59	M	25, 63, 83
3	1	yeah	39	M	13, 43, 51
3	1	you	55	M	27, 57, 81
2	1	along	11	M	31, 41
2	1	head	5	M	45, 49
2	1	i	3	M	41, 43
2	1	i'm	7	M	9, 15
2	1	is	5	M	77, 81
2	1	it	15	M	43, 57
2	1	mm	45	M	43, 87
2	1	now	11	M	67, 77
2	1	round	33	M	25, 57
2	1	see	5	M	77, 81
2	1	straight	43	M	31, 73
2	1	there	35	M	9, 43
2	1	well	25	M	57, 81

