Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	6	at the top of the waterfall	60	4	1	M	57, 60
3	1	5	at the top of the	112	56	1	M	57, 60, 112
2	2	5	the right-hand side of the	128	112	1	M	17, 128
4	1	4	the top of the	109	56	1	M	57, 60, 109, 112
3	3	4	the left-hand side of	127	108	2	f	20, 94, 127
2	2	4	to the left of	47	30	1	f	18, 47
5	3	3	side of the	20	112	1	M	17, 20, 30, 94, 128
4	4	3	at the moment	113	80	3	f	34, 56, 84, 113
4	1	3	at the top	100	56	1	M	57, 60, 100, 112
4	4	3	of the page	22	96	1	M	17, 22, 77, 112
4	2	3	the left of	47	38	3	f	10, 12, 18, 47
3	3	3	of the map	79	78	2	f	2, 4, 79
3	1	3	the right-hand side	128	112	2	M	17, 113, 128
3	1	3	to the left	35	30	1	f	18, 35, 47
3	3	3	to the right	84	102	1	M	33, 84, 134
3	3	3	up the page	67	35	1	f	60, 67, 94
2	2	3	a rock fall	96	46	1	M	51, 96
2	2	3	and cross over	30	2	1	M	29, 30
20	9	2	of the	17	133	2	f	2, 4, 17, 18, 20, 22, 24, 30, 57, 60, 63, 77, 79, 94, 96, 105, 109, 112, 128, 134
16	10	2	to the	18	118	1	M	17, 18, 33, 35, 45, 47, 55, 59, 65, 84, 103, 105, 109, 125, 128, 134
10	4	2	at the	57	94	4	f	20, 30, 34, 56, 57, 60, 84, 100, 112, 113
9	9	2	straight up	35	76	1	f	28, 35, 58, 59, 60, 67, 98, 99, 103
9	2	2	the page	84	96	1	M	17, 22, 60, 67, 77, 84, 94, 96, 112
7	1	2	side of	49	112	1	M	17, 20, 30, 49, 94, 127, 128
6	6	2	about three	84	49	1	M	69, 84, 94, 96, 112, 117
6	6	2	the fallen	56	19	1	M	55, 56, 63, 65, 72, 73
6	6	2	the way	41	111	1	f	24, 41, 94, 96, 112, 134
6	3	2	up the	60	87	2	M	41, 49, 60, 67, 94, 127
5	5	2	banana tree	5	17	1	f	4, 5, 10, 12, 20
5	1	2	left of	47	38	4	f	10, 12, 18, 22, 47
5	5	2	on the	11	85	1	f	10, 11, 12, 84, 94
5	5	2	right now	92	30	3	M	65, 73, 77, 92, 94
4	4	2	go down	53	102	1	f	18, 53, 73, 119
4	4	2	lost steps	114	69	2	M	47, 65, 114, 115
4	4	2	straight down	124	71	2	M	55, 79, 124, 125
4	1	2	the left-hand	128	109	2	f	20, 94, 127, 128
4	4	2	the rope	59	32	3	f	28, 30, 56, 59
4	2	2	the waterfall	56	14	1	M	47, 56, 57, 60
4	4	2	up and	28	120	1	M	15, 28, 30, 134
3	1	2	cross over	29	3	1	f	28, 29, 30
3	3	2	have a	97	94	2	f	4, 96, 97
3	3	2	right so	30	46	1	M	11, 30, 56
2	2	2	about four	35	14	1	f	22, 35
2	2	2	along the	96	34	1	M	63, 96
2	2	2	and down	65	60	1	f	6, 65
2	2	2	down and	124	72	1	M	53, 124
2	2	2	i've got	114	64	1	M	51, 114
2	2	2	left and	81	76	1	f	6, 81
2	2	2	level with	93	2	1	f	92, 93
2	2	2	mountain and	120	12	1	M	109, 120
2	2	2	now i	65	62	1	f	4, 65
2	2	2	okay ehm	112	58	1	M	55, 112
2	2	2	on this	13	2	1	f	12, 13
2	2	2	the camp	3	2	1	f	2, 3
52	14	1	the	12	133	1	f	2, 3, 4, 10, 11, 12, 16, 17, 18, 20, 22, 24, 28, 30, 33, 34, 35, 37, 41, 45, 47, 49, 55, 56, 57, 59, 60, 63, 65, 67, 72, 73, 77, 79, 81, 84, 92, 94, 96, 100, 103, 105, 109, 110, 112, 113, 115, 125, 127, 128, 129, 134
42	32	1	right	30	135	8	M	3, 7, 9, 11, 13, 19, 25, 29, 30, 33, 34, 35, 37, 43, 45, 49, 51, 53, 55, 56, 65, 71, 73, 77, 79, 81, 84, 87, 89, 90, 92, 94, 109, 111, 115, 119, 121, 123, 132, 133, 134, 137
32	22	1	and	7	129	1	f	6, 7, 15, 22, 28, 29, 30, 33, 35, 39, 41, 53, 55, 56, 63, 65, 67, 68, 81, 84, 87, 89, 91, 94, 96, 109, 112, 117, 119, 120, 124, 134
29	4	1	of	34	133	4	f	2, 4, 10, 12, 17, 18, 20, 22, 24, 30, 34, 37, 45, 47, 49, 57, 60, 63, 77, 79, 84, 94, 96, 105, 109, 112, 127, 128, 134
29	29	1	yeah	29	129	1	f	8, 29, 32, 34, 42, 46, 48, 54, 59, 60, 61, 64, 76, 80, 82, 85, 86, 88, 90, 93, 95, 99, 113, 116, 118, 120, 126, 135, 136
28	12	1	up	15	123	1	f	12, 15, 22, 24, 28, 30, 35, 41, 49, 58, 59, 60, 61, 63, 67, 84, 87, 89, 92, 94, 96, 98, 99, 103, 109, 117, 127, 134
25	22	1	go	18	125	2	M	3, 13, 18, 33, 35, 45, 49, 53, 61, 63, 65, 67, 73, 79, 81, 87, 89, 95, 103, 109, 110, 115, 117, 119, 127
24	11	1	to	18	128	4	M	7, 13, 15, 17, 18, 33, 35, 45, 47, 55, 59, 61, 65, 84, 87, 98, 103, 105, 109, 115, 119, 125, 128, 134
23	21	1	okay	25	125	2	f	14, 20, 25, 28, 55, 62, 64, 68, 72, 74, 79, 83, 90, 94, 98, 101, 106, 112, 121, 122, 127, 131, 138
19	18	1	so	11	125	1	f	10, 11, 12, 15, 18, 28, 30, 53, 56, 60, 73, 85, 87, 90, 92, 98, 110, 128, 134
17	15	1	i	65	131	8	f	4, 10, 12, 16, 18, 30, 34, 48, 65, 68, 78, 84, 92, 96, 128, 132, 134
16	10	1	about	33	100	3	f	20, 22, 24, 33, 35, 39, 55, 69, 73, 84, 87, 94, 96, 112, 117, 119
12	8	1	a	15	129	2	f	4, 10, 15, 17, 35, 37, 39, 51, 55, 96, 97, 132
12	10	1	along	18	128	1	M	7, 18, 63, 68, 72, 87, 95, 96, 109, 112, 132, 134
12	3	1	down	45	120	2	f	6, 18, 45, 53, 55, 65, 73, 77, 79, 119, 124, 125
12	12	1	uh-huh	26	90	1	M	19, 26, 32, 36, 40, 52, 66, 72, 80, 86, 98, 108
11	5	1	now	55	91	3	f	4, 20, 30, 55, 60, 65, 72, 73, 77, 92, 94
10	1	1	at	112	94	4	f	20, 30, 34, 56, 57, 60, 84, 100, 112, 113
10	10	1	that	11	128	1	f	10, 11, 12, 18, 37, 47, 51, 92, 119, 137
9	1	1	left	91	86	5	f	6, 10, 12, 18, 22, 35, 47, 81, 91
8	8	1	going	28	105	1	M	15, 28, 41, 57, 61, 91, 103, 119
7	7	1	do	97	113	5	f	16, 48, 68, 78, 92, 97, 128
7	1	1	three	134	66	1	M	69, 84, 94, 96, 112, 117, 134
7	1	1	way	24	118	1	M	17, 24, 41, 94, 96, 112, 134
6	6	1	just	84	83	3	M	35, 37, 51, 84, 98, 117
6	1	1	on	12	85	1	f	10, 11, 12, 13, 84, 94
5	5	1	bottom	45	80	1	f	0, 45, 63, 77, 79
5	3	1	ehm	55	119	1	f	16, 55, 60, 112, 134
