ID	Num. utterances	Num. tokens	Expression Lexicon Size (ELS)	Expression Variety (EV)	Expression Repetition (ER)	Voc. Overlap	ENTR	L	LMAX
q1ec3_txt-finetuned_DialoGPT-speaker_g_tsv	199.0	1560.0	148.0	0.09487179487179487	0.483974358974359	0.272108843537415	1.4287663721813766	1.5728862973760933	5.0
q1ec8_txt-finetuned_DialoGPT-speaker_g_tsv	110.0	836.0	75.0	0.08971291866028708	0.3456937799043062	0.24210526315789474	1.2349971409109184	1.4248366013071896	4.0
q1nc4_txt-finetuned_DialoGPT-speaker_g_tsv	142.0	1444.0	105.0	0.07271468144044321	0.46883656509695293	0.2727272727272727	1.3243389804813317	1.4732441471571907	6.0
q2ec4_txt-finetuned_DialoGPT-speaker_g_tsv	165.0	1355.0	163.0	0.12029520295202951	0.4900369003690037	0.3346613545816733	1.4460831750566854	1.5585996955859969	5.0
q3ec4_txt-finetuned_DialoGPT-speaker_g_tsv	106.0	960.0	42.0	0.04375	0.2552083333333333	0.1461187214611872	0.8375348560263892	1.2317460317460318	4.0
q4ec3_txt-finetuned_DialoGPT-speaker_g_tsv	159.0	1288.0	111.0	0.08618012422360248	0.47437888198757766	0.3004484304932735	1.2522444006413869	1.4399323181049068	5.0
q5ec1_txt-finetuned_DialoGPT-speaker_g_tsv	223.0	1716.0	123.0	0.07167832167832168	0.3706293706293706	0.24025974025974026	1.1204942158904232	1.3574593796159526	4.0
q5ec4_txt-finetuned_DialoGPT-speaker_g_tsv	116.0	869.0	58.0	0.0667433831990794	0.31530494821634064	0.18691588785046728	1.043740944145281	1.320872274143302	4.0
q5nc5_txt-finetuned_DialoGPT-speaker_g_tsv	93.0	743.0	48.0	0.06460296096904442	0.28667563930013457	0.1717171717171717	0.9319777906825839	1.273972602739726	5.0
q6ec3_txt-finetuned_DialoGPT-speaker_g_tsv	139.0	1069.0	93.0	0.08699719363891488	0.38353601496725914	0.24568965517241378	1.310295010725334	1.4620689655172414	5.0
q7ec4_txt-finetuned_DialoGPT-speaker_g_tsv	115.0	1083.0	49.0	0.04524469067405355	0.1994459833795014	0.14285714285714285	1.019464641121567	1.3135888501742161	4.0
q7nc7_txt-finetuned_DialoGPT-speaker_g_tsv	127.0	1104.0	96.0	0.08695652173913043	0.3976449275362319	0.22727272727272727	1.2271795113457356	1.4227272727272726	5.0
q8nc5_txt-finetuned_DialoGPT-speaker_g_tsv	205.0	1856.0	155.0	0.08351293103448276	0.43157327586206895	0.28716216216216217	1.4811907813224625	1.5920529801324503	6.0
