Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	i've got a forge about two inches	35	M	10, 44
3	6	i've got a forge about two	41	M	4, 10, 44
2	5	about two inches to the	39	M	44, 82
2	4	the bottom of the	47	M	46, 92
3	3	the bottom of	47	M	46, 58, 92
2	3	down to the	47	M	46, 92
2	3	inches below the	7	M	4, 10
2	3	of the pine	3	M	44, 46
2	3	on the right-hand	127	M	8, 134
2	3	so i go	11	M	36, 46
2	3	to the right	31	M	82, 112
2	3	uh i've got	53	M	4, 56
10	2	right okay	99	M	12, 22, 26, 54, 66, 68, 84, 96, 106, 110
6	2	of the	49	M	44, 46, 58, 60, 82, 92
5	2	about two	79	M	4, 10, 44, 62, 82
4	2	got a	137	M	4, 10, 44, 140
4	2	uh right	105	M	22, 114, 122, 126
3	2	below the	53	M	4, 10, 56
2	2	a half	109	M	4, 112
2	2	at the	53	M	60, 112
2	2	on the	127	M	8, 134
2	2	right i'm	105	M	8, 112
2	2	rocket warehouse	11	M	130, 140
2	2	the left	91	M	44, 134
2	2	uh yeah	105	M	34, 138
37	1	right	135	M	2, 8, 12, 14, 16, 18, 20, 22, 26, 36, 42, 50, 54, 60, 64, 66, 68, 76, 78, 82, 84, 86, 90, 92, 96, 100, 106, 110, 112, 114, 116, 118, 122, 124, 126, 132, 136
14	1	okay	101	M	10, 12, 22, 24, 26, 30, 32, 54, 66, 68, 84, 96, 106, 110
13	1	the	131	M	4, 8, 10, 14, 44, 46, 56, 58, 60, 82, 92, 112, 134
11	1	uh	135	M	4, 22, 34, 56, 114, 122, 126, 128, 130, 134, 138
10	1	yeah	139	M	0, 28, 30, 34, 38, 40, 58, 70, 72, 138
8	1	of	121	M	14, 44, 46, 58, 60, 82, 92, 134
7	1	a	137	M	4, 10, 44, 94, 112, 128, 140
6	1	about	109	M	4, 10, 44, 62, 82, 112
6	1	to	109	M	4, 44, 46, 82, 92, 112
5	1	so	95	M	36, 44, 46, 92, 130
4	1	down	47	M	46, 58, 88, 92
4	1	mm	107	M	2, 74, 80, 108
4	1	no	41	M	88, 102, 104, 128
4	1	well	121	M	14, 44, 58, 134
3	1	i'm	105	M	8, 92, 112
3	1	it's	79	M	56, 60, 134
3	1	you	137	M	4, 14, 140
2	1	an	57	M	56, 112
2	1	it	23	M	36, 58
2	1	just	25	M	88, 112
2	1	mmhmm	93	M	6, 98
2	1	there's	19	M	94, 112
2	1	uh-huh	73	M	48, 120
2	1	what	11	M	4, 14

