Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
4	4	4	the top of the	42	185	1	g	17, 42, 168, 201
3	3	4	down the side of	60	58	2	g	3, 19, 60
2	2	4	the bottom of the	68	38	1	g	31, 68
2	2	4	the edge of the	159	12	1	M	148, 159
2	2	4	to the abandoned cottage	103	20	1	M	84, 103
7	5	3	the abandoned cottage	143	78	1	M	84, 103, 143, 145, 149, 159, 161
5	5	3	side of the	172	177	3	g	3, 19, 47, 172, 179
4	2	3	edge of the	148	67	1	g	125, 148, 159, 191
3	3	3	go round the	195	96	2	M	100, 168, 195
3	3	3	have you got	93	58	2	M	36, 62, 93
3	3	3	of the paper	172	43	1	g	159, 172, 201
2	2	3	and you go	175	8	1	M	168, 175
2	2	3	at the top	185	144	1	M	42, 185
2	2	3	back down the	172	2	1	g	171, 172
2	2	3	of the abandoned	161	14	1	M	148, 161
2	2	3	past the abandoned	162	18	1	g	145, 162
2	2	3	right okay now	175	40	1	M	136, 175
2	2	3	want to go	219	120	1	M	100, 219
17	2	2	of the	179	209	4	g	3, 17, 19, 31, 42, 47, 68, 125, 148, 159, 161, 168, 172, 179, 191, 201, 211
14	12	2	right okay	103	221	5	M	0, 14, 18, 66, 98, 103, 132, 136, 152, 156, 164, 175, 196, 220
12	5	2	abandoned cottage	84	107	2	g	55, 79, 84, 103, 135, 137, 143, 145, 149, 155, 159, 161
12	3	2	the abandoned	104	79	1	M	84, 103, 104, 108, 143, 145, 146, 148, 149, 159, 161, 162
11	9	2	to the	28	159	1	g	21, 28, 31, 38, 43, 45, 47, 84, 103, 148, 179
8	5	2	round the	68	153	1	g	43, 68, 79, 100, 104, 137, 168, 195
7	1	2	side of	60	177	4	g	3, 19, 47, 57, 60, 172, 179
7	5	2	you go	60	149	2	g	27, 41, 60, 79, 145, 168, 175
7	4	2	you got	36	167	1	g	11, 36, 41, 62, 93, 157, 177
6	1	2	down the	60	170	3	g	3, 9, 19, 60, 171, 172
6	6	2	go up	41	184	1	M	16, 41, 79, 145, 175, 199
6	4	2	past the	162	193	3	g	21, 41, 145, 162, 199, 213
6	6	2	the caravan	6	31	1	g	3, 6, 17, 19, 21, 33
6	6	2	the old	42	99	2	g	39, 41, 42, 43, 45, 137
5	5	2	a fenced	94	123	3	g	51, 85, 93, 94, 173
5	2	2	have you	36	141	1	g	21, 36, 62, 93, 161
5	3	2	to go	69	208	2	M	12, 68, 69, 100, 219
5	5	2	you're going	13	104	1	M	12, 13, 53, 68, 115
4	4	2	and then	103	102	2	M	16, 60, 103, 117
4	2	2	and you	168	97	1	g	117, 168, 175, 213
4	2	2	at the	42	145	1	g	41, 42, 75, 185
4	1	2	go round	195	136	3	M	60, 100, 168, 195
4	4	2	on the	60	93	1	g	57, 60, 65, 149
4	4	2	the cottage	168	94	3	g	75, 137, 165, 168
4	1	2	the paper	172	43	2	g	159, 171, 172, 201
3	3	2	go along	108	122	1	g	27, 108, 148
3	3	2	going up	84	151	1	g	53, 84, 203
3	3	2	got a	179	144	2	M	36, 62, 179
3	1	2	okay now	193	58	1	M	136, 175, 193
3	3	2	right-hand side	172	134	2	g	39, 41, 172
2	2	2	back up	38	2	1	g	37, 38
2	2	2	cottage in	168	26	1	g	143, 168
2	2	2	down and	68	44	1	g	25, 68
2	2	2	i don't	219	150	1	M	70, 219
2	2	2	if you	60	40	1	g	21, 60
2	2	2	no i	137	68	1	M	70, 137
2	2	2	now go	189	54	1	M	136, 189
2	2	2	that much	158	2	1	g	157, 158
2	2	2	up towards	201	66	1	M	136, 201
61	19	1	the	9	211	1	g	3, 6, 9, 17, 19, 21, 28, 31, 33, 37, 38, 39, 41, 42, 43, 45, 47, 53, 55, 57, 60, 65, 68, 69, 75, 79, 84, 95, 100, 103, 104, 108, 112, 122, 125, 137, 139, 141, 143, 145, 146, 148, 149, 159, 161, 162, 165, 168, 171, 172, 175, 177, 179, 185, 189, 191, 195, 199, 201, 211, 213
56	43	1	right	43	223	10	M	0, 2, 6, 14, 18, 22, 24, 26, 34, 36, 43, 45, 51, 54, 56, 58, 60, 66, 68, 72, 75, 80, 82, 84, 98, 102, 103, 107, 117, 122, 132, 134, 136, 137, 138, 141, 146, 148, 152, 156, 158, 159, 160, 164, 172, 173, 175, 187, 189, 196, 198, 200, 214, 218, 220, 222
53	39	1	you	36	219	8	g	1, 7, 11, 21, 23, 27, 31, 33, 36, 41, 47, 51, 53, 57, 60, 62, 73, 75, 79, 85, 91, 93, 103, 112, 117, 119, 122, 125, 137, 143, 145, 149, 153, 155, 157, 159, 161, 168, 173, 175, 177, 179, 181, 183, 187, 193, 203, 205, 207, 211, 213, 217, 219
43	29	1	okay	11	221	1	M	0, 11, 14, 15, 18, 41, 44, 46, 66, 79, 85, 98, 103, 106, 111, 112, 122, 132, 133, 136, 152, 154, 156, 157, 164, 173, 175, 177, 180, 181, 185, 186, 187, 190, 193, 196, 202, 203, 207, 209, 210, 217, 220
24	16	1	a	51	196	3	M	12, 32, 36, 51, 62, 85, 93, 94, 103, 117, 122, 155, 168, 173, 175, 179, 181, 183, 185, 187, 189, 193, 205, 207
24	9	1	to	21	208	1	M	12, 21, 28, 31, 38, 43, 45, 47, 51, 55, 68, 69, 84, 100, 103, 122, 137, 148, 155, 159, 175, 179, 193, 219
23	4	1	of	6	209	1	g	3, 6, 17, 19, 31, 42, 47, 57, 60, 68, 85, 93, 125, 143, 148, 159, 161, 168, 172, 179, 191, 201, 211
22	3	1	go	12	213	1	g	7, 12, 16, 27, 31, 41, 60, 68, 69, 79, 100, 108, 122, 136, 145, 148, 168, 175, 189, 195, 199, 219
22	22	1	left	28	211	7	g	1, 3, 7, 9, 13, 23, 25, 28, 29, 33, 37, 53, 81, 83, 119, 120, 137, 145, 147, 163, 195, 211
17	2	1	cottage	105	114	3	g	55, 75, 79, 84, 103, 105, 113, 135, 137, 143, 145, 149, 155, 159, 161, 165, 168
17	5	1	up	55	188	1	M	16, 37, 38, 41, 53, 55, 79, 84, 117, 122, 136, 145, 175, 199, 200, 201, 203
16	14	1	no	70	182	2	g	25, 31, 70, 83, 86, 89, 91, 92, 101, 137, 161, 174, 175, 184, 201, 206
15	7	1	and	16	205	1	g	13, 16, 25, 37, 60, 68, 103, 108, 112, 117, 122, 168, 175, 213, 217
15	11	1	now	122	161	3	g	51, 75, 115, 122, 136, 149, 158, 159, 173, 175, 179, 189, 193, 205, 211
14	6	1	down	12	187	3	g	3, 5, 9, 12, 19, 21, 25, 32, 60, 68, 158, 171, 172, 189
14	7	1	going	12	203	1	g	5, 12, 13, 47, 49, 53, 68, 84, 115, 117, 158, 200, 203, 207
14	11	1	on	60	157	5	g	39, 41, 51, 55, 57, 60, 65, 77, 81, 149, 155, 163, 188, 195
14	14	1	yeah	42	160	1	g	35, 42, 45, 74, 75, 76, 78, 96, 122, 170, 171, 180, 182, 194
13	13	1	map	188	183	11	g	9, 31, 37, 47, 53, 55, 125, 145, 149, 175, 179, 188, 191
13	5	1	round	60	153	1	g	43, 60, 68, 79, 85, 100, 103, 104, 105, 137, 155, 168, 195
12	7	1	have	69	173	1	g	21, 36, 62, 69, 93, 122, 161, 173, 183, 185, 187, 193
12	4	1	side	60	177	7	g	3, 19, 39, 41, 47, 55, 57, 60, 77, 155, 172, 179
12	12	1	so	100	199	5	g	3, 9, 19, 33, 53, 100, 103, 149, 153, 155, 165, 201
12	10	1	that	60	191	1	g	11, 60, 73, 77, 112, 122, 153, 157, 158, 179, 187, 201
11	3	1	got	91	169	1	g	11, 36, 41, 62, 91, 93, 122, 157, 158, 177, 179
11	8	1	i	70	155	2	g	65, 69, 70, 100, 110, 121, 122, 123, 137, 154, 219
11	7	1	then	16	219	2	g	3, 7, 16, 19, 27, 55, 60, 69, 103, 117, 221
11	8	1	you're	12	199	2	g	3, 9, 12, 13, 19, 53, 65, 68, 115, 133, 201
10	10	1	it	122	163	5	g	39, 55, 57, 81, 109, 122, 155, 163, 185, 201
9	9	1	again	12	173	1	g	3, 12, 13, 29, 53, 117, 153, 163, 175
9	9	1	come	60	173	5	g	21, 25, 33, 51, 55, 60, 141, 175, 193
9	9	1	there	90	161	2	g	59, 63, 90, 112, 122, 186, 187, 203, 219
8	8	1	lake	136	97	1	g	117, 136, 175, 177, 179, 185, 207, 213
8	8	1	uh-huh	123	103	4	M	40, 48, 64, 94, 123, 131, 140, 142
7	2	1	fenced	94	123	4	g	51, 85, 91, 93, 94, 101, 173
7	7	1	just	95	154	2	M	60, 84, 95, 158, 185, 201, 213
7	2	1	past	162	193	4	g	21, 41, 145, 161, 162, 199, 213
7	7	1	that's	102	209	3	g	9, 33, 47, 102, 175, 179, 217
6	6	1	do	153	84	1	M	122, 153, 173, 181, 193, 205
6	6	1	mm	71	147	2	M	8, 10, 71, 112, 122, 154
6	4	1	towards	136	87	1	g	125, 136, 159, 189, 201, 211
6	6	1	uh	82	109	1	g	79, 82, 84, 122, 158, 187
6	6	1	well	102	136	4	g	53, 57, 93, 95, 102, 188
5	2	1	along	108	136	2	g	13, 27, 108, 115, 148
5	1	1	at	187	147	1	g	41, 42, 75, 185, 187
5	1	1	back	38	164	2	g	9, 37, 38, 171, 172
5	5	1	but	57	208	1	M	12, 57, 122, 188, 219
5	3	1	don't	70	189	1	g	31, 70, 183, 187, 219
5	1	1	edge	148	67	2	g	125, 127, 148, 159, 191
5	5	1	is	90	121	2	g	59, 63, 90, 103, 179
5	2	1	right-hand	60	134	2	g	39, 41, 60, 127, 172
4	4	1	about	95	131	1	M	32, 95, 158, 162
4	4	1	ah	122	205	1	g	17, 122, 171, 221
4	4	1	forest	96	73	2	g	69, 95, 96, 141
4	2	1	in	168	101	2	g	85, 143, 168, 185
4	4	1	oh	129	148	2	M	22, 122, 129, 169
4	4	1	point	181	150	1	M	38, 181, 183, 187
3	1	1	if	32	40	1	g	21, 32, 60
2	2	1	an	162	108	1	g	55, 162
2	2	1	anyway	165	64	1	M	102, 165
2	2	1	are	125	4	1	M	122, 125
2	2	1	can	122	50	1	g	73, 122
2	2	1	eh	122	82	1	g	41, 122
2	2	1	it's	188	28	1	g	161, 188
2	2	1	my	188	62	1	g	127, 188
2	2	1	until	122	6	1	g	117, 122

