,Speaker,Utterance,Unified
5,f,er no,f|er no
6,M,Do you have the portal up above the cliffs?,M|Do you have the portal up above the cliffs?
7,f,uh-huh how far down,f|uh-huh how far down
8,M,uhh... well I go up a hill to the right and down a mountain,M|uhh... well I go up a hill to the right and down a mountain
9,f,right,f|right
10,M,up where the water is,M|up where the water is
11,f,so how far am i from the left of the page,f|so how far am i from the left of the page
12,M,its a lot more complicated than that.,M|its a lot more complicated than that.
13,f,right,f|right
14,M,Right on,M|Right on
15,f,no hold on a minute,f|no hold on a minute
16,M,how far are you from the right of the pages,M|how far are you from the right of the pages
17,f,right hold on wait a minute am i right under the sandstone cliffs,f|right hold on wait a minute am i right under the sandstone cliffs
18,M,you are right,M|you are right
19,f,no,f|no
20,M,i am,M|i am
21,f,mmhmm,f|mmhmm
22,M,The initial line of the post is what I meant.,M|The initial line of the post is what I meant.
23,f,right okay,f|right okay
24,M,cliffs are for the plebs,M|cliffs are for the plebs
25,f,uh-huh,f|uh-huh
26,M,... the cliffs...,M|... the cliffs...
27,f,right straight down under the start,f|right straight down under the start
28,M,i dont get it,M|i dont get it
29,f,right,f|right
30,M,right then,M|right then
31,f,okay,f|okay
32,M,"well, if you're not a giant, then you're probably just a tiny","M|well, if you're not a giant, then you're probably just a tiny"
33,f,uh-huh in the right kind of towards the middle a bit,f|uh-huh in the right kind of towards the middle a bit
34,M,I'm not sure what I'm supposed to be looking for here.,M|I'm not sure what I'm supposed to be looking for here.
35,f,uh-huh,f|uh-huh
36,M,yeah i got the pine,M|yeah i got the pine
37,f,right,f|right
38,M,and left as far away as that,M|and left as far away as that
39,f,uh-huh,f|uh-huh
40,M,I think you need to start with the first word.,M|I think you need to start with the first word.
41,f,right right up over the pine,f|right right up over the pine
42,M,you go up to the forge,M|you go up to the forge
43,f,and i go right as far as the pine,f|and i go right as far as the pine
44,M,i go right and left as far away as i can,M|i go right and left as far away as i can
45,f,if you see what i mean,f|if you see what i mean
46,M,yes but you wouldnt be able to see what it is,M|yes but you wouldnt be able to see what it is
47,f,oh,f|oh
48,M,"i mean if you go to the forge, you don t have to go back","M|i mean if you go to the forge, you don t have to go back"
