,Speaker,Utterance,Unified
5,M,i dont get it,M|i dont get it
6,g,roughly up a bit huh,g|roughly up a bit huh
7,M,i'm guessing they're all around the corner from me,M|i'm guessing they're all around the corner from me
8,g,of the map,g|of the map
9,M,Of the camp,M|Of the camp
10,g,right okay so if you just go left from the missionary camp a bit and then down,g|right okay so if you just go left from the missionary camp a bit and then down
11,M,"I'm not sure how to get it, but it's on the map.","M|I'm not sure how to get it, but it's on the map."
12,g,yeah to about a couple of centimetres above the top of the bottom of the page,g|yeah to about a couple of centimetres above the top of the bottom of the page
13,M,i don't get it,M|i don't get it
14,g,and then continue straight left along until about four centimetres from the end and then go straight up again,g|and then continue straight left along until about four centimetres from the end and then go straight up again
15,M,i mean i'm going to try it right now,M|i mean i'm going to try it right now
16,g,sorry,g|sorry
17,M,i don't see what you mean,M|i don't see what you mean
18,g,yeah probably yeah,g|yeah probably yeah
19,M,"yes, but if you're on the right, you'll end up right on the far left","M|yes, but if you're on the right, you'll end up right on the far left"
20,g,uh do you have a rope bridge,g|uh do you have a rope bridge
21,M,ok i have the redwood tree and the red wood bridge,M|ok i have the redwood tree and the red wood bridge
22,g,yeah,g|yeah
23,M,"ok, do you know how to build a rope?","M|ok, do you know how to build a rope?"
24,g,uh-huh yeah,g|uh-huh yeah
25,M,uhh where do you go?,M|uhh where do you go?
26,g,right,g|right
27,M,right side of course,M|right side of course
28,g,mmhmm,g|mmhmm
29,M,i see,M|i see
30,g,okay that's fine now you've got the rope bridge,g|okay that's fine now you've got the rope bridge
31,M,I'm not going to say anything,M|I'm not going to say anything
32,g,so that you want to come up the page and then just when you're about in line with the rope rope bridge just turn right so you're across it,g|so that you want to come up the page and then just when you're about in line with the rope rope bridge just turn right so you're across it
33,M,i'll do that and then i'll get back to you,M|i'll do that and then i'll get back to you
34,g,yeah,g|yeah
35,M,"ok, how about the rope?","M|ok, how about the rope?"
36,g,okay if you now come down a couple of centimetres,g|okay if you now come down a couple of centimetres
37,M,ok i'll try to be there,M|ok i'll try to be there
38,g,and do you have a waterfall,g|and do you have a waterfall
39,M,I have a fire,M|I have a fire
40,g,yeah if you just mm do you have a sort of the water coming down,g|yeah if you just mm do you have a sort of the water coming down
41,M,okay im at the plaza,M|okay im at the plaza
42,g,if you sort of head along,g|if you sort of head along
43,M,okay i'm heading there now,M|okay i'm heading there now
44,g,so that you're about in line with the bottom of the water,g|so that you're about in line with the bottom of the water
45,M,i have a little bit of water coming up the side of the lake.,M|i have a little bit of water coming up the side of the lake.
46,g,if you know what i mean,g|if you know what i mean
47,M,ohh... well...,M|ohh... well...
48,g,and then have you got lost steps,g|and then have you got lost steps
49,M,and THEN have you been lost in the water?,M|and THEN have you been lost in the water?
50,g,okay if you just get to the waterfall first and then you want to go straight up to where these lost steps are,g|okay if you just get to the waterfall first and then you want to go straight up to where these lost steps are
51,M,I am in the waterfall and i am going straight up,M|I am in the waterfall and i am going straight up
52,g,well have you got fallen pillars,g|well have you got fallen pillars
53,M,"I have fallen pillars, which are lost steps?","M|I have fallen pillars, which are lost steps?"
54,g,it's it's in the finishing point,g|it's it's in the finishing point
55,M,i dont know how to do this,M|i dont know how to do this
56,g,no ehm it's about in line with the fallen pillars,g|no ehm it's about in line with the fallen pillars
57,M,i think it's on the final point,M|i think it's on the final point
58,g,to the right of them,g|to the right of them
59,M,there is no end,M|there is no end
60,g,in between the rope bridge and the waterfall,g|in between the rope bridge and the waterfall
61,M,where exactly?,M|where exactly?
62,g,uh-huh well you want to go straight up,g|uh-huh well you want to go straight up
63,M,I don't want to be stuck in a cliff,M|I don't want to be stuck in a cliff
64,g,and you've got the lost steps,g|and you've got the lost steps
65,M,and the fallen steps,M|and the fallen steps
66,g,if you go straight up from the waterfall you keep going up until you're in line with the fallen pillars,g|if you go straight up from the waterfall you keep going up until you're in line with the fallen pillars
67,M,theres a little waterfall going up from a bit of the top right corner,M|theres a little waterfall going up from a bit of the top right corner
68,g,but don't actually go near them,g|but don't actually go near them
69,M,but you can go up to the fallen pillar,M|but you can go up to the fallen pillar
70,g,and that's you if you sort of curve off to the left,g|and that's you if you sort of curve off to the left
71,M,i'm in the waterfall,M|i'm in the waterfall
72,g,you'll miss the lost steps,g|you'll miss the lost steps
73,M,i have a feeling you're going to have a hard time finding a parking spot,M|i have a feeling you're going to have a hard time finding a parking spot
74,g,um to about just before the middle of the page,g|um to about just before the middle of the page
