M:	right i'll be there soon
f:	west
M:	oh right so you want to go to the east?
f:	how far do you west do you want me to go
M:	west to the end
f:	right okay yes
M:	yea north of crestfall
f:	just the bottom
M:	I don't know if I'm missing something, but how far away are you?
f:	right
M:	I'm going to take a guess and say it's the bottom right of the bottom line.
f:	east over the footbridge
M:	where are you going to stop at?
f:	right
M:	gravel is a sign of a lie
f:	no
M:	i do
f:	two inches right
M:	right walkin
f:	right that's okay
M:	how far are you willing to go
f:	yes
M:	i have a temple
f:	do you go go right go to the right
M:	right do you go right to the left
f:	right
M:	right to the top
f:	"i don't have ""x"" marks finished how far above the old temple"
M:	go to the north shrine of the east temple
f:	yeah
M:	left temple
f:	so this is about a ten inch line from the where i am just now
M:	no, i just have a hard time getting a line in the right place
f:	right aye
M:	yeah i'm on the road
f:	right okay
M:	i'm in the east bay and i'm not even in a jeep
f:	how far right to my my left
M:	you can go straight to the trash can, you just need to go through the dumpster first
f:	so i do i go to the left of the abandoned truck
M:	if you go south you'll be in the right
f:	right
M:	i go to my left i go south
f:	no right do i do i i stop before i reach the abandoned truck or after i reach the abandoned truck
M:	I don't have a way to go back and do that.
f:	right okay right so i go back left again i keep going left i go down then i go left
M:	i go left and then i get up
f:	right okay let me cross this bit i haven't got any baboons no
M:	okay i go right then i stop
f:	right
M:	I go down i go up then i get up
f:	aye
M:	yea what?
f:	right
M:	right go
f:	right
M:	left
f:	uh-huh
M:	how is the sky
f:	right to the top
M:	right where the bottom of the screen is
f:	yes
M:	you mean like in the pyramid?
f:	right got you
M:	i can do it in the middle of the pyramid if you want
f:	no
M:	do you have any cobbled streets?
f:	yes
M:	are you online now?
f:	should directly below me almost
M:	How do you know where the location is?
f:	right i'm right under it
M:	i'm right above it
f:	mmhmm
M:	I'm just like that
f:	right all right no problem
M:	I'm not sure what you mean, I'm pretty sure I'm fine with that.
f:	right i'm so i'm just above the white mountain
M:	it's a nice view of the remote villages
f:	mmhmm
M:	I'm above it!
f:	i have cleared it right the remote village is like ah four inches below the pyramid in this
M:	I'm sorry, i'm not sure what you mean by that
f:	right
M:	you are just me
f:	right i'm in between the remote village and the pyramid
M:	I'm in the remote Village, so it's fine
f:	uh-huh
M:	I've come to the conclusion that you are a fake
f:	because you told me to come under the pyramid
M:	i'm confused
f:	right
M:	yes i am
f:	i have come across far enough now
M:	You haven't come across the white pyramid
f:	right
M:	you are wrong
f:	right i've got you
M:	yes it is
f:	uh-huh
M:	i'm in the village
f:	right
M:	right where?
f:	how far
M:	I'm on the right
f:	right right right that's it
