,response,context,context/0,context/1,context/2,context/3
0,it's above the diamond mine,right see the start,right,oh aye sarah and danielle,you got to say sarah and danielle,right see the start
1,right,it's above the diamond mine,right see the start,right,oh aye sarah and danielle,you got to say sarah and danielle
2,right,right,it's above the diamond mine,right see the start,right,oh aye sarah and danielle
3,okay i want you go down about three inches,right,right,it's above the diamond mine,right see the start,right
4,where down past the diamond mine,okay i want you go down about three inches,right,right,it's above the diamond mine,right see the start
5,yeah,where down past the diamond mine,okay i want you go down about three inches,right,right,it's above the diamond mine
6,right,yeah,where down past the diamond mine,okay i want you go down about three inches,right,right
7,just down at the side just straight down,right,yeah,where down past the diamond mine,okay i want you go down about three inches,right
8,okay,just down at the side just straight down,right,yeah,where down past the diamond mine,okay i want you go down about three inches
9,and then go round in a curve underneath the diamond mine,okay,just down at the side just straight down,right,yeah,where down past the diamond mine
10,right mm,and then go round in a curve underneath the diamond mine,okay,just down at the side just straight down,right,yeah
11,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right,right mm,and then go round in a curve underneath the diamond mine,okay,just down at the side just straight down,right
12,so i'm making a curve round the diamond mine yeah,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right,right mm,and then go round in a curve underneath the diamond mine,okay,just down at the side just straight down
13,no no no no,so i'm making a curve round the diamond mine yeah,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right,right mm,and then go round in a curve underneath the diamond mine,okay
14,no no no no,no no no no,so i'm making a curve round the diamond mine yeah,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right,right mm,and then go round in a curve underneath the diamond mine
15,past the diamond mine not that not that steep a curve like just,no no no no,no no no no,so i'm making a curve round the diamond mine yeah,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right,right mm
16,pass it yeah just slightly,past the diamond mine not that not that steep a curve like just,no no no no,no no no no,so i'm making a curve round the diamond mine yeah,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right
17,just like just more a wee bit more than a straight line along past the diamond mine,pass it yeah just slightly,past the diamond mine not that not that steep a curve like just,no no no no,no no no no,so i'm making a curve round the diamond mine yeah
18,yeah right okay right,just like just more a wee bit more than a straight line along past the diamond mine,pass it yeah just slightly,past the diamond mine not that not that steep a curve like just,no no no no,no no no no
19,i i don't suppose you've got a graveyard have you,yeah right okay right,just like just more a wee bit more than a straight line along past the diamond mine,pass it yeah just slightly,past the diamond mine not that not that steep a curve like just,no no no no
20,ehm no,i i don't suppose you've got a graveyard have you,yeah right okay right,just like just more a wee bit more than a straight line along past the diamond mine,pass it yeah just slightly,past the diamond mine not that not that steep a curve like just
21,no right,ehm no,i i don't suppose you've got a graveyard have you,yeah right okay right,just like just more a wee bit more than a straight line along past the diamond mine,pass it yeah just slightly
22,got a fast running creek and canoes and things,no right,ehm no,i i don't suppose you've got a graveyard have you,yeah right okay right,just like just more a wee bit more than a straight line along past the diamond mine
23,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek,got a fast running creek and canoes and things,no right,ehm no,i i don't suppose you've got a graveyard have you,yeah right okay right
24,what round up the top of it,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek,got a fast running creek and canoes and things,no right,ehm no,i i don't suppose you've got a graveyard have you
25,yeah over the top,what round up the top of it,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek,got a fast running creek and canoes and things,no right,ehm no
26,right,yeah over the top,what round up the top of it,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek,got a fast running creek and canoes and things,no right
27,and down the right-hand side,right,yeah over the top,what round up the top of it,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek,got a fast running creek and canoes and things
28,the right-hand side,and down the right-hand side,right,yeah over the top,what round up the top of it,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek
29,right,the right-hand side,and down the right-hand side,right,yeah over the top,what round up the top of it
30,yeah,right,the right-hand side,and down the right-hand side,right,yeah over the top
31,see your apache camp,yeah,right,the right-hand side,and down the right-hand side,right
32,yeah,see your apache camp,yeah,right,the right-hand side,and down the right-hand side
33,right head down towards that and then just curve down the left-hand side that,yeah,see your apache camp,yeah,right,the right-hand side
34,so i'm bypassing canoes yeah,right head down towards that and then just curve down the left-hand side that,yeah,see your apache camp,yeah,right
35,canoes,so i'm bypassing canoes yeah,right head down towards that and then just curve down the left-hand side that,yeah,see your apache camp,yeah
36,oh well maybe you don't have canoe,canoes,so i'm bypassing canoes yeah,right head down towards that and then just curve down the left-hand side that,yeah,see your apache camp
37,no i've no got any canoes,oh well maybe you don't have canoe,canoes,so i'm bypassing canoes yeah,right head down towards that and then just curve down the left-hand side that,yeah
38,right okay left-hand side of the apache,no i've no got any canoes,oh well maybe you don't have canoe,canoes,so i'm bypassing canoes yeah,right head down towards that and then just curve down the left-hand side that
